"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Godfrey Pontoons","N/A","EX2286SBX","22 ft 11 in","N/A","A1978","Anderson Power","South Lake Havasu","73888","49999","2024-11-05"
"2025","Godfrey Pontoons","N/A","EX2286SBX","22 ft 11 in","N/A","A1979","Anderson Power","South Lake Havasu","73888","49999","2024-11-05"
"2024","Godfrey Pontoons","N/A","AP275SDE","28 ft 2 in","N/A","A1598","Anderson Power","Parker AZ","219373","169699","2024-11-05"
"2024","Godfrey Pontoons","N/A","MC255DFL","25 ft 9 in","N/A","A1678","Anderson Power","Parker AZ","167962","124620","2024-11-05"
"2024","Godfrey Pontoons","N/A","MC255MT","25 ft 9 in","N/A","A1535","Anderson Power","Parker AZ","180858","114999","2024-11-05"
"2024","Godfrey Pontoons","N/A","SW2086C","21 ft 10 in","N/A","A1643","Anderson Power","Parker AZ","71062","49995","2024-11-05"
"2024","Godfrey Pontoons","N/A","SW2286C","23 ft 10 in","N/A","A1650","Anderson Power","Parker AZ","113894","77995","2024-11-05"
"2024","Godfrey Pontoons","N/A","SW2486MT","25 ft 8 in","N/A","A1648","Anderson Power","Parker AZ","119003","79995","2024-11-05"
"2024","Godfrey Pontoons","XP","2700","28 ft 2 in","N/A","A1624","Anderson Power","Parker AZ","296009","199995","2024-11-05"
"2024","Sea-Doo","Switch","Compact","N/A","N/A","B2472","Anderson Power","Parker AZ","23699","20899","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","N/A","N/A","H2774","Anderson Power","North Lake Havasu","40699","35899","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","N/A","N/A","H2366","Anderson Power","North Lake Havasu","40699","35899","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","N/A","N/A","B2550","Anderson Power","Parker AZ","43699","38499","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","N/A","N/A","B2555","Anderson Power","Parker AZ","43699","38499","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","N/A","N/A","H2347","Anderson Power","North Lake Havasu","43699","38499","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","N/A","N/A","H2403","Anderson Power","North Lake Havasu","43699","38499","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","N/A","N/A","H2404","Anderson Power","North Lake Havasu","43699","38499","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","N/A","N/A","H2531","Anderson Power","North Lake Havasu","43699","38499","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","N/A","N/A","H2716","Anderson Power","North Lake Havasu","43699","38499","2024-11-05"
"2024","Sea-Doo","Switch","Sport","N/A","N/A","H2753","Anderson Power","North Lake Havasu","39699","34999","2024-11-05"
"2025","Yamaha Marine","N/A","TP1800C-BBP","N/A","N/A","H2922","Anderson Power","North Lake Havasu","50299","50299","2024-11-05"
"2025","Yamaha Marine","N/A","TX1900A-BAP","N/A","N/A","H3061","Anderson Power","North Lake Havasu","40999","40999","2024-11-05"
"2025","Yamaha Marine","N/A","TX1900B-BAP","N/A","N/A","H2937","Anderson Power","North Lake Havasu","37799","37799","2024-11-05"
"2025","Yamaha Marine","N/A","TX1900B-BBP","N/A","N/A","H3057","Anderson Power","North Lake Havasu","37799","37799","2024-11-05"
"2023","Godfrey Pontoons","Monaco","255","25 ft 9 in","N/A","A1365","Anderson Power","Parker AZ","121613","89099","2024-11-05"
"2023","Godfrey Pontoons","Monaco","255","25 ft 9 in","N/A","A1265","Anderson Power","Parker AZ","145510","96989","2024-11-05"
"2023","Godfrey Pontoons","Sweetwater","2486","25 ft 8.66 in","N/A","A1264","Anderson Power","Parker AZ","108474","79995","2024-11-05"
"2023","Hurricane","FunDeck","2260","22 ft 2 in","N/A","A1433","Anderson Power","Parker AZ","91595","65995","2024-11-05"
"2023","Hurricane","SunDeck","Sport","18 ft 10 in","N/A","A1334","Anderson Power","Parker AZ","52061","37999","2024-11-05"
"2023","Sea-Doo","Switch","Compact-130","N/A","N/A","H3022","Anderson Power","Parker AZ","19519","19519","2024-11-05"
"2023","Sea-Doo","Switch","Sport","N/A","N/A","B2709","Anderson Power","Parker AZ","40999","33999","2024-11-05"
"2023","Sea-Doo","Switch","Sport","N/A","N/A","B2708","Anderson Power","Parker AZ","40999","33999","2024-11-05"
"2023","Sea-Doo","Switch","Sport","N/A","N/A","H3024","Anderson Power","Parker AZ","37399","37399","2024-11-05"
"2023","Sea-Doo","Switch","Sport","N/A","N/A","H3023","Anderson Power","Parker AZ","37399","37399","2024-11-05"
"2023","Sea-Doo","Switch","Sport","N/A","N/A","B2706","Anderson Power","Parker AZ","40399","33399","2024-11-05"
"2023","Sea-Doo","Switch","Sport","N/A","N/A","B2707","Anderson Power","Parker AZ","40399","33399","2024-11-05"
"2023","Sea-Doo","Switch","Sport","N/A","N/A","H3021","Anderson Power","Parker AZ","40399","40399","2024-11-05"
"2025","Yamaha Marine","N/A","BPT1800G-BAP","N/A","N/A","H3058","Anderson Power","Parker AZ","120999","120999","2024-11-05"
"2025","Yamaha Marine","N/A","BXT1900E-BBP","N/A","N/A","H2913","Anderson Power","Parker AZ","74999","74999","2024-11-05"
"2025","Yamaha Marine","N/A","BXT1900F-BP","N/A","N/A","H3056","Anderson Power","Parker AZ","70999","70999","2024-11-05"
"2025","Yamaha Marine","N/A","HLT1050A-BBP","N/A","N/A","H2921","Anderson Power","Parker AZ","57999","57999","2024-11-05"
"2025","Yamaha Marine","N/A","HLT1050B-BBP","N/A","N/A","H2914","Anderson Power","Parker AZ","54999","54999","2024-11-05"
"2025","Yamaha Marine","N/A","TP1800A-BAP","N/A","N/A","H2936","Anderson Power","Parker AZ","47799","47799","2024-11-05"
"2025","Yamaha Marine","N/A","TP1800A-BBP","N/A","N/A","H3060","Anderson Power","Parker AZ","47799","47799","2024-11-05"
