"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Avalon","2385","LSZ","N/A","N/A","2211","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Avalon","2385","LSZ","N/A","N/A","2210","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Avalon","2585","GEOfish","N/A","N/A","2209","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1650","Rebel","N/A","N/A","2167","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1650","Rebel","N/A","N/A","2170","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1675","Adventure","N/A","N/A","2145","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1675","Adventure","N/A","N/A","2166","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1675","Alaskan","N/A","N/A","2192","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1775","Adventure","N/A","N/A","2217","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1775","Adventure","N/A","N/A","2165","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1775","Adventure","N/A","N/A","2171","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1775","IMPACT","N/A","N/A","2186","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1775","IMPACT","N/A","N/A","2154","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1775","IMPACT","N/A","N/A","2187","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1775","Impact","N/A","N/A","2155","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1775","PRO","N/A","N/A","2193","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1875","CROSSOVER","N/A","N/A","2161","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1875","IMPACT","N/A","N/A","2185","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1875","IMPACT","N/A","N/A","2190","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1875","Pro-V","N/A","N/A","2164","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2022","Karavan","N/A","KDPT-2225-50-DB-13","N/A","N/A","1757T-TTB","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Lund","2075","Fisherman","N/A","N/A","1826","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2023","Avalon","VLS","Quad","N/A","N/A","1881","Appleton Boats","Appleton WI","25795","25795","2024-11-04"
"2023","Viaggio","Del","Mar","N/A","N/A","1915","Appleton Boats","Appleton WI","22995","22995","2024-11-04"
"2023","Viaggio","Lago","25Q","N/A","N/A","1605","Appleton Boats","Appleton WI","48500","48500","2024-11-04"
"2025","Boatmate Trailers","Custom","Bunk","N/A","N/A","2176T","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Karavan","SCISSOR","PONTOON","N/A","N/A","2159T","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1600","FURY","N/A","N/A","2224","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1775","IMPACT","N/A","N/A","2213","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Mercury","115ELPT","PRO","N/A","N/A","2217M-L","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Mercury","15","ELHPT","N/A","N/A","2223M-K","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Mercury","150XL","PROXS","N/A","N/A","2130M","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Mercury","N/A","200L","N/A","N/A","1605M-A","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Mercury","N/A","25ELHPT","N/A","N/A","2224M-L","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Mercury","400CL","VERADO","N/A","N/A","2176MM-A","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Mercury","400L","V10","N/A","N/A","2173M-L","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Mercury","400L","VERADO","N/A","N/A","2176M-A","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Shorelandr","BUNK","TRAILER","N/A","N/A","2224T-L","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Shorelandr","LUNDGARD","BUNK","N/A","N/A","2217T-L","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Lund","2175","Pro","N/A","N/A","2072","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Mercury","300","Verado","N/A","N/A","2063M-A","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1875","TYEE","N/A","N/A","2163","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","189","PRO","N/A","N/A","2207","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","189","TYEE","N/A","N/A","2208","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1975","Pro-V","N/A","N/A","2203","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1975","TYEE","N/A","N/A","2188","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","1975","TYEE","N/A","N/A","2162","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","2075","Pro-V","N/A","N/A","2156","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2025","Lund","219","PRO-V","N/A","N/A","2206","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Avalon","VTX","Cruise","N/A","N/A","2024","Appleton Boats","Appleton WI","26680","26680","2024-11-04"
"2024","Lund","1400","Fury","N/A","N/A","2019","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Lund","1650","Angler","N/A","N/A","1968","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Lund","1650","Angler","N/A","N/A","1840","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Lund","1675","Adventure","N/A","N/A","2020","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Lund","1775","Crossover","N/A","N/A","1987","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Lund","1875","Fisherman","N/A","N/A","2025","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Lund","1875","Pro-V","N/A","N/A","2043","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Lund","1875","Tyee","N/A","N/A","2027","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Lund","189","Tyee","N/A","N/A","1982","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Lund","1975","Pro-V","N/A","N/A","1983","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
"2024","Lund","2025","Impact","N/A","N/A","2007","Appleton Boats","Appleton WI","N/A","N/A","2024-11-04"
