"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2024","Grand Design","Momentum","22MAV","69292","60290","24H2360","ToyHauler","Mill Bay","Arbutus","2024-10-27"
"2024","Grand Design","Momentum","24MAV","73802","64190","24H2361","ToyHauler","Port Alberni","Arbutus","2024-10-27"
"2024","Forest River RV","Forester","Ford","261530","136990","24H2248","ClassC Gas","Nanaimo","Arbutus","2024-10-27"
"2024","Forest River RV","Forester","Ford","261530","136990","24H2247","ClassC Gas","Sidney","Arbutus","2024-10-27"
"2024","Thor Motor Coach","N/A","LC28","181547","142990","24H2138","ClassC Gas","Mill Bay","Arbutus","2024-10-27"
"2024","Forest River RV","Forester","2381","178575","145290","24H2292","ClassC Gas","Port Alberni","Arbutus","2024-10-27"
"2024","Thor Motor Coach","N/A","LC26","198631","146990","24H2080","ClassC Gas","Sidney","Arbutus","2024-10-27"
"2024","Forest River RV","Forester","TS2371","184808","150790","24H2293","ClassC Gas","Nanaimo","Arbutus","2024-10-27"
"2024","Thor Motor Coach","N/A","LF31","214109","165990","24H2038","ClassC Gas","Nanaimo","Arbutus","2024-10-27"
"2024","Forest River RV","Classic","Ford","207975","169390","24H2249","ClassC Gas","Mill Bay","Arbutus","2024-10-27"
"2025","Thor Motor Coach","N/A","MB24","217971","189590","25H2402","ClassC Diesel","Courtenay","Arbutus","2024-10-27"
"2024","Thor Motor Coach","Delano Sprinter","24RW","258503","199990","24H2134","ClassC Diesel","Port Alberni","Arbutus","2024-10-27"
"2024","Roadtrek","Roadtrek","Play","204230","177690","24H2372","ClassB Gas","Sidney","Arbutus","2024-10-27"
"2025","Roadtrek","Roadtrek","AGILE","N/A","N/A","25H2435","ClassB Gas","Nanaimo","Arbutus","2024-10-27"
"2025","Grand Design","Reflection","27BH","86323","75090","25H2401","Fifth Wheel","Port Alberni","Arbutus","2024-10-27"
"2025","Grand Design","Reflection","27BH","86323","75090","25H2412","Fifth Wheel","Nanaimo","Arbutus","2024-10-27"
"2024","Grand Design","Reflection","28RL","93453","78290","24H2320","Fifth Wheel","Port Alberni","Arbutus","2024-10-27"
"2024","Grand Design","Reflection","260RD","98454","79990","24H2238","Fifth Wheel","Parksville","Arbutus","2024-10-27"
