"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Bennington","N/A","20SVL-SPS","22 ft","N/A","BS-ETWR8404G425","Atlanta Marine","Buford","74177","52995","2024-11-04"
"2025","Bennington","N/A","20SVL-SPS","22 ft","N/A","HB-ETWR8407G425","Atlanta Marine","Buford","74177","52995","2024-11-04"
"2025","Bennington","N/A","20SVL-SPS","22 ft","N/A","BS-ETWR8405G425","Atlanta Marine","Buford","74177","52995","2024-11-04"
"2025","Bennington","N/A","20SVL-SPS","22 ft","N/A","BS-ETWR8406G425","Atlanta Marine","Buford","74177","52995","2024-11-04"
"2025","Bennington","N/A","21SL","22 ft","N/A","BS-ETWR9674H425","Atlanta Marine","Buford","63925","52995","2024-11-04"
"2025","Bennington","N/A","22MFB","24 ft","N/A","BS-ETWS0853I425","Atlanta Marine","Buford","90869","N/A","2024-11-04"
"2025","Bennington","N/A","22SSR","23 ft","N/A","BS-ETWS0742I425","Atlanta Marine","Buford","80956","52998","2024-11-04"
"2025","Bennington","N/A","22SSR","23 ft","N/A","BS-ETWS0786I425","Atlanta Marine","Buford","80956","52998","2024-11-04"
"2025","Bennington","N/A","22SSR","23 ft","N/A","BS-ETWS0787I425","Atlanta Marine","Buford","80956","52998","2024-11-04"
"2025","Bennington","N/A","22SSR","23 ft","N/A","BS-ETWS0785I425","Atlanta Marine","Buford","80956","52998","2024-11-04"
"2025","Bennington","N/A","23SL","24 ft","N/A","BS-ETWR9615H425","Atlanta Marine","Buford","65931","55995","2024-11-04"
"2025","Bennington","N/A","23SXPD","24 ft","N/A","BS-ETWS1032I425","Atlanta Marine","Buford","114011","N/A","2024-11-04"
"2025","Bennington","N/A","25QFBA","27 ft","N/A","CRS-ETWR9627H425","Atlanta Marine","Buford","241680","N/A","2024-11-04"
"2025","Bennington","N/A","25QXSBA","28 ft","N/A","BS-ETWR9659H425","Atlanta Marine","Buford","286819","N/A","2024-11-04"
"2025","Bennington","N/A","30QXSBAX2","31 ft","N/A","BS-ETWC4662H425","Atlanta Marine","Buford","410628","N/A","2024-11-04"
"2025","Chaparral","26","Surf","26 ft","N/A","HB-FGBT0100E425","Atlanta Marine","Buford","247842","N/A","2024-11-04"
"2025","Chaparral","267","SSX","26 ft","N/A","HB-FGBZ0101F425","Atlanta Marine","Buford","220197","N/A","2024-11-04"
"2025","Robalo","N/A","230","23 ft","N/A","CRS-ROBP0122H425","Atlanta Marine","Buford","145491","121815","2024-11-04"
"2025","Robalo","N/A","246","24 ft","N/A","CRS-ROBK0120H425","Atlanta Marine","Buford","164698","N/A","2024-11-04"
"2025","Sea Pro","230","Bay","23 ft","N/A","CRS-SPBBN332E425","Atlanta Marine","Both","109074","N/A","2024-11-04"
"2023","Four Winns","N/A","H4","23 ft","N/A","CRS-PFWFV080K223","Atlanta Marine","Both","160315","88140","2024-11-04"
"2023","Robalo","266","Cayman","N/A","N/A","BS-ROBX0142J223","Atlanta Marine","Buford","225285","149995","2024-11-04"
"2024","Sea Pro","202","Center","19 ft","N/A","BS-SPBHW272A424","Atlanta Marine","Both","106443","74995","2024-11-04"
"2024","Sea Pro","210","DLX","20 ft","N/A","BS-SPBAN112A424","Atlanta Marine","Both","106203","74995","2024-11-04"
"2024","Sea Pro","210","DLX","20 ft","N/A","CRS-SPBAN115B424","Atlanta Marine","Both","107133","74995","2024-11-04"
"2024","Sea Pro","210","DLX","20 ft","N/A","HB-SPBAN111A424","Atlanta Marine","Both","107083","74995","2024-11-04"
"2024","Sea Pro","222","Center","21 ft","N/A","BS-SPBJW089A424","Atlanta Marine","Both","94995","94995","2024-11-04"
"2024","Sea Pro","222","Center","21 ft","N/A","BS-SPBJW079K324","Atlanta Marine","Both","126003","94995","2024-11-04"
"2024","Sea Pro","242","DLX","24 ft","N/A","BS-SPBKW001K324","Atlanta Marine","Both","152976","119995","2024-11-04"
"2024","Sea Pro","242","Sport","23 ft","N/A","HB-SPBKW012B424","Atlanta Marine","Both","148456","114995","2024-11-04"
"2024","Sea Pro","250","DLX","24 ft","N/A","BS-SPBCN075A424","Atlanta Marine","Both","142499","114995","2024-11-04"
"2024","SUPRA","SE","450","24 ft 5 in","N/A","SH-ISRST055J324","Atlanta Marine","Buford","267590","N/A","2024-11-04"
"2024","SUPRA","SE","550","24 ft 5 in","N/A","SH-ISRST080L324","Atlanta Marine","Buford","288700","N/A","2024-11-04"
"2024","SUPRA","SE","550","24 ft 5 in","N/A","SH-ISRST077K324","Atlanta Marine","Buford","291630","N/A","2024-11-04"
"2024","SUPRA","SL","400","23 ft 5 in","N/A","SH-ISRSS060I324","Atlanta Marine","Buford","249660","N/A","2024-11-04"
"2024","SUPRA","SL","550","23 ft 5 in","N/A","SH-ISRSS013G324","Atlanta Marine","Buford","292400","N/A","2024-11-04"
"2024","SUPRA","SL","550","23 ft 5 in","N/A","SH-ISRSS097L324","Atlanta Marine","Buford","279803","N/A","2024-11-04"
