"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Bennington","20","SVS","204","N/A","R6206","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","Bennington","20","SVSR","204","YAMAHA F115LB 4-STROKE OUTBOARD","R6205","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","Bennington","20","SVSR","204","YAMAHA F115LB 4-STROKE OUTBOARD","R6204","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","Bennington","N/A","22SXFAPG","224","YAMAHA F115LB 4-STROKE OUTBOARD","R6207","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","G3","15","DK","155","YAMAHA F25LWTHC 4-STROKE OUTBOARD","95076","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","G3","15","DK","155","YAHAMA F25LWTHC 4-STROKE OUTBOARD","95412","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","G3","16","DK","165","YAMAHA F4OLEHA 4-STROKE OUTBOARD","95411","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","G3","18","CC","181","YAMAHA VF90LB 4-STROKE OUTBOARD","95407I","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","G3","18","CCT","181","YAMAHA F90LB 4-STROKE OUTBOARD","94875","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","G3","20","CC","1910","YAMAHA VF115LB 4-STROKE OUTBOARD","95409","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","G3","Sportsman","1710","1710","YAMAHA VF90LA 4-STROKE OUTBOARD","95456","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","G3","Sportsman","1710","1710","YAMAHA VF90LA 4-STROKE OUTBOARD","95458","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","G3","Sportsman","1710","1710","YAMAHA VF90LA 4-STROKE OUTBOARD","95457","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","G3","Sportsman","1710","1710","YAMAHA VF90LA 4-SRTOKE OUTBOARD","95459","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","SKEETER","N/A","ZX150","186","YAMAHA VF150LA 4-STROKE OUTBOARD","E0193","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2023","Bennington","22","SXSB","21","YAMAHA F150XB 4-STROKE OUTBOARD","N4025","Augusta Marine","Augusta GA","N/A","65100.00","2024-11-05"
"2023","Bennington","22","SXSR","21","YAMAHA F115LB 4-STROKE OUTBOARD","N5668","Augusta Marine","Augusta GA","N/A","48590.00","2024-11-05"
"2023","Bennington","N/A","22LL","21","YAMAHA F200XB 4-STROKE OUTBOARD","M9556","Augusta Marine","Augusta GA","N/A","73300.00","2024-11-05"
"2023","Bennington","23","LSB","22","YAMAHA F200XB 4-STROKE OUTBOARD","N0033","Augusta Marine","Augusta GA","N/A","82100.00","2024-11-05"
"2023","Hurricane","SunDeck","Sport","20","YAMAHA F150XB 4-STROKE OUTBOARD","72162","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","Bennington","N/A","21SL","224","YAMAHA F150XB 4-STROKE OUTBOARD","R9622","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2025","Bennington","N/A","23SL","224","YAMAHA F150XB 4-STROKE OUTBOARD","R9703","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2024","G3","Sportsman","1610","1610","YAMAHA F70LA 4-STROKE OUTBOARD","90271","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2024","G3","Sportsman","1610","1610","YAMAHA F70LA 4-STROKE OUTBOARD","91287","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
"2024","G3","Sportsman","1610","1610","YAMAHA F50LB 4-STROKE OUTBOARD","91286","Augusta Marine","Augusta GA","N/A","N/A","2024-11-05"
