"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","ATX","Boats","22","22","Indmar 6.2 Raptor 400","1240","Barnes Marine","Counce TN","142250.00","N/A","2024-11-05"
"2025","JC","TriToon","Swing","25","Suzuki 250SS","1245","Barnes Marine","Counce TN","117450.00","N/A","2024-11-05"
"2025","Viaggio","by","Misty","28","Suzuki 350","1246","Barnes Marine","Counce TN","155450.00","N/A","2024-11-05"
"2025","Viaggio","by","Misty","24","Suzuki 150","1244","Barnes Marine","Counce TN","59995.00","N/A","2024-11-05"
"2025","Viaggio","by","Misty","26","Suzuki 250","1242","Barnes Marine","Counce TN","88500.00","N/A","2024-11-05"
"2024","ATX","Boats","22","22 10","Indmar 6.2 Raptor 400","1215","Barnes Marine","Counce TN","119850.00","N/A","2024-11-05"
"2024","ATX","Boats","22","22","Indmar 6.2 Raptor 400","1234","Barnes Marine","Counce TN","119750.00","N/A","2024-11-05"
"2024","ATX","Boats","22","22","Indmar 6.2 Raptor 400","1236","Barnes Marine","Counce TN","119750.00","N/A","2024-11-05"
"2024","ATX","Boats","22","22","Indmar 6.2 Raptor 400","1239","Barnes Marine","Counce TN","109599.00","N/A","2024-11-05"
"2024","Harris","Crowne","250","25","MERCURY","1231","Barnes Marine","Counce TN","225000.00","N/A","2024-11-05"
"2024","Harris","Cruiser","250","25","Mercury 200","1241","Barnes Marine","Counce TN","75450.00","N/A","2024-11-05"
"2024","Harris","Sunliner","230","23","Mercury 200","1219","Barnes Marine","Counce TN","74995.00","N/A","2024-11-05"
"2024","Harris","Sunliner","250","25","Mercury 200","1225","Barnes Marine","Counce TN","83750.00","N/A","2024-11-05"
"2024","JC","SportAngler","26","26","Suzuki 350 SS","1212","Barnes Marine","Counce TN","124500.00","N/A","2024-11-05"
"2024","SeaArk","VFX","Elite","20","Suzuki 175","1214","Barnes Marine","Counce TN","48600.00","N/A","2024-11-05"
"2024","Tige","N/A","22RZX","22","Indmar 6.2 Raptor 400","1237","Barnes Marine","Counce TN","152500.00","N/A","2024-11-05"
"2024","Tige","N/A","Z3","23","Indmar 6.2 Raptor 400","1210","Barnes Marine","Counce TN","138500.00","N/A","2024-11-05"
"2024","Tige","N/A","Z3","23","Indmar 6.2 Raptor 400","1221","Barnes Marine","Counce TN","129995.00","N/A","2024-11-05"
"2024","Tige","N/A","Z3","23","Indmar 6.2 Raptor 400","1233","Barnes Marine","Counce TN","138995.00","N/A","2024-11-05"
"2023","JC","Neptoon","25","25","Suzuki 250 SS","1112","Barnes Marine","Counce TN","89995.00","N/A","2024-11-05"
"2023","Landau","IB","232","23","Suzuki 150","1201","Barnes Marine","Counce TN","64995.00","N/A","2024-11-05"
"2023","SeaArk","BC","190","19 6","Suzuki","1195","Barnes Marine","Counce TN","44700.00","N/A","2024-11-05"
