"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Avenger","Boats","AV26","26","Yamaha F350XSA2","BP0312G","Berkeley","Moncks Corner","N/A","N/A","2024-11-04"
"2025","Bentley","Pontoons","Bolt","208","Mercury 150L 4S","B14378G","Berkeley","Columbia","42664.00","42664.00","2024-11-04"
"2025","Bentley","Pontoons","Bolt","223","SUZUKI DF150ATL5","B14759i","Berkeley","Columbia","44071.00","44071.00","2024-11-04"
"2025","Bentley","Pontoons","Elite","258","MERCURY 300","B14512H","Berkeley","Moncks Corner","74920.00","74920.00","2024-11-04"
"2025","Bentley","Pontoons","Elite","258","MERCURY 300XL DTS","B14489H","Berkeley","Columbia","111635.00","111635.00","2024-11-04"
"2025","Bentley","Pontoons","Elite","258","MERCURY 400XL VERADO","B14513H","Berkeley","Moncks Corner","99608.00","99608.00","2024-11-04"
"2025","Bentley","Pontoons","Fish","208","MERCURY 115 ELPT CT 4S","B14758i","Berkeley","Columbia","37585.00","37585.00","2024-11-04"
"2025","Bentley","Pontoons","Fish","228","SUZUKI DF140 BTL5","B14761i","Berkeley","Columbia","41879.00","41879.00","2024-11-04"
"2025","Bentley","Pontoons","Fish","248","MERCURY 115 ELPT CT 4S","B14661i","Berkeley","Columbia","41351.00","41351.00","2024-11-04"
"2025","Bentley","Pontoons","Fish","235","MERCURY 115 ELPT CT 4S","B14511H","Berkeley","Moncks Corner","41287.00","41287.00","2024-11-04"
"2025","Bentley","Pontoons","Legacy","208","MERCURY 115 ELPT CT 4S","B14663i","Berkeley","Columbia","37556.00","37556.00","2024-11-04"
"2025","Bentley","Pontoons","Legacy","228","MERCURY 150 L 4S","B14376G","Berkeley","Columbia","50378.00","50378.00","2024-11-04"
"2025","Bentley","Pontoons","Legacy","228","Mercury 150L 4S","B14375G","Berkeley","Columbia","49244.00","49244.00","2024-11-04"
"2025","Bentley","Pontoons","Legacy","248","Mercury 115 ELPT CT","B14371G","Berkeley","Moncks Corner","39888.00","39888.00","2024-11-04"
"2025","Bentley","Pontoons","Legacy","248","MERCURY 115 ELPT CT","B14373G","Berkeley","Moncks Corner","40765.00","40765.00","2024-11-04"
"2024","Vexus","N/A","AVX181","181","Mercury 75 ELPT","B56844J","Berkeley","Columbia","35617.00","35617.00","2024-11-04"
"2024","Vexus","N/A","AVX1880","1810","Mercury 115 ELPT PXS CT","B56845J","Berkeley","Columbia","42156.00","42156.00","2024-11-04"
"2024","Vexus","N/A","AVX1880c","1810","Mercury 115L PXS CT 4S","B56798I","Berkeley","Moncks Corner","43208.00","43208.00","2024-11-04"
"2024","Vexus","N/A","AVX2080","202","Mercury 200L PXS TM","B56802I","Berkeley","Moncks Corner","57846.00","57846.00","2024-11-04"
"2023","Bennington","22","SXSB","239","Yamaha F90LB","BN5592B","Berkeley","Moncks Corner","45603.00","45603.00","2024-11-04"
"2023","Bennington","22","SXSR","2211","Yamaha F115LB","BN5593B","Berkeley","Moncks Corner","39502.00","39502.00","2024-11-04"
"2023","Mako","Pro","Skiff","136","Mercury 25 ELPT 4S EFI","B75057B","Berkeley","Moncks Corner","18270.00","18270.00","2024-11-04"
"2023","Sun","Tracker","Party","221","Mercury 115 ELPT CT 4S","B86113K","Berkeley","Columbia","40693.00","40693.00","2024-11-04"
"2024","Tahoe","N/A","T18","185","Mercury 115 ELPT PXS","B50400B","Berkeley","Moncks Corner","32299.00","32299.00","2024-11-04"
"2024","Tahoe","N/A","T18","185","Mercury 115 ELPT PXS","B50723C","Berkeley","Moncks Corner","34974.00","34974.00","2024-11-04"
"2024","Tahoe","N/A","T21","215","Mercury 150 XL PXS","B33392J","Berkeley","Columbia","45175.00","45175.00","2024-11-04"
"2024","Tahoe","N/A","T21","215","Mercury 150XL PXS","B33390J","Berkeley","Moncks Corner","46822.00","46822.00","2024-11-04"
"2024","Tracker","Boats","Bass","168","Mercury 50 ELPT 4S EFI","B77494D","Berkeley","Columbia","16905.00","16905.00","2024-11-04"
"2024","Tracker","Boats","Bass","168","MERCURY 50 ELPT 4S EFI","B77138D","Berkeley","Moncks Corner","16930.00","16930.00","2024-11-04"
"2024","Tracker","Boats","Grizzly","161","Mercury 50 ELPT 4S EFI","B90506L","Berkeley","Moncks Corner","17754.00","17754.00","2024-11-04"
"2024","Tracker","Boats","Grizzly","161","Mercury 50 ELPT 4S EFI","B71320A","Berkeley","Moncks Corner","17311.00","17311.00","2024-11-04"
"2024","Tracker","Boats","Grizzly","161","Mercury 50 ELPT 4S EFI","B90042L","Berkeley","Columbia","17754.00","17754.00","2024-11-04"
"2024","Tracker","Boats","Grizzly","215","Mercury 150XL 4S","B20255D","Berkeley","Moncks Corner","43389.00","43389.00","2024-11-04"
"2024","Tracker","Boats","PRO","168","Mercury 50ELPT 4S EFI","B81045F","Berkeley","Moncks Corner","19769.00","19769.00","2024-11-04"
"2024","Tracker","Boats","Pro","168","Mercury 50 ELPT 4S EFI","B76670D","Berkeley","Columbia","20149.00","20149.00","2024-11-04"
"2024","Tracker","Boats","Pro","187","Mercury 115ELPT PXS4 STD","B85371I","Berkeley","Columbia","31820.00","31820.00","2024-11-04"
"2024","Tracker","Boats","PRO","187","Mercury 150L PXS","B85557I","Berkeley","Moncks Corner","36545.00","36545.00","2024-11-04"
"2024","Vexus","N/A","AVX181","181","Mercury 75 ELPT 4S","B56843J","Berkeley","Moncks Corner","35734.00","35734.00","2024-11-04"
"2024","Ranger","Boats","RT188P","1810","Mercury 115 ELPT PXS CT","B50819G","Berkeley","Moncks Corner","37561.00","37561.00","2024-11-04"
"2024","Ranger","Boats","RT198P","1910","Mercury 150L PXS","B40159A","Berkeley","Moncks Corner","41038.00","41038.00","2024-11-04"
"2024","Ranger","Boats","Z519","199","Mercury 225L PXS TM","B20063E","Berkeley","Moncks Corner","71310.00","71310.00","2024-11-04"
"2024","Sun","Tracker","Bass","16","Mercury 50 ELPT 4S EFI","B10853A","Berkeley","Columbia","23354.00","23354.00","2024-11-04"
"2024","Sun","Tracker","Bass","178","Mercury 75 ELPT","B12570C","Berkeley","Columbia","30840.00","30840.00","2024-11-04"
"2024","Sun","Tracker","Fishin'","1910","Mercury 90 ELPT 4S CT","B24576J","Berkeley","Columbia","38163.00","38163.00","2024-11-04"
"2024","Sun","Tracker","Party","1910","Mercury 90 ELPT 4S CT","B12095B","Berkeley","Moncks Corner","38148.00","38148.00","2024-11-04"
"2024","Sun","Tracker","Party","1910","Mercury 90 ELPT CT 4S","B13594D","Berkeley","Columbia","37968.00","37968.00","2024-11-04"
"2024","Sun","Tracker","Sportfish","1910","Mercury 90ELPT 4S CT","B25173K","Berkeley","Columbia","37481.00","37481.00","2024-11-04"
"2024","Sun","Tracker","Sportfish","242","Mercury 115 ELPT CT 4S","B23604I","Berkeley","Moncks Corner","42535.00","42535.00","2024-11-04"
"2024","Tahoe","185","S","185","MERCURY 150XL 4S","UB50915D","Berkeley","Columbia","37495.00","37495.00","2024-11-04"
"2024","Tahoe","N/A","2150","211","Mercury 200XL","B32046D","Berkeley","Moncks Corner","54390.00","54390.00","2024-11-04"
"2024","Tahoe","2150","CC","211","Mercury 200XL 4S WF 4.8"" 1.85 COLD","B32952H","Berkeley","Moncks Corner","61712.00","61712.00","2024-11-04"
"2024","Tahoe","N/A","T16","165","Mercury 75ELPT 4S STD","B33774K","Berkeley","Moncks Corner","29058.00","29058.00","2024-11-04"
"2024","Tahoe","N/A","T18","185","Mercury 115 ELPT PXS 4S","B33164I","Berkeley","Columbia","34089.00","34089.00","2024-11-04"
"2024","Bentley","Pontoons","Elite","228","Mercury 200XL PXS","B13995D","Berkeley","Columbia","59351.00","59351.00","2024-11-04"
"2024","Bentley","Pontoons","Elite","258","Suzuki DF250TX","B13198K","Berkeley","Moncks Corner","69270.00","69270.00","2024-11-04"
"2024","Bentley","Pontoons","Fish","248","Mercury M150","B12699I","Berkeley","Columbia","44157.00","44157.00","2024-11-04"
"2024","Bentley","Pontoons","Legacy","22","Mercury 115 ELPT CT 4S","B13994D","Berkeley","Columbia","39612.00","39612.00","2024-11-04"
"2024","Bentley","Pontoons","Legacy","228","Suzuki DF140BTL5","B13760D","Berkeley","Moncks Corner","41765.00","41765.00","2024-11-04"
"2024","Bentley","Pontoons","Legacy","248","Mercury 150","B14084E","Berkeley","Moncks Corner","44138.00","44138.00","2024-11-04"
"2024","Bulls","Bay","2000","196","Yamaha F150XC","BR8118D","Berkeley","Moncks Corner","44217.00","44217.00","2024-11-04"
"2024","Bulls","Bay","200CC","193","Suzuki DF150ATXW5","BL8058J","Berkeley","Columbia","52458.00","52458.00","2024-11-04"
"2024","Lowe","Boats","RX1760","1610","Mercury 60 ELPT 4S EFI","B01150J","Berkeley","Moncks Corner","25097.00","25097.00","2024-11-04"
"2024","Nitro","N/A","Z17","174","Mercury 115ELPT PXS4 STD","B51139J","Berkeley","Columbia","29578.00","29578.00","2024-11-04"
"2024","Nitro","N/A","Z18","188","Mercury 175L PXS","B50553G","Berkeley","Moncks Corner","46942.00","46942.00","2024-11-04"
"2024","Pioneer","Boats","Pelagic","266","Suzuki DF250APXW5 (2)","BM4201K","Berkeley","Moncks Corner","190684.00","190684.00","2024-11-04"
"2024","Ranger","Boats","RB200","2010","Mercury 150 XL PXS","B51470I","Berkeley","Moncks Corner","48585.00","48585.00","2024-11-04"
"2024","Ranger","Boats","RB200","2010","Mercury 150L PXS 4S","B52516K","Berkeley","Columbia","47127.00","47127.00","2024-11-04"
"2024","Ranger","Boats","RT188P","1810","Mercury 115ELPT PXS CT","B50204E","Berkeley","Columbia","37565.00","37565.00","2024-11-04"
"2025","Tracker","Boats","Pro","166","MERCURY 90 ELPT 4S","B47389G","Berkeley","Columbia","28870.00","28870.00","2024-11-04"
"2025","Tracker","Boats","Pro","177","MERCURY 75 ELPT 4S","B49990i","Berkeley","Columbia","27015.00","27015.00","2024-11-04"
"2025","Tracker","Boats","Pro","177","Mercury 75ELPT 4S STD","B44405E","Berkeley","Moncks Corner","28090.00","28090.00","2024-11-04"
"2025","Tracker","Boats","Pro","177","Mercury 75ELPT 4S STD","B47912G","Berkeley","Moncks Corner","27690.00","27690.00","2024-11-04"
"2025","Tracker","Boats","Pro","177","MERCURY 75 ELPT 4S","B50612i","Berkeley","Columbia","27690.00","27690.00","2024-11-04"
"2025","Tracker","Boats","Pro","177","MERCURY 75 ELPT","B50817J","Berkeley","Moncks Corner","28115.00","28115.00","2024-11-04"
"2025","Tracker","Boats","Pro","187","MERCURY 115 ELPT PXS","B50099i","Berkeley","Columbia","35470.00","35470.00","2024-11-04"
"2025","Vexus","N/A","ACX2210","221","MERCURY 250XL PXS","B57233H","Berkeley","Columbia","78977.00","78977.00","2024-11-04"
"2024","Bennington","188","SVL","184","Yamaha T60LB","BP7090K","Berkeley","Moncks Corner","30873.00","30873.00","2024-11-04"
"2024","Bennington","20","SVSR","2011","Yamaha F90LB","BP4681I","Berkeley","Moncks Corner","34303.00","34303.00","2024-11-04"
"2024","Bennington","22","SVF","22","Yamaha F115LB","BP7461K","Berkeley","Moncks Corner","41313.00","41313.00","2024-11-04"
"2024","Bennington","22","SVSB-SPS","224","Yamaha F150XC","BR3444D","Berkeley","Moncks Corner","52073.00","52073.00","2024-11-04"
"2024","Bennington","22","SXSB","231","Yamaha F150XC","BP3784H","Berkeley","Moncks Corner","56261.00","56261.00","2024-11-04"
"2024","Bennington","23","RFB","253","Yamaha F300SXSB2","BR3318D","Berkeley","Moncks Corner","101835.00","101835.00","2024-11-04"
"2024","Bentley","Pontoons","240","248","Mercury 115 ELPT CT 4S","B13993D","Berkeley","Columbia","37240.00","37240.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","1111","Max. recommended: 5 HP","B47547G","Berkeley","Columbia","1670.00","1670.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","1111","N/A","B49424H","Berkeley","Moncks Corner","1670.00","1670.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","1310","Max. recommended: 15 HP","B46006F","Berkeley","Moncks Corner","1970.00","1970.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","1310","Max. recommended: 15 HP","B48022G","Berkeley","Columbia","1970.00","1970.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","174","Mercury 40 ELHPT 4S EFI","B46596G","Berkeley","Columbia","17985.00","17985.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","174","MERCURY 40 ELHPT 4S EFI","B48452H","Berkeley","Moncks Corner","17985.00","17985.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","171","MERCURY 60 ELPT 4S EFI","B47955G","Berkeley","Moncks Corner","22460.00","22460.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","171","MERCURY 60 ELPT 4S EFI","B47863G","Berkeley","Columbia","22460.00","22460.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","171","MERCURY 60 ELPT 4S EFI","B48203H","Berkeley","Columbia","22460.00","22460.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","171","MERCURY 60 ELPT 4S EFI","B48370H","Berkeley","Moncks Corner","22460.00","22460.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","192","MERCURY 90ELPT 4S STD","B21206G","Berkeley","Moncks Corner","26845.00","26845.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","192","MERCURY 90ELPT 4S STD","B21081E","Berkeley","Columbia","26845.00","26845.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","192","MERCURY 90 ELPT 4S","B21396i","Berkeley","Moncks Corner","26845.00","26845.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","215","MERCURY 150XL 4S","B21472J","Berkeley","Moncks Corner","37690.00","37690.00","2024-11-04"
"2025","Tracker","Boats","Grizzly","215","MERCURY 115EXLPT 4S STD","B21369H","Berkeley","Columbia","32715.00","32715.00","2024-11-04"
"2025","Pioneer","Boats","Islander","1910","Suzuki DF150ATXW5","BH5141G","Berkeley","Moncks Corner","N/A","N/A","2024-11-04"
"2025","Pioneer","Boats","Islander","221","Yamaha F300XCB","BZ5179G","Berkeley","Columbia","N/A","N/A","2024-11-04"
"2025","Ranger","Boats","RT178","1710","MERCURY 75 ELPT 4S","B30049G","Berkeley","Moncks Corner","32050.00","32050.00","2024-11-04"
"2025","Ranger","Boats","RT178C","1710","MERCURY 75 ELPT 4S","B30100G","Berkeley","Moncks Corner","32450.00","32450.00","2024-11-04"
"2025","Sun","Tracker","Bass","185","Mercury 50 ELPT 4S EFI","B40005D","Berkeley","Columbia","26535.00","26535.00","2024-11-04"
"2025","Sun","Tracker","Bass","16","Mercury 50 ELPT 4S EFI","B61777G","Berkeley","Moncks Corner","26535.00","26535.00","2024-11-04"
"2025","Sun","Tracker","Bass","16","MERCURY 50 ELPT 4S EFI","B62822i","Berkeley","Moncks Corner","26535.00","26535.00","2024-11-04"
"2025","Sun","Tracker","Bass","178","Mercury 75 ELPT","B60591F","Berkeley","Columbia","33740.00","33740.00","2024-11-04"
