"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2023","Jayco","Precept","34G","215326","128995","57974","ClassA Gas","Meridian ID","Bish","2024-10-25"
"2024","Newmar","Bay Star","2813","225172","174911","81669","ClassA Gas","Meridian ID","Bish","2024-10-25"
"2023","Newmar","Bay Star","3408","270466","184911","68678","ClassA Gas","Meridian ID","Bish","2024-10-25"
"2024","Newmar","Bay Star","2813","228889","173995","81668","ClassA Gas","Junction City OR","Bish","2024-10-25"
"2024","Forest River RV","Timberwolf","16ML","54434","31995","81641","Destination Trailer","Coldwater MI","Bish","2024-10-25"
"2024","Keystone RV","Hideout","24LOF","49875","29995","88235","Destination Trailer","Coldwater MI","Bish","2024-10-25"
"2024","Forest River RV","N/A","RVS1","63216","42995","80708","Destination Trailer","Anderson IN","Bish","2024-10-25"
"2024","Forest River RV","N/A","RVS1","63216","42995","80709","Destination Trailer","Anderson IN","Bish","2024-10-25"
"2024","Forest River RV","Wildwood","42FLDL","94200","63995","78697","Destination Trailer","Anderson IN","Bish","2024-10-25"
"2024","Forest River RV","Wildwood","42FK","96342","65995","78696","Destination Trailer","Anderson IN","Bish","2024-10-25"
"2025","Forest River RV","N/A","400BH","83903","62995","82941","Destination Trailer","Ludington MI","Bish","2024-10-25"
"2025","Forest River RV","N/A","42DL","92932","66495","87510","Destination Trailer","Ludington MI","Bish","2024-10-25"
"2025","Forest River RV","View","42VIEW","99702","74995","87512","Destination Trailer","Ludington MI","Bish","2024-10-25"
"2025","Forest River RV","View","44VIEW","103762","79995","88013","Destination Trailer","Ludington MI","Bish","2024-10-25"
"2025","Forest River RV","Cedar Creek","40CFD","105975","77995","85735","Destination Trailer","Ludington MI","Bish","2024-10-25"
"2025","Forest River RV","View","44VIEW","105849","79995","88054","Destination Trailer","Kearney NE","Bish","2024-10-25"
