"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Centurion","N/A","Ri265","26 ft 5 in","N/A","7498","Blm Boats","Madera CA","N/A","N/A","2024-11-02"
"2025","Regency","250","DL3","27 ft 5 in","N/A","7494","Blm Boats","Madera CA","88685","88685","2024-11-02"
"2025","Sun Tracker","Party","Barge","18 ft 5 in","N/A","7476","Blm Boats","Madera CA","27140","27140","2024-11-02"
"2025","Sun Tracker","Party","Barge","20 ft","N/A","7497","Blm Boats","Madera CA","35130","35130","2024-11-02"
"2025","Sun Tracker","Party","Barge","24 ft 2 in","N/A","7465","Blm Boats","Madera CA","47035","47035","2024-11-02"
"2025","Sun Tracker","Sportfish","22","24 ft 2 in","N/A","7455","Blm Boats","Madera CA","45185","45185","2024-11-02"
"2024","Bennington","188","SVL","17 ft 4 in","N/A","7293","Blm Boats","Madera CA","44495","29995","2024-11-02"
"2024","Centurion","N/A","Fe22","22 ft","N/A","7402","Blm Boats","Madera CA","185316","144500","2024-11-02"
"2024","Centurion","N/A","Ri245","24 ft 6 in","N/A","7395","Blm Boats","Madera CA","N/A","N/A","2024-11-02"
"2024","Centurion","N/A","Ri245","26 ft 4 in","N/A","7471","Blm Boats","Madera CA","N/A","N/A","2024-11-02"
"2024","Centurion","N/A","Ri265","26 ft 6 in","N/A","N/A","Blm Boats","Madera CA","N/A","N/A","2024-11-02"
"2024","Nitro","Z18","Pro","18 ft 8 in","N/A","7422","Blm Boats","Madera CA","50285","50285","2024-11-02"
"2024","Nitro","Z19","Pro","19 ft","N/A","7347","Blm Boats","Madera CA","70905","67285","2024-11-02"
"2024","Nitro","Z19","Pro","19 ft 4 in","N/A","7344","Blm Boats","Madera CA","64360","64360","2024-11-02"
"2024","Nitro","Z21","XL","21 ft","N/A","7804","Blm Boats","Madera CA","78610","76610","2024-11-02"
"2024","Regency","230","LE3","25 ft 4 in","N/A","7435","Blm Boats","Madera CA","88270","83270","2024-11-02"
"2024","Regency","250","LE3","25 ft 2 in","N/A","7360","Blm Boats","Madera CA","100720","95720","2024-11-02"
"2024","Sun Tracker","Bass","Buggy","18 ft 5 in","N/A","7333","Blm Boats","Madera CA","25185","25185","2024-11-02"
"2024","Sun Tracker","Fishin'","Barge","24 ft 4 in","N/A","7348","Blm Boats","Madera CA","46035","46035","2024-11-02"
"2024","Sun Tracker","Fishin'","Barge","24 ft 2 in","N/A","7374","Blm Boats","Madera CA","57565","57565","2024-11-02"
"2023","Triton Boats","18","TRX","18 ft 9 in","N/A","7232","Blm Boats","Madera CA","49995","49995","2024-11-02"
"2023","Triton Boats","20","XP","20 ft 5 in","N/A","7357","Blm Boats","Madera CA","77500","77500","2024-11-02"
"2023","VEER","N/A","V13","13 ft","N/A","7286","Blm Boats","Madera CA","11000","11000","2024-11-02"
"2022","Supreme Boats","N/A","ZS252","25 ft 2 in","N/A","7258","Blm Boats","Madera CA","124995","124995","2024-11-02"
