Year, Company, Brand, FloorPlan, Msrp, Discount, Stock-Number, Unit Type, Location, Dealer, Date
2025,Grand-Design,transcend,one,151rb,21195,19980,T93919,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,light,26bh,32207,22980,T89117,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2024,Jayco,jay flight slx,N/A,260bh,35206,22980,T88437,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2024,Jayco,jay,flight,225mls,44493,27980,T81963,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2023,Forest-River-Rv,aurora,N/A,26fkds,49291,28980,HG23057,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2024,Grand-Design,transcend,xplor,26bhx,30818,28980,T90113,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2024,Grand-Design,transcend,xplor,26bhx,30818,28980,T90067,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2024,Grand-Design,transcend,xplor,26bhx,30818,28980,T90068,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2024,Jayco,jay flight slx,N/A,261bhs,41506,28980,T88892,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,cherokee grey wolf,N/A,26dbh,48266,29980,T96052,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2024,Jayco,jay,flight,247rbs,47861,31980,T86615,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,26bhs,37717,32980,T94773,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2024,Grand-Design,transcend,xplor,245rl,36312,32980,T90537,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2024,Grand-Design,transcend,xplor,315bh,42694,32980,T78346,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2024,Jayco,jay,flight,284bhs,49971,32980,T85190,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
2025,Jayco,jay flight slx,N/A,262rls,40006,32980,T94772,Travel Trailer,Park City KS,BlueCompass RV,2024-10-15
