Year, Company, Brand, FloorPlan, Msrp, Discount, Stock-Number, Unit Type, Location, Dealer, Date
2024,Forest River RV,N/A,26BH,32207,22980,T89117,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,260BH,35206,22980,T88437,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,260BH,33706,24980,T95416,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,260BHW,37007,24980,T97203,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Forest River RV,Cherokee,16BHSBLW,41690,25980,T85119,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,225MLS,44493,27980,T81963,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,260BH,34006,27980,T98526,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2023,Forest River RV,N/A,26FKDS,49291,28980,HG23057,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Transcend,26BHX,30818,28980,T90113,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Transcend,26BHX,30818,28980,T90067,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Transcend,26BHX,30818,28980,T90068,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,261BHS,41506,28980,T88892,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,261BHSW,45250,29580,T96402,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Imagine,14MS,34037,29599,T89379,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Forest River RV,Cherokee,26DBH,48266,29980,T96052,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,247RBS,47861,31980,T86615,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Forest River RV,N/A,26BHS,37717,32980,T94773,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Transcend,245RL,36312,32980,T90537,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Transcend,315BH,42694,32980,T78346,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,284BHS,49971,32980,T85190,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,262RLS,40006,32980,T94772,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Grand Design,Transcend,26BHX,33872,N/A,T96974,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Grand Design,Transcend,22RBX,34384,N/A,T93414,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Forest River RV,Cherokee,26DBH,48260,34980,T96926,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,262RLSW,45250,34980,T95464,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Transcend,251BH,38816,34999,T80177,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,240RBSW,50224,35980,T97169,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Grand Design,Transcend,25MLX,36493,N/A,T95807,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,324BDS,55169,36980,T83388,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Imagine,22MLE,43965,37599,T85609,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Imagine,24BSE,46835,37980,T79950,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,324BDS,55169,37980,T86623,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,331BTS,61053,38980,T79509,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Imagine,2600RB,50527,39980,T87930,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Imagine,2660BS,53449,39980,T88014,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Feather,24RL,57002,39980,T91773,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,262RLS,40006,N/A,T98575,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Grand Design,Imagine,21BHE,40188,N/A,T94181,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Grand Design,Imagine,22RBE,42068,N/A,T96498,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Grand Design,Transcend,245RLT,42479,N/A,T96980,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Imagine,3210BH,69510,44980,T75484,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Feather,27MK,68435,44980,T98348,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Jayco,White Hawk,26FK,71405,44980,T87688,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,261BHSW,45250,45245,T97239,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,262RLSW,45250,N/A,T97149,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Jayco,White Hawk,27RB,69379,48980,T87689,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Grand Design,Imagine,2500RL,51392,N/A,T95778,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Grand Design,Imagine,2800BH,54212,N/A,T96510,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Grand Design,Reflection,312BHTS,79562,59980,T88175,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Grand Design,Reflection,296RDTS,70896,N/A,T97318,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Grand Design,Reflection,297RSTS,72363,N/A,T96492,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Forest River RV,N/A,23MKS,N/A,N/A,T97871,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Grand Design,Transcend,24BHX,N/A,N/A,T99443,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Feather,166FBS,N/A,N/A,T100017,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Feather,199MBS,N/A,N/A,T98390,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,260BH,N/A,N/A,T98501,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,260BH,N/A,N/A,T100003,Travel Trailer,Park City KS,BlueCompass,2024-10-30
2024,Forest River RV,Cherokee,26EV,30091,19990,T93307,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Forest River RV,Cherokee,16KHW,42622,22980,T89301,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,260BH,33156,22980,T88406,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,260BH,33156,22980,T88857,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,210QB,31656,24980,T95409,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Forest River RV,Cherokee,18RR,44011,25988,T87430,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,175BH,26836,N/A,T95381,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Grand Design,Transcend,26BHX,30818,26980,T90102,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,261BHS,39456,27995,T88896,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,261BHS,39456,27995,T88893,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Grand Design,Transcend,24BHX,28032,N/A,T93506,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,261BHS,39456,28990,T83911,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Grand Design,Transcend,245RL,36901,29980,T78263,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,262RLS,37956,29980,T98584,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,260BH,31956,N/A,T98498,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,261BHSW,42180,31980,T98569,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,262RLS,37956,31980,T98585,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Forest River RV,N/A,26BHS,38045,32980,T96189,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,260BH,33156,N/A,T87555,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Grand Design,Transcend,26BHX,33872,N/A,T96972,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Forest River RV,N/A,27ATH,51637,33980,T83996,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Forest River RV,Cherokee,23DBHBL,50482,33990,T94599,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Forest River RV,N/A,29TQS,48047,34980,T97914,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Grand Design,Imagine,22MLE,43965,34980,T85753,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Jayco,Jay Flight,262RLSW,42180,34980,T96408,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Feather,25RB,55291,34995,T81986,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2024,Jayco,Jay Flight,324BDS,50507,35990,T82027,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
2025,Forest River RV,N/A,23MKS,38044,N/A,T96064,Travel Trailer,Great Bend KS,BlueCompass,2024-10-30
