"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Avalon","Catalina","Elite","27 ft 8 in","N/A","2560070","BoatAndMotor SuperStores","Palm Harbor FL","129945","129945","2024-11-04"
"2025","Avalon","Catalina","Entertainer","27 ft 8 in","N/A","2560100","BoatAndMotor SuperStores","Palm Harbor FL","135945","135945","2024-11-04"
"2025","Avalon","Catalina","Quad","25 ft","N/A","2560200","BoatAndMotor SuperStores","Palm Harbor FL","82945","82945","2024-11-04"
"2025","Avalon","Excalibur","Elite","27 ft","N/A","2560210","BoatAndMotor SuperStores","Palm Harbor FL","269945","269945","2024-11-04"
"2025","Avalon","Excalibur","Elite","27 ft","N/A","2560060","BoatAndMotor SuperStores","Palm Harbor FL","219945","219945","2024-11-04"
"2025","Avalon","LSZ","Rear","23 ft","N/A","2560220","BoatAndMotor SuperStores","Palm Harbor FL","69945","69945","2024-11-04"
"2025","Blackfin","N/A","272CC","27 ft 2 in","N/A","2560600","BoatAndMotor SuperStores","Palm Harbor FL","N/A","N/A","2024-11-04"
"2025","Blackfin","332","CC","33 ft 2 in","N/A","2560110","BoatAndMotor SuperStores","Palm Harbor FL","497945","497945","2024-11-04"
"2025","Bluewater","23","T","25 ft 9 in","N/A","256","BoatAndMotor SuperStores","Palm Harbor FL","193454","163945","2024-11-04"
"2025","Bluewater ","25","T","25 ft","N/A","2560230","BoatAndMotor SuperStores","Palm Harbor FL","269945","223945","2024-11-04"
"2025","Key West Boats","1720","CC","17 ft 2 in","N/A","2560420","BoatAndMotor SuperStores","Palm Harbor FL","34775","29945","2024-11-04"
"2025","Key West Boats","1720","CC","17 ft 2 in","N/A","2560410","BoatAndMotor SuperStores","Palm Harbor FL","45445","36085","2024-11-04"
"2025","Key West Boats","1720","CC","17 ft 2 in","N/A","2560080","BoatAndMotor SuperStores","Palm Harbor FL","45250","35945","2024-11-04"
"2025","Key West Boats","219","FS","21 ft 9 in","N/A","2560050","BoatAndMotor SuperStores","Palm Harbor FL","109910","78945","2024-11-04"
"2025","Key West Boats","239","DFS","23 ft 9 in","N/A","N/A","BoatAndMotor SuperStores","Palm Harbor FL","106945","106945","2024-11-04"
"2025","Key West Boats","239","DFS","23 ft 9 in","N/A","2560560","BoatAndMotor SuperStores","Palm Harbor FL","110945","110945","2024-11-04"
"2025","Key West Boats","239","DFS","23 ft 9 in","N/A","2560550","BoatAndMotor SuperStores","Palm Harbor FL","110945","110945","2024-11-04"
"2025","Key West Boats","239","FS","23 ft 9 in","N/A","2560330","BoatAndMotor SuperStores","Palm Harbor FL","79945","79945","2024-11-04"
"2025","Key West Boats","239","FS","23 ft 9 in","N/A","2560320","BoatAndMotor SuperStores","Palm Harbor FL","104967","104967","2024-11-04"
"2025","Key West Boats","239","FS","29 ft 9 in","N/A","2560040","BoatAndMotor SuperStores","Palm Harbor FL","107550","88945","2024-11-04"
"2022","Mercury Marine","Verado","300CXL","N/A","N/A","2273510","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","115","Pro","N/A","N/A","2273140","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","115","Pro","N/A","N/A","2273150","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","115","Pro","N/A","N/A","2273160","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","115ELPT","N/A","N/A","2272250","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","115L","N/A","N/A","2272330","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","150CXL","N/A","N/A","2272550","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","150CXL","N/A","N/A","2271690","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","150CXL","N/A","N/A","2272740","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","150XL","N/A","N/A","2271810","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","150XL","N/A","N/A","2271680","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","150XL","N/A","N/A","2272710","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","200","N/A","N/A","2263470","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","225","N/A","N/A","2273060","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","50ELPT","N/A","N/A","2272590","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","50ELPT","N/A","N/A","2272620","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","Pro","XS","N/A","N/A","2270510","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","Verado","300","N/A","N/A","2273420","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","115ELPT","N/A","N/A","2273290","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","150CXL","N/A","N/A","2273470","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","FourStroke","20","N/A","N/A","2273800","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2023","Mercury Marine","FourStroke","60","N/A","N/A","N/A","BoatAndMotor SuperStores","Palm Harbor FL","7205","7205","2024-11-04"
"2023","Mercury Marine","ME","15","N/A","N/A","2371660","BoatAndMotor SuperStores","Palm Harbor FL","2935","2935","2024-11-04"
"2023","Mercury Marine","SeaPro","75","N/A","N/A","2371330","BoatAndMotor SuperStores","Palm Harbor FL","7245","7245","2024-11-04"
"2023","Mercury Marine","Verado","250","N/A","N/A","2376520","BoatAndMotor SuperStores","Palm Harbor FL","31105","26860","2024-11-04"
"2023","Mercury Marine","Verado","350","N/A","N/A","2375030","BoatAndMotor SuperStores","Palm Harbor FL","35945","35945","2024-11-04"
"2023","Monterey","N/A","275SS","30 ft 10 in","N/A","2363560","BoatAndMotor SuperStores","Palm Harbor FL","185945","99945","2024-11-04"
"2023","Monterey","N/A","M-225","22 ft","N/A","2363540","BoatAndMotor SuperStores","Palm Harbor FL","86200","58945","2024-11-04"
"2023","Sealine","N/A","C335v","33 ft 5 in","N/A","2363500","BoatAndMotor SuperStores","Palm Harbor FL","559945","559945","2024-11-04"
"2023","Yamaha Marine","F","200","N/A","N/A","2376750","BoatAndMotor SuperStores","Palm Harbor FL","16045","16045","2024-11-04"
"2023","Yamaha Marine","F","25","N/A","N/A","2370340","BoatAndMotor SuperStores","Palm Harbor FL","4495","3945","2024-11-04"
"2023","Yamaha Marine","F","30","N/A","N/A","2373460","BoatAndMotor SuperStores","Palm Harbor FL","6530","5145","2024-11-04"
"2023","Yamaha Marine","F","50","N/A","N/A","2373900","BoatAndMotor SuperStores","Palm Harbor FL","8195","6445","2024-11-04"
"2023","Yamaha Marine","F","60","N/A","N/A","2374550","BoatAndMotor SuperStores","Palm Harbor FL","9460","7545","2024-11-04"
"2023","Yamaha Marine","N/A","F150","N/A","N/A","Yama 150 150","BoatAndMotor SuperStores","Palm Harbor FL","14395","14395","2024-11-04"
"2023","Yamaha Marine","N/A","F25","N/A","N/A","2470530","BoatAndMotor SuperStores","Palm Harbor FL","5045","4345","2024-11-04"
"2023","Yamaha Marine","VF150","VMAX","N/A","N/A","2373090","BoatAndMotor SuperStores","Palm Harbor FL","14145","14145","2024-11-04"
"2022","Mercury Marine","115","FourStroke","N/A","N/A","2273020","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","115","FourStroke","N/A","N/A","2273100","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","115","FourStroke","N/A","N/A","2273110","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2022","Mercury Marine","115","FourStroke","N/A","N/A","2273120","BoatAndMotor SuperStores","Palm Harbor FL","1","1","2024-11-04"
"2024","Sportsman","Open","282","28 ft 2 in","N/A","2462480","BoatAndMotor SuperStores","Palm Harbor FL","336339","234945","2024-11-04"
"2024","Sportsman","Open","322","32 ft 2 in","N/A","2462660","BoatAndMotor SuperStores","Palm Harbor FL","512505","357945","2024-11-04"
"2024","Tahoe","1575","Sport","N/A","N/A","2460480","BoatAndMotor SuperStores","Palm Harbor FL","29945","19945","2024-11-04"
"2024","Yamaha","F","70","N/A","N/A","2472230","BoatAndMotor SuperStores","Palm Harbor FL","10330","8352","2024-11-04"
"2024","Yamaha Marine","F250","XCB","N/A","N/A","2471110","BoatAndMotor SuperStores","Palm Harbor FL","27460","23945","2024-11-04"
"2023","Avalon","LSZ","Entertainer","23 ft","N/A","2363080","BoatAndMotor SuperStores","Palm Harbor FL","49945","49945","2024-11-04"
"2023","Blackfin","N/A","272CC","27 ft 2 in","N/A","N/A","BoatAndMotor SuperStores","Palm Harbor FL","209956","209956","2024-11-04"
"2023","Blackfin","N/A","332CC","33 ft 2 in","N/A","2363530","BoatAndMotor SuperStores","Palm Harbor FL","369945","369945","2024-11-04"
"2023","Crestliner","1448M","CR","14 ft","N/A","2460860","BoatAndMotor SuperStores","Palm Harbor FL","8435","7765","2024-11-04"
"2023","Fountain","34","CC","34 ft","N/A","N/A","BoatAndMotor SuperStores","Palm Harbor FL","599945","599945","2024-11-04"
"2023","Mercury ","115","EXPT","N/A","N/A","2374690","BoatAndMotor SuperStores","Palm Harbor FL","11515","10150","2024-11-04"
"2023","Mercury","15","MH","N/A","N/A","2371660","BoatAndMotor SuperStores","Palm Harbor FL","2760","2760","2024-11-04"
"2023","Mercury","225","CXL","N/A","N/A","2377060","BoatAndMotor SuperStores","Palm Harbor FL","22185","19945","2024-11-04"
"2023","Mercury ","9.9","EH","N/A","N/A","2275790","BoatAndMotor SuperStores","Palm Harbor FL","3095","2675","2024-11-04"
"2023","Mercury","9.9","MH","N/A","N/A","2274880","BoatAndMotor SuperStores","Palm Harbor FL","2730","2355","2024-11-04"
"2023","Mercury ","90","ELPT","N/A","N/A","2373410","BoatAndMotor SuperStores","Palm Harbor FL","8795","8795","2024-11-04"
"2023","Mercury Marine","FourStroke","15","N/A","N/A","1A15201LK","BoatAndMotor SuperStores","Palm Harbor FL","2935","2935","2024-11-04"
"2023","Mercury Marine","FourStroke","20","N/A","N/A","N/A","BoatAndMotor SuperStores","Palm Harbor FL","3420","3420","2024-11-04"
"2023","Mercury Marine","FourStroke","200","N/A","N/A","2375850","BoatAndMotor SuperStores","Palm Harbor FL","20535","17735","2024-11-04"
"2023","Mercury Marine","FourStroke","6","N/A","N/A","2375580","BoatAndMotor SuperStores","Palm Harbor FL","2020","1845","2024-11-04"
"2024","Key West Boats","250","BR","25 ft","N/A","2460490","BoatAndMotor SuperStores","Palm Harbor FL","98945","98945","2024-11-04"
"2024","Key West Boats","263","FS","26 ft 3 in","N/A","2463080","BoatAndMotor SuperStores","Palm Harbor FL","179651","179651","2024-11-04"
"2024","Key West Boats","291","FS","29 ft 1 in","N/A","2462640","BoatAndMotor SuperStores","Palm Harbor FL","267945","267945","2024-11-04"
"2024","Mercury Marine","Verado","400","N/A","N/A","2471640","BoatAndMotor SuperStores","Palm Harbor FL","38615","38615","2024-11-04"
"2024","Monterey","255","SS","25 ft 8 in","N/A","2460280","BoatAndMotor SuperStores","Palm Harbor FL","174947","122945","2024-11-04"
"2024","Monterey","M","225","22 ft","N/A","2460370","BoatAndMotor SuperStores","Palm Harbor FL","93683","67945","2024-11-04"
"2024","Monterey","N/A","M45","24 ft","N/A","2460500","BoatAndMotor SuperStores","Palm Harbor FL","151610","104945","2024-11-04"
"2024","Road King","16","-","N/A","N/A","N/A","BoatAndMotor SuperStores","Palm Harbor FL","2295","N/A","2024-11-04"
"2024","Sealine","N/A","S335V","33 ft 5 in","N/A","2462210","BoatAndMotor SuperStores","Palm Harbor FL","496945","496945","2024-11-04"
"2024","Skeeter","N/A","SX210","21 ft","N/A","2462470","BoatAndMotor SuperStores","Palm Harbor FL","82371","64945","2024-11-04"
"2024","Skeeter","N/A","SX230","23 ft","N/A","2463190","BoatAndMotor SuperStores","Palm Harbor FL","78945","78945","2024-11-04"
