"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Alumacraft","Competitor","175","19 1","Suzuki DF150ATX5","","Brainerd Sports","Brainerd MN","48990.00","N/A","2024-11-05"
"2025","Starcraft","CX","25","26 8","Suzuki DF350ATXW5","","Brainerd Sports","Brainerd MN","89999.00","N/A","2024-11-05"
"2025","Starcraft","EXS1","HB4","21","Suzuki","","Brainerd Sports","Brainerd MN","55990.00","N/A","2024-11-05"
"2025","Starcraft","N/A","LX20R","20","Suzuki","","Brainerd Sports","Brainerd MN","31490.00","N/A","2024-11-05"
"2024","Alumacraft","Classic","165","16 8","Suzuki DF60ATL5","","Brainerd Sports","Brainerd MN","24299.00","N/A","2024-11-05"
"2024","Alumacraft","Classic","165","16 8","Suzuki DF60ATL5","","Brainerd Sports","Brainerd MN","24299.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","165","16 8","Suzuki DF90ATL5","","Brainerd Sports","Brainerd MN","29058.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","165","16 8","Suzuki DF90ATL5","","Brainerd Sports","Brainerd MN","30999.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","165","16 8","Yamaha F70LA","","Brainerd Sports","Brainerd MN","28899.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","175","17 8","Suzuki DF140BTX4","","Brainerd Sports","Brainerd MN","36999.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","FSX","18 8","Suzuki DF150ATX5","","Brainerd Sports","Brainerd MN","38699.00","N/A","2024-11-05"
"2024","Alumacraft","Escape","165","16 8","Suzuki DF50ATL5","","Brainerd Sports","Brainerd MN","18799.00","N/A","2024-11-05"
"2024","Alumacraft","Escape","165","16 8","Suzuki DF50ATL5","","Brainerd Sports","Brainerd MN","17799.00","N/A","2024-11-05"
"2024","Alumacraft","Escape","165","16 8","Suzuki DF50ATL5","","Brainerd Sports","Brainerd MN","17799.00","N/A","2024-11-05"
"2024","Alumacraft","Trophy","175","17 8","Suzuki DF140BTX5","","Brainerd Sports","Brainerd MN","39999.00","N/A","2024-11-05"
"2025","Alumacraft","Competitor","175","19 1","Suzuki DF150ATX5","","Brainerd Sports","Brainerd MN","48990.00","N/A","2024-11-05"
"2025","Starcraft","CX","25","26 8","Suzuki DF350ATXW5","","Brainerd Sports","Brainerd MN","89999.00","N/A","2024-11-05"
"2025","Starcraft","EXS1","HB4","21","Suzuki","","Brainerd Sports","Brainerd MN","55990.00","N/A","2024-11-05"
"2025","Starcraft","N/A","LX20R","20","Suzuki","","Brainerd Sports","Brainerd MN","31490.00","N/A","2024-11-05"
"2024","Alumacraft","Classic","165","16 8","Suzuki DF60ATL5","","Brainerd Sports","Brainerd MN","24299.00","N/A","2024-11-05"
"2024","Alumacraft","Classic","165","16 8","Suzuki DF60ATL5","","Brainerd Sports","Brainerd MN","24299.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","165","16 8","Suzuki DF90ATL5","","Brainerd Sports","Brainerd MN","29058.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","165","16 8","Suzuki DF90ATL5","","Brainerd Sports","Brainerd MN","30999.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","165","16 8","Yamaha F70LA","","Brainerd Sports","Brainerd MN","28899.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","175","17 8","Suzuki DF140BTX4","","Brainerd Sports","Brainerd MN","36999.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","FSX","18 8","Suzuki DF150ATX5","","Brainerd Sports","Brainerd MN","38699.00","N/A","2024-11-05"
"2024","Alumacraft","Escape","165","16 8","Suzuki DF50ATL5","","Brainerd Sports","Brainerd MN","18799.00","N/A","2024-11-05"
"2024","Alumacraft","Escape","165","16 8","Suzuki DF50ATL5","","Brainerd Sports","Brainerd MN","17799.00","N/A","2024-11-05"
"2024","Alumacraft","Escape","165","16 8","Suzuki DF50ATL5","","Brainerd Sports","Brainerd MN","17799.00","N/A","2024-11-05"
"2024","Alumacraft","Trophy","175","17 8","Suzuki DF140BTX5","","Brainerd Sports","Brainerd MN","39999.00","N/A","2024-11-05"
"2025","Alumacraft","Competitor","175","19 1","Suzuki DF150ATX5","","Brainerd Sports","Brainerd MN","48990.00","N/A","2024-11-05"
"2025","Starcraft","CX","25","26 8","Suzuki DF350ATXW5","","Brainerd Sports","Brainerd MN","89999.00","N/A","2024-11-05"
"2025","Starcraft","EXS1","HB4","21","Suzuki","","Brainerd Sports","Brainerd MN","55990.00","N/A","2024-11-05"
"2025","Starcraft","N/A","LX20R","20","Suzuki","","Brainerd Sports","Brainerd MN","31490.00","N/A","2024-11-05"
"2024","Alumacraft","Classic","165","16 8","Suzuki DF60ATL5","","Brainerd Sports","Brainerd MN","24299.00","N/A","2024-11-05"
"2024","Alumacraft","Classic","165","16 8","Suzuki DF60ATL5","","Brainerd Sports","Brainerd MN","24299.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","165","16 8","Suzuki DF90ATL5","","Brainerd Sports","Brainerd MN","29058.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","165","16 8","Suzuki DF90ATL5","","Brainerd Sports","Brainerd MN","30999.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","165","16 8","Yamaha F70LA","","Brainerd Sports","Brainerd MN","28899.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","175","17 8","Suzuki DF140BTX4","","Brainerd Sports","Brainerd MN","36999.00","N/A","2024-11-05"
"2024","Alumacraft","Competitor","FSX","18 8","Suzuki DF150ATX5","","Brainerd Sports","Brainerd MN","38699.00","N/A","2024-11-05"
"2024","Alumacraft","Escape","165","16 8","Suzuki DF50ATL5","","Brainerd Sports","Brainerd MN","18799.00","N/A","2024-11-05"
"2024","Alumacraft","Escape","165","16 8","Suzuki DF50ATL5","","Brainerd Sports","Brainerd MN","17799.00","N/A","2024-11-05"
"2024","Alumacraft","Escape","165","16 8","Suzuki DF50ATL5","","Brainerd Sports","Brainerd MN","17799.00","N/A","2024-11-05"
"2024","Alumacraft","Trophy","175","17 8","Suzuki DF140BTX5","","Brainerd Sports","Brainerd MN","39999.00","N/A","2024-11-05"
