"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Sun","Tracker","Party","22","Mercury 150L","ST-61192","Bryans Marine","Vidalia LA","N/A","43140.00","2024-11-04"
"2025","Tracker","Boats","12'","11 11","N/A","T-Topper12","Bryans Marine","Vidalia LA","N/A","1625.00","2024-11-04"
"2025","Tracker","Boats","Grizzly®","16","Mercury 40-ELHPT","T50017","Bryans Marine","Vidalia LA","N/A","14495.00","2024-11-04"
"2025","Tracker","Boats","GRIZZLY®","17","Mercury 50-ELHPT","T-47266","Bryans Marine","Vidalia LA","N/A","17659.00","2024-11-04"
"2025","Tracker","Boats","Grizzly®","17 1","Mercury 60-ELPT","T-48285","Bryans Marine","Vidalia LA","N/A","21735.00","2024-11-04"
"2025","Veranda","VR25RC","Tri-Toon","25","Yamaha VF115-SHO","V-14003","Bryans Marine","Vidalia LA","56540.00","54495.00","2024-11-04"
"2025","Xpress","Boats","H18C","17 10","Yamaha VF115-SHO","X-14482","Bryans Marine","Vidalia LA","37225.00","34990.00","2024-11-04"
"2025","Xpress","Boats","H20C","20","Yamaha F150","X-14484","Bryans Marine","Vidalia LA","43446.00","39950.00","2024-11-04"
"2025","Xpress","Boats","XTS16","16","Mercury 50-ELHPT","X-14825","Bryans Marine","Vidalia LA","18490.00","16998.00","2024-11-04"
"2025","Xpress","Boats","XTS16","16","Yamaha F50 TILLER","X-14826","Bryans Marine","Vidalia LA","19190.00","17990.00","2024-11-04"
"2024","Bennington","22","SL","22","Yamaha VF115-SHO","B-3793","Bryans Marine","Vidalia LA","47990.00","44499.00","2024-11-04"
"2024","Bennington","22","SL","22","Yamaha VF115-SHO","B-3791","Bryans Marine","Vidalia LA","47990.00","44499.00","2024-11-04"
"2024","Sun","Tracker","Bass","17 8","Mercury 60-ELPT Command Thrust","ST-18DLXBB","Bryans Marine","Vidalia LA","N/A","26585.00","2024-11-04"
"2024","Sun","Tracker","Party","21 11","Mercury 90ELPT","ST-20DLX","Bryans Marine","Vidalia LA","N/A","34200.00","2024-11-04"
"2024","Tracker","Boats","10'","10","N/A","T-topper10","Bryans Marine","Vidalia LA","N/A","1325.00","2024-11-04"
"2023","Veranda","VISTA22RC","Bi-Toon>>$3,100","22","Yamaha F70","V-07519","Bryans Marine","Vidalia LA","39990.00","36890.00","2024-11-04"
"2023","Weld-Craft","N/A","1544-CS","15","Yamaha F25","WC-13544","Bryans Marine","Vidalia LA","N/A","11149.00","2024-11-04"
"2023","Weld-Craft","N/A","1652-CL","16","Yamaha F40","WC-13510","Bryans Marine","Vidalia LA","N/A","15999.00","2024-11-04"
"2023","Weld-Craft","All-Welded","Jon","16","Yamaha F40","WC-13539Khaki","Bryans Marine","Vidalia LA","N/A","16499.00","2024-11-04"
"2023","Xpress","Boats","H17","17","Yamaha VF90-SHO","X-10252 CharGray","Bryans Marine","Vidalia LA","30990.00","28500.00","2024-11-04"
"2023","Xpress","Boats","H20B","20","Yamaha VF115-SHO","X-09474","Bryans Marine","Vidalia LA","40490.00","36990.00","2024-11-04"
"2023","Xpress","Boats","H20B","20","Yamaha VF115-SHO","X-CharLime","Bryans Marine","Vidalia LA","40490.00","36990.00","2024-11-04"
"2024","Tracker","Boats","BASS","16 8","Mercury 50ELPT","T-Black","Bryans Marine","Vidalia LA","N/A","17170.00","2024-11-04"
"2024","Tracker","Boats","BASS","16 8","Mercury 50ELPT","T-ClassicRED","Bryans Marine","Vidalia LA","N/A","17170.00","2024-11-04"
"2024","Tracker","Boats","Pro","17 7","Mercury 60-ELPT","T-75838","Bryans Marine","Vidalia LA","N/A","23570.00","2024-11-04"
"2024","Tracker","Boats","Pro","17 7","Mercury 75-ELPT","T-81051","Bryans Marine","Vidalia LA","27770.00","27090.00","2024-11-04"
"2024","Tracker","Boats","Pro","18 7","Mercury 150 Pro XS","T-71170","Bryans Marine","Vidalia LA","35700.00","34975.00","2024-11-04"
"2024","Weld-Craft","1442RS",">>$350","14","Yamaha F25","WC-13730","Bryans Marine","Vidalia LA","10249.00","9899.00","2024-11-04"
"2024","Weld-Craft","1752-MUVCDL",">>$1,631","17","Mercury 60-ELHPT","WC-13752","Bryans Marine","Vidalia LA","20290.00","18659.00","2024-11-04"
"2024","Xpress","Boats","H17","17","Yamaha VF90-SHO","X-10969","Bryans Marine","Vidalia LA","30990.00","29499.00","2024-11-04"
"2024","Xpress","Boats","H190B","18 10","Yamaha VF115-SHO","X-12014","Bryans Marine","Vidalia LA","31490.00","27890.00","2024-11-04"
"2023","Bennington","23","SXSR","23","Yamaha VF115-SHO","B-6078","Bryans Marine","Vidalia LA","56990.00","52990.00","2024-11-04"
"2023","Bennington","23","SXSR","23","Yamaha VF115-SHO","BN6079","Bryans Marine","Vidalia LA","54990.00","49990.00","2024-11-04"
"2023","Phoenix","Bass","Boats","N/A","N/A","Color Options","Bryans Marine","Vidalia LA","N/A","Color Options","2024-11-04"
"2023","Tracker","Boats","PRO","17 7","Mercury 60-ELPT","T-69546","Bryans Marine","Vidalia LA","23995.00","23499.00","2024-11-04"
"2023","Tracker","Boats","Red-Tag","18 7","Mercury 115 Pro XS","T-65076","Bryans Marine","Vidalia LA","33370.00","29999.00","2024-11-04"
"2023","Veranda","VISTA20RC","Bi-Toon>>Save","22","Yamaha F70","V-8222","Bryans Marine","Vidalia LA","38490.00","34599.00","2024-11-04"
