"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2024","Barletta","Cabrio","22Q","22'","MERCURY 150 4S","N24003","Buckeye Sports","Peninsula","85916.00","64213.00","2024-10-26"
"2024","Barletta","Cabrio","24UE","24'","MERCURY 60 ELPT 4S CT","N24078","Buckeye Sports","Peninsula","79480.00","58995.00","2024-10-26"
"2024","Barletta","Cabrio","24UE","24'","MERCURY 250 4S V8","N24184","Buckeye Sports","Peninsula","113497.00","86278.00","2024-10-26"
"2024","Barletta","Cabrio","C22U","23'2""","Mercury 200","H24021","Buckeye Sports","Huron","98179.00","74543.00","2024-10-26"
"2024","Barletta","Cabrio","C24Q","25'2""","Mercury 250","H24022","Buckeye Sports","Huron","104479.00","79583.00","2024-10-26"
"2024","Barletta","Cabrio","C24UE","25'2""","Mercury 250 4S","H24035","Buckeye Sports","Huron","116242.00","88994.00","2024-10-26"
"2024","Barletta","Corsa","X25UEA","25'","MERCURY 300 VERADO","N24004","Buckeye Sports","Peninsula","158089.00","129135.00","2024-10-26"
"2024","Barletta","Lusso","L23M","23'6""","MERCURY 300 VERADO","N24256","Buckeye Sports","Peninsula","166684.00","135941.00","2024-10-26"
"2024","Barletta","Lusso","L23M","25'6""","Mercury 300L Verado V8","H24037","Buckeye Sports","Huron","166984.00","139016.00","2024-10-26"
"2025","Barletta","Aria","22","22'","Mercury 150 4S","H25003","Buckeye Sports","Huron","81285.00","62508.00","2024-10-26"
"2025","Barletta","Aria","A22CC","22'6""","MERCURY 60 ELPT CT 4S","N25028","Buckeye Sports","Peninsula","62295.00","46876.00","2024-10-26"
"2025","Barletta","Aria","A22QC","22'6""","MERCURY 150 4S","N25001","Buckeye Sports","Peninsula","74745.00","57282.00","2024-10-26"
"2025","Barletta","Aria","A22QC","22'6""","MERCURY 200 V-6 4S","N25002","Buckeye Sports","Peninsula","82241.00","63542.00","2024-10-26"
"2025","Barletta","Aria","A22UC","22'6""","MERCURY 150 4S","N25032","Buckeye Sports","Peninsula","78840.00","59958.00","2024-10-26"
"2025","Barletta","Aria","A24QC","24'6""","MERCURY 250 V-8","N25029","Buckeye Sports","Peninsula","96176.00","73661.00","2024-10-26"
"2023","Barletta","Cabrio","C22UC","22'","MERCURY 60 CT 4S","N23083","Buckeye Sports","Peninsula","75928.00","43995.00","2024-10-26"
"2023","Barletta","Lusso","L25M","25'","MERCURY 300 V-8","N23089","Buckeye Sports","Peninsula","172121.00","113995.00","2024-10-26"
"2023","Barletta","Lusso","L25UE","25'","MERCURY 300 V-8","N23043","Buckeye Sports","Peninsula","160503.00","105995.00","2024-10-26"
"2024","Barletta","Aria","20QC","20'","MERCURY 150 4S","N24005","Buckeye Sports","Peninsula","72727.00","52612.00","2024-10-26"
"2024","Barletta","Aria","20QC","20'","MERCURY 115 CT","N24071","Buckeye Sports","Peninsula","59925.00","42755.00","2024-10-26"
"2024","Barletta","Aria","20QC","20'","MERCURY 150 4S","N24072","Buckeye Sports","Peninsula","71392.00","50874.00","2024-10-26"
"2024","Barletta","Aria","20UC","20'","MERCURY 60 ELPT CT","N24001","Buckeye Sports","Peninsula","59035.00","41995.00","2024-10-26"
"2024","Barletta","Aria","20UC","20'","MERCURY 60 ELPT CT","N24217","Buckeye Sports","Peninsula","63078.00","45182.00","2024-10-26"
"2024","Barletta","Aria","22QC","22'","MERCURY 150 4S","N24006","Buckeye Sports","Peninsula","73252.00","52245.00","2024-10-26"
"2024","Barletta","Aria","22QC","22'","MERCURY 60 ELPT CT","N24074","Buckeye Sports","Peninsula","56575.00","39995.00","2024-10-26"
"2024","Barletta","Aria","22UC","22'","MERCURY 60 ELPT CT 4S","N24040","Buckeye Sports","Peninsula","59560.00","42704.00","2024-10-26"
"2024","Barletta","Aria","22UC","22'","MERCURY 60 ELPT CT 4S","N24076","Buckeye Sports","Peninsula","59560.00","42704.00","2024-10-26"
"2024","Barletta","Aria","24QC","24'","MERCURY 60 ELPT 4S CT","N24036","Buckeye Sports","Peninsula","62200.00","44506.00","2024-10-26"
"2024","Barletta","Aria","24UC","24'","MERCURY 60 ELPT CT 4S","N24211","Buckeye Sports","Peninsula","65035.00","46689.00","2024-10-26"
"2024","Barletta","Aria","A20QC","20'","MERCURY 90 CT 4S","M24046","Buckeye Sports","Peninsula","59971.00","42790.00","2024-10-26"
