"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Tiffin Motorhomes","Allegro","PA","N/A","N/A","DAATOTMORA32PA","ClassA Gas","Davenport IA","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","PA","N/A","N/A","ACWATOTIFORA34PA","ClassA Gas","Acworth GA","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","PA","N/A","N/A","99165","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","LA","N/A","N/A","RALATOTMORA36LA","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","LA","N/A","N/A","TO25ATOTMORA36LA","ClassA Gas","Toms River NJ","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","LA","N/A","N/A","ACWATOTIFORA36LA","ClassA Gas","Acworth GA","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","LA","N/A","N/A","DAATOTMORA36LA","ClassA Gas","Davenport IA","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","UA","N/A","N/A","RALATOTMORA36UA","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","UA","N/A","N/A","TO25ATOTMORA36UA","ClassA Gas","Toms River NJ","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","UA","N/A","N/A","ACWATOTIFORA36UA","ClassA Gas","Acworth GA","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Allegro","UA","N/A","N/A","DAATOTMORA36UA","ClassA Gas","Davenport IA","Campersinn","2024-10-25"
"2025","Winnebago","Adventurer","34W","N/A","N/A","RALATOWA34W","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2024","Fleetwood RV","Fortis","33HB","N/A","N/A","TO24ATOFF33HB","ClassA Gas","Toms River NJ","Campersinn","2024-10-25"
"2024","Fleetwood RV","Fortis","34MB","N/A","N/A","TO24ATOFF34MB","ClassA Gas","Toms River NJ","Campersinn","2024-10-25"
"2024","Fleetwood RV","Fortis","36Y","N/A","N/A","TO24ATOFF36Y","ClassA Gas","Toms River NJ","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","30DS","N/A","N/A","RALATOFRFR330DS","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","30DS","N/A","N/A","25DAATOFR30DS","ClassA Gas","Davenport IA","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","30DS","N/A","N/A","COATOFR330DS","ClassA Gas","Collinsville IL","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","30DS","N/A","N/A","99161","ClassA Gas","Merrimack NH","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","32DS","N/A","N/A","RALATOFRFR332DS","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","34DS","N/A","N/A","RALATOFRFR334DS","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","34DS","N/A","N/A","COATOFR334DS","ClassA Gas","Collinsville IL","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","34DS","N/A","N/A","25DAATOFR334DS","ClassA Gas","Davenport IA","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","33Z","N/A","N/A","RALATOFRFR3P33Z","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Winnebago","Vista","31B","233213","174910","92837","ClassA Gas","Davenport IA","Campersinn","2024-10-25"
"2025","Winnebago","Vista","33K","239216","179899","88130","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2024","Winnebago","Vista","33K","239772","169995","88224","ClassA Gas","Naperville IL","Campersinn","2024-10-25"
"2025","Coachmen RV","Encore","325SS","N/A","N/A","99976","ClassA Gas","Merrimack NH","Campersinn","2024-10-25"
