"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2024","Aquasport","2200","Center","22 ft","N/A","","Captains choice","Fort Walton Beach FL","76900","76900","2024-11-05"
"2024","Avalon","2385","LSZ","N/A","N/A","","Captains choice","Fort Walton Beach FL","55900","55900","2024-11-05"
"2024","Avalon","2585","LSZ","25 ft","N/A","","Captains choice","Fort Walton Beach FL","59900","59900","2024-11-05"
"2024","Avalon","2585","LSZ","25 ft","N/A","","Captains choice","Fort Walton Beach FL","61700","61700","2024-11-05"
"2024","Blue Wave Boats","2600","Purebay","26 ft 10 in","N/A","","Captains choice","Fort Walton Beach FL","177700","124900","2024-11-05"
"2024","Sailfish","242","CC","24 ft","N/A","","Captains choice","Fort Walton Beach FL","124900","124900","2024-11-05"
"2024","Sailfish","272","CC","N/A","N/A","","Captains choice","Fort Walton Beach FL","195700","195700","2024-11-05"
"2024","Sailfish","272","CC","N/A","N/A","","Captains choice","Fort Walton Beach FL","N/A","N/A","2024-11-05"
"2024","Sailfish","276","DC","27 ft","N/A","","Captains choice","Fort Walton Beach FL","191500","191500","2024-11-05"
"2024","Sailfish","312","CC","32 ft 6 in","N/A","","Captains choice","Fort Walton Beach FL","277900","277900","2024-11-05"
"2024","Stingray","N/A","211DC","N/A","N/A","","Captains choice","Fort Walton Beach FL","59700","59700","2024-11-05"
"2024","Stingray","N/A","211DC","N/A","N/A","","Captains choice","Fort Walton Beach FL","61300","61300","2024-11-05"
"2024","Stingray","N/A","212SC","N/A","N/A","","Captains choice","Fort Walton Beach FL","53700","53700","2024-11-05"
"2024","Stingray","N/A","216CC","21 ft 8 in","N/A","","Captains choice","Fort Walton Beach FL","65900","65900","2024-11-05"
"2024","Stingray","N/A","231DC","23 ft 8 in","N/A","","Captains choice","Fort Walton Beach FL","70750","70750","2024-11-05"
"2024","Stingray","N/A","231DC","23 ft","N/A","","Captains choice","Fort Walton Beach FL","70750","70750","2024-11-05"
"2024","Stingray","N/A","253CC","25 ft 3 in","N/A","","Captains choice","Fort Walton Beach FL","128400","128400","2024-11-05"
"2023","Avalon","Excalibur","LTD","N/A","N/A","","Captains choice","Fort Walton Beach FL","153300","153300","2024-11-05"
"2023","Avalon","LSZ","Versatile","N/A","N/A","","Captains choice","Fort Walton Beach FL","55700","55700","2024-11-05"
"2023","Blue Wave","2200","Pure","22 ft","N/A","","Captains choice","Fort Walton Beach FL","85900","56400","2024-11-05"
"2023","Mercury Marine","Verado","400","N/A","N/A","","Captains choice","Fort Walton Beach FL","N/A","N/A","2024-11-05"
"2023","Piranha","CASADOR","B2200","22 ft","N/A","","Captains choice","Fort Walton Beach FL","52000","52000","2024-11-05"
"2023","Sailfish","290","CC","28 ft 6 in","N/A","","Captains choice","Fort Walton Beach FL","224900","224900","2024-11-05"
