"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","BARLETTA","N/A","A22UC","21 ft 10 in","N/A","11099","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2025","BARLETTA","N/A","C22UC","23 ft 2 in","N/A","11160","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2025","BARLETTA","N/A","C24UC","25 ft 2 in","N/A","11161","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2025","BARLETTA","N/A","C24UC","25 ft 2 in","N/A","11180","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2025","BARLETTA","N/A","C24UC","25 ft 2 in","N/A","11100","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2025","BARLETTA","N/A","L23M","25 ft 6 in","N/A","11111","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2025","BARLETTA","N/A","L23UC","25 ft 6 in","N/A","11179","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2025","BARLETTA","N/A","X23UC","25 ft","N/A","11162","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2025","Bennington","20","SVL","21 ft 11 in","N/A","11083","Clear Lake","Sales + Showroom","33995","33995","2024-11-01"
"2025","Bennington","20","SVL","20 ft 4 in","N/A","11084","Clear Lake","Sales + Showroom","36995","36995","2024-11-01"
"2025","Bennington","22","S","23 ft 11 in","N/A","11113","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2025","Bennington","22","SVSB","22 ft 6 in","N/A","11086","Clear Lake","Sales + Showroom","53995","53995","2024-11-01"
"2025","Bennington","23","L","25 ft","N/A","11114","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2025","Bennington","23","SSB","23 ft 11 in","N/A","11116","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2025","Bennington","23","SSB","23 ft 11 in","N/A","11118","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2025","Bennington","25","RXFBW","27 ft 1 in","N/A","11115","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2024","BARLETTA","N/A","L25UC","27 ft 6 in","N/A","10964","Clear Lake","Sales + Showroom","125995","125995","2024-11-01"
"2024","BARLETTA","N/A","X23UC","25 ft","N/A","10861","Clear Lake","Sales + Showroom","108995","108995","2024-11-01"
"2024","Bennington","22","SL","21 ft 6 in","N/A","10885","Clear Lake","Sales + Showroom","48995","48995","2024-11-01"
"2024","Bennington","22","SXSAPG","23 ft 9 in","N/A","10754","Clear Lake","Sales + Showroom","59995","59995","2024-11-01"
"2024","Bennington","25","QSB","28 ft","N/A","10779","Clear Lake","Sales + Showroom","146995","146995","2024-11-01"
"2024","Cobalt Boats","N/A","R4","24 ft 3 in","N/A","10976","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2024","Cobalt Boats","N/A","R4","24 ft 3 in","N/A","10977","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2024","Cobalt Boats","N/A","R6","25 ft 9 in","N/A","10906","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2024","Cobalt Boats","R8","Surf","27 ft 10 in","N/A","10833","Clear Lake","Sales + Showroom","N/A","N/A","2024-11-01"
"2024","Crownline","220","SS","21 ft 10 in","N/A","10817","Clear Lake","Sales + Showroom","84995","84995","2024-11-01"
"2024","Crownline","240","SS","23 ft 10 in","N/A","10818","Clear Lake","Sales + Showroom","95995","95995","2024-11-01"
"2024","Crownline","N/A","E255","25 ft 3 in","N/A","10822","Clear Lake","Sales + Showroom","124995","124995","2024-11-01"
"2024","Finseeker","210","FS","22 ft 6 in","N/A","10839","Clear Lake","Sales + Showroom","86995","86995","2024-11-01"
