"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2023","Avalon","Catalina","Entertainer","25","Merucury 200XL","A1454","Funnsun Boats","Cleburne TX","81747.00","N/A","2024-11-04"
"2023","Avalon","Catalina","Rear","25","Mercury","A0168","Funnsun Boats","Cleburne TX","79343.00","N/A","2024-11-04"
"2023","Avalon","Venture","85","25","Yamaha","A2305","Funnsun Boats","Cleburne TX","60924.00","N/A","2024-11-04"
"2023","Avalon","Venture","Quad","23","Mercury Pro XS","A0633","Funnsun Boats","Cleburne TX","56410.00","N/A","2024-11-04"
"2023","Excel","Boats","Stalker","19","Yamaha","X2468","Funnsun Boats","Cleburne TX","30191.00","N/A","2024-11-04"
"2025","Avalon","Venture","85","N/A","YAMAHA F115LB","A4404","Funnsun Boats","Cleburne TX","N/A","N/A","2024-11-04"
"2025","Excel","Boats","Bay","20","YAMAHA","X3939","Funnsun Boats","Cleburne TX","N/A","N/A","2024-11-04"
"2025","Excel","Boats","Bay","N/A","YAMAHA SHO","X4147","Funnsun Boats","Cleburne TX","N/A","N/A","2024-11-04"
"2025","Excel","Boats","Bay","20","YAMAHA","X3942","Funnsun Boats","Cleburne TX","N/A","N/A","2024-11-04"
"2025","Excel","Boats","Bay","N/A","YAMAHA","X4392","Funnsun Boats","Cleburne TX","N/A","N/A","2024-11-04"
"2025","Excel","Boats","Bay","23","YAMAHA SHO","X4193","Funnsun Boats","Cleburne TX","N/A","N/A","2024-11-04"
"2025","Phoenix","Bass","Boats","N/A","Mercury 250L PXS TM","P7109G","Funnsun Boats","Cleburne TX","N/A","N/A","2024-11-04"
"2025","Phoenix","Bass","Boats","N/A","Mercury 250L PXS","P6129F","Funnsun Boats","Cleburne TX","N/A","N/A","2024-11-04"
"2025","Phoenix","Bass","Boats","N/A","YAMAHA","P4137H","Funnsun Boats","Cleburne TX","N/A","N/A","2024-11-04"
"2025","Phoenix","Bass","Boats","N/A","Mercury 250L PXS TM","P4143","Funnsun Boats","Cleburne TX","N/A","N/A","2024-11-04"
"2024","Skeeter","ZXR","21","N/A","YAMAHA SHO","S0874","Funnsun Boats","Cleburne TX","71995.00","N/A","2024-11-04"
"2024","Skeeter","ZXR","21","N/A","N/A","S0167","Funnsun Boats","Cleburne TX","71995.00","N/A","2024-11-04"
"2024","Skeeter","N/A","ZXR19","1910","YAMAHA","S4421","Funnsun Boats","Cleburne TX","64050.00","N/A","2024-11-04"
"2023","Skeeter","N/A","SX240","241","Yamaha","SD6802","Funnsun Boats","Cleburne TX","92076.00","N/A","2024-11-04"
"2024","Skeeter","FXR20","Limited","N/A","YAMAHA","SD6044","Funnsun Boats","Cleburne TX","84995.00","N/A","2024-11-04"
"2024","Skeeter","FXR20","Limited","N/A","YAMAHA SHO","S0297","Funnsun Boats","Cleburne TX","86995.00","N/A","2024-11-04"
"2024","Skeeter","N/A","FXR21Limited","21","YAMAHA","S4147","Funnsun Boats","Cleburne TX","82090.00","N/A","2024-11-04"
"2024","Skeeter","N/A","FXR21Limited","214","YAMAHA","S4144","Funnsun Boats","Cleburne TX","N/A","N/A","2024-11-04"
"2024","Skeeter","N/A","FXR21Limited","214","YAMAHA","S4415","Funnsun Boats","Cleburne TX","82195.00","N/A","2024-11-04"
"2024","Skeeter","N/A","FXR21Limited","214","YAMAHA","S4416","Funnsun Boats","Cleburne TX","82495.00","N/A","2024-11-04"
"2024","Skeeter","FXR21Limited","Bass","214","YAMAHA","S4417","Funnsun Boats","Cleburne TX","82495.00","N/A","2024-11-04"
"2024","Skeeter","FXR21Limited","Bass","N/A","YAMAHA","SD6042","Funnsun Boats","Cleburne TX","N/A","N/A","2024-11-04"
"2024","Skeeter","FXR21Limited","Bass","N/A","YAMAHA","SD5059","Funnsun Boats","Cleburne TX","94995.00","N/A","2024-11-04"
"2024","Skeeter","FXR21Limited","Bass","N/A","YAMAHA","SD9944","Funnsun Boats","Cleburne TX","94995.00","N/A","2024-11-04"
