"Year","Company","Model","Floor","Length","Engine","Stock Number","Location","MSRP","DISCOUNT","Date"
"2020","Bennington","25QSBAI/O","N/A","27 ft","N/A","7022H920","Hot Springs, Arkansas","109,000","N/A","2024-10-10"
"2019","Crest","Savannah 250","N/A","25 ft","N/A","","Hot Springs, Arkansas","72,900","N/A","2024-10-10"
"2023","Bennington","22SXSR","N/A","23 ft","N/A","4998A323","Hot Springs, Arkansas","59,000","N/A","2024-10-10"
"2019","Premier","220 SunSpree","N/A","22 ft","N/A","95881B919","Heber Springs, Arkansas","53,900","N/A","2024-10-10"
"2019","Godfrey","235SB","N/A","23 ft","N/A","1181C919","Hot Springs, Arkansas","49,900","N/A","2024-10-10"
"2023","Ranger","Reata 200C","N/A","20 ft","N/A","1881I223","Nashville, Arkansas","42,200","N/A","2024-10-10"
"2021","Bennington","20LFS","N/A","21 ft","N/A","6186B121","United States","39,499","N/A","2024-10-10"
"2008","Bennington","2275GL","N/A","23 ft","N/A","5679I708","Rogers, Arkansas","17,500","N/A","2024-10-10"
"2025","Bennington","25QSBWAIO","N/A","28 ft","N/A","4170F425","Rogers, Arkansas","N/A","N/A","2024-10-10"
"2025","Barletta","L25MA","N/A","27 ft","N/A","2198I425","Heber Springs, Arkansas","N/A","N/A","2024-10-10"
"2025","Barletta","L25MA","N/A","27 ft","N/A","2044H425","Hot Springs, Arkansas","N/A","N/A","2024-10-10"
"2025","Bennington","25QSBX1","N/A","28 ft","N/A","4403G425","Heber Springs, Arkansas","N/A","N/A","2024-10-10"
"2024","Bennington","24RTSBA","N/A","27 ft","N/A","5987F425","Hot Springs, Arkansas","N/A","N/A","2024-10-10"
"2025","Barletta","L25UCA","N/A","27 ft","N/A","2017H425","Heber Springs, Arkansas","N/A","N/A","2024-10-10"
"2025","Barletta","L25UCA","N/A","27 ft","N/A","2142H425","Hot Springs, Arkansas","N/A","N/A","2024-10-10"
"2025","Barletta","L25UCA","N/A","27 ft","N/A","2345L425","Hot Springs, Arkansas","N/A","N/A","2024-10-10"
"2025","Barletta","L23UCA","N/A","25 ft","N/A","2346I425","Hot Springs, Arkansas","N/A","N/A","2024-10-10"
"2024","Barletta","L23U","N/A","25 ft","N/A","9593L324","Heber Springs, Arkansas","N/A","N/A","2024-10-10"
