"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2024","Berkshire","Pontoons","24RFX","24","DF250Sstl4","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2024","Berkshire","Pontoons","24RFX","24","DF150ATL4","","Gainesville Marina","Gainesville GA","51900.00","N/A","2024-11-04"
"2024","Berkshire","Pontoons","24RFX","24","DF150ATL4","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2024","Berkshire","Pontoons","24RFX","24","DF150ATL4","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2024","Berkshire","Pontoons","24RFX","24","DF150ATL4","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2024","Stingray","N/A","206CC","20 1","DF150","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2024","Stingray","N/A","212SC","21 11","DF150","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2024","Stingray","N/A","216CC","21 8","DF200","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2023","Stingray","N/A","212SC","21 11","DF-150","","Gainesville Marina","Gainesville GA","49900.00","N/A","2024-11-04"
"2023","Suzuki","N/A","DF-140","N/A","DF-140","","Gainesville Marina","Gainesville GA","8995.00","N/A","2024-11-04"
"2023","Suzuki","N/A","DF-300APX5","N/A","DF-300APX5","","Gainesville Marina","Gainesville GA","17900.00","N/A","2024-11-04"
"2023","Viaggio","N/A","D23S","23","DF250Txss2","","Gainesville Marina","Gainesville GA","73900.00","N/A","2024-11-04"
"2023","Viaggio","N/A","D23U","23","DF250Txss2","","Gainesville Marina","Gainesville GA","67900.00","N/A","2024-11-04"
"2023","Viaggio","N/A","L22Q","22","DF200ATX2","","Gainesville Marina","Gainesville GA","59900.00","N/A","2024-11-04"
"2023","Wellcraft","222","Fisherman","22","F250XB","","Gainesville Marina","Gainesville GA","69900.00","N/A","2024-11-04"
"2024","Berkshire","Pontoons","24RFX","24","DF250Sstl4","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2024","Berkshire","Pontoons","24RFX","24","DF150ATL4","","Gainesville Marina","Gainesville GA","51900.00","N/A","2024-11-04"
"2024","Berkshire","Pontoons","24RFX","24","DF150ATL4","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2024","Berkshire","Pontoons","24RFX","24","DF150ATL4","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2024","Berkshire","Pontoons","24RFX","24","DF150ATL4","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2024","Stingray","N/A","206CC","20 1","DF150","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2024","Stingray","N/A","212SC","21 11","DF150","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2024","Stingray","N/A","216CC","21 8","DF200","","Gainesville Marina","Gainesville GA","N/A","N/A","2024-11-04"
"2023","Stingray","N/A","212SC","21 11","DF-150","","Gainesville Marina","Gainesville GA","49900.00","N/A","2024-11-04"
"2023","Suzuki","N/A","DF-140","N/A","DF-140","","Gainesville Marina","Gainesville GA","8995.00","N/A","2024-11-04"
"2023","Suzuki","N/A","DF-300APX5","N/A","DF-300APX5","","Gainesville Marina","Gainesville GA","17900.00","N/A","2024-11-04"
"2023","Viaggio","N/A","D23S","23","DF250Txss2","","Gainesville Marina","Gainesville GA","73900.00","N/A","2024-11-04"
"2023","Viaggio","N/A","D23U","23","DF250Txss2","","Gainesville Marina","Gainesville GA","67900.00","N/A","2024-11-04"
"2023","Viaggio","N/A","L22Q","22","DF200ATX2","","Gainesville Marina","Gainesville GA","59900.00","N/A","2024-11-04"
"2023","Wellcraft","222","Fisherman","22","F250XB","","Gainesville Marina","Gainesville GA","69900.00","N/A","2024-11-04"
