"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Tiffin Motorhomes","Allegro Bay","38 CB","N/A","N/A","310373","ClassC Super Diesel","Jacksonville FL","GeneralRV","2024-10-15"
"2025","Coachmen RV","Entourage","340BH","N/A","N/A","314849","ClassC Super Diesel","Tampa FL","GeneralRV","2024-10-15"
"2025","NeXus RV","Wraith","33F","292485","211995","301013","ClassC Super Diesel","Richmond VA","GeneralRV","2024-10-15"
"2025","Thor Motor Coach","Magnitude","LV35","306885","216995","302260","ClassC Super Diesel","Ocala FL","GeneralRV","2024-10-15"
"2025","Entegra Coach","Accolade XT","35L","370785","254995","301903","ClassC Super Diesel","North Canton OH","GeneralRV","2024-10-15"
"2025","Entegra Coach","Accolade XL","37M","414076","299995","301918","ClassC Super Diesel","Salt Lake City UT","GeneralRV","2024-10-15"
"2025","NeXus RV","Wraith","30F","290995","210995","301005","ClassC Super Diesel","Fort Pierce FL","GeneralRV","2024-10-15"
"2025","NeXus RV","Wraith","34F","292022","211995","301029","ClassC Super Diesel","Tampa FL","GeneralRV","2024-10-15"
"2025","NeXus RV","Wraith","30F","290472","210995","301012","ClassC Super Diesel","Fort Myers FL","GeneralRV","2024-10-15"
"2025","NeXus RV","Wraith","34F","294649","211995","301023","ClassC Super Diesel","Fort Myers FL","GeneralRV","2024-10-15"
"2025","Tiffin Motorhomes","Allegro Bay","38 CB","387565","310995","310372","ClassC Super Diesel","Richmond VA","GeneralRV","2024-10-15"
"2025","NeXus RV","Wraith","30F","289901","210995","301020","ClassC Super Diesel","Ocala FL","GeneralRV","2024-10-15"
"2025","Thor Motor Coach","Pasadena","34XG","357885","254995","306911","ClassC Super Diesel","Fort Myers FL","GeneralRV","2024-10-15"
"2025","Thor Motor Coach","Pasadena","34XG","359160","254995","306912","ClassC Super Diesel","North Canton OH","GeneralRV","2024-10-15"
"2025","Thor Motor Coach","Magnitude","LV35","306885","N/A","302261","ClassC Super Diesel","Jacksonville FL","GeneralRV","2024-10-15"
"2025","Thor Motor Coach","Magnitude","AX29","290760","204995","311666","ClassC Super Diesel","Tampa FL","GeneralRV","2024-10-15"
"2025","Thor Motor Coach","Pasadena","34XG","353903","254995","306908","ClassC Super Diesel","Jacksonville FL","GeneralRV","2024-10-15"
"2025","Tiffin Motorhomes","Allegro Bay","38 BB","383946","307995","310368","ClassC Super Diesel","Ocala FL","GeneralRV","2024-10-15"
"2025","NeXus RV","Rebel","30R","276716","198995","319068","ClassC Super Diesel","Richmond VA","GeneralRV","2024-10-15"
