"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Caraboat USA","750","(24'ft)","24 ft 6 in","N/A","Caraboat 750","Germaine Marine","Mesa AZ","195000","N/A","2024-11-04"
"2025","Caraboat USA","870","(28'ft)","28 ft 5 in","N/A","Caraboat 870","Germaine Marine","Mesa AZ","225000","N/A","2024-11-04"
"2025","Tahoe Pontoons","LTZ","Cruise","23 ft","N/A","LTZ Pre-Order","Germaine Marine","Mesa AZ","59995","49995","2024-11-04"
"2023","Tahoe Pontoons","LTZ","Quad","23 ft","N/A","HCA52612","Germaine Marine","Mesa AZ","125796","75000","2024-11-04"
"2025","Avalon","Catalina","Cruise","25 ft","N/A","Preorder Funship","Germaine Marine","Mesa AZ","91120","N/A","2024-11-04"
"2025","Avalon","Excalibur","Carbon","27 ft","N/A","Excaliibur Pre-Order","Germaine Marine","Mesa AZ","432607","298995","2024-11-04"
"2025","Avalon","Aura","1985","19 ft","N/A","Aura 1985","Germaine Marine","Mesa AZ","49995","33995","2024-11-04"
"2025","ATX","22","TYPE","N/A","N/A","36152738","Germaine Marine","Mesa AZ","N/A","N/A","2024-11-04"
"2025","SUPRA","SE","575","24 ft 5 in","N/A","AZ026H","Germaine Marine","Mesa AZ","N/A","N/A","2024-11-04"
"2025","Tige","N/A","25ZX","25 ft","N/A","AZ078H","Germaine Marine","Mesa AZ","N/A","N/A","2024-11-04"
"2025","Tige","N/A","25ZX","25 ft","N/A","AZ077H","Germaine Marine","Mesa AZ","N/A","N/A","2024-11-04"
"2025","Moomba","N/A","Tykon","24 ft","N/A","AZ023I","Germaine Marine","Mesa AZ","N/A","N/A","2024-11-04"
"2025","SUPRA","SL","450","23 ft 5 in","N/A","AZ030I","Germaine Marine","Mesa AZ","N/A","N/A","2024-11-04"
"2025","Tige","N/A","24RZX","24 ft","N/A","AZ447D","Germaine Marine","Mesa AZ","N/A","N/A","2024-11-04"
"2025","Tahoe Pontoons","Grand","Tahoe","25 ft","N/A","LH62374","Germaine Marine","Mesa AZ","268980","N/A","2024-11-04"
"2024","Tige","N/A","23ZX","23 ft 5 in","N/A","AZ052B","Germaine Marine","Mesa AZ","N/A","N/A","2024-11-04"
"2024","ATX Boats","24","Type-S","24 ft","N/A","547916","Germaine Marine","Mesa AZ","N/A","N/A","2024-11-04"
"2024","Tige","N/A","24RZX","24 ft 6 in","N/A","AF0750","Germaine Marine","Mesa AZ","321018","N/A","2024-11-04"
