"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Bayliner","N/A","150EL","N/A","Mercury","N03482BT","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2025","Bennington","23","LXSFB","241","Yamaha","","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2025","Bennington","23","LXSSB","241","Mercury Verado","","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2025","Bennington","N/A","23LXSFB","241","Yamaha","","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2025","Bennington","N/A","24LXSSB","241","Yamaha","","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2025","Malibu","Boats","Wakesetter","23","MALIBU","N03461BT","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2024","Axis","Wake","Research","2111","MALIBU","N03350BT","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2024","Axis","Wake","Research","235","Malibu M6DI","N03237BT","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2024","Bayliner","N/A","DX2000","196","Mercury","N03245BT","Grandpas Marine","Greensboro NC","49287.00","N/A","2024-11-04"
"2024","Bayliner","N/A","DX2000","196","Mercury","N03242BT","Grandpas Marine","Greensboro NC","45113.00","N/A","2024-11-04"
"2024","Bayliner","Element","E18","182","Mercury","N03348BT","Grandpas Marine","Greensboro NC","29999.00","N/A","2024-11-04"
"2024","Bayliner","N/A","VR5","204","Mercruiser","N03322BT","Grandpas Marine","Greensboro NC","49500.00","N/A","2024-11-04"
"2024","Bennington","188","SVF","N/A","Yamaha","N03284BT","Grandpas Marine","Greensboro NC","33161.00","N/A","2024-11-04"
"2024","Bennington","20","SSR-SPS","N/A","Yamaha","N03295BT","Grandpas Marine","Greensboro NC","49999.00","N/A","2024-11-04"
"2024","Bennington","20","SSR-SPS","224","Yamaha","N03388BT","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2024","Bennington","20","SSR-SPS","224","Yamaha","N03295BT","Grandpas Marine","Greensboro NC","49999.00","N/A","2024-11-04"
"2024","Bennington","20","SVL-SPS","228","Yamaha","N03379BT","Grandpas Marine","Greensboro NC","49602.56","N/A","2024-11-04"
"2024","Bennington","22","SS-SPS","N/A","Yamaha","N03283BT","Grandpas Marine","Greensboro NC","55257.11","N/A","2024-11-04"
"2024","Bennington","22","SSR-SPS","234","Yamaha","N03289BT","Grandpas Marine","Greensboro NC","61084.21","N/A","2024-11-04"
"2024","Bennington","22","SVSR-SPS","226","Yamaha","N03327BT","Grandpas Marine","Greensboro NC","57925.00","N/A","2024-11-04"
"2024","Bennington","N/A","22SSB-SPS","N/A","Yamaha","N03288BT","Grandpas Marine","Greensboro NC","66031.11","N/A","2024-11-04"
"2024","Bennington","23","LTFB","246","Yamaha","N03290BT","Grandpas Marine","Greensboro NC","87822.00","N/A","2024-11-04"
"2024","Malibu","Boats","21LX-R","N/A","Malibu M5DI","N03294BT","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2024","Malibu","Boats","23","86","Malibu M6DI","N03301BT","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2024","Malibu","Boats","Wakesetter","2111","MALIBU","N03225BT","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2024","Malibu","Boats","Wakesetter","23","MALIBU","N03316BT","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2024","Paddle","King","Lo","152","Suzuki","N03357BT","Grandpas Marine","Greensboro NC","21984.00","N/A","2024-11-04"
"2024","Paddle","King","PK4400","1210","N/A","N03352BT","Grandpas Marine","Greensboro NC","N/A","N/A","2024-11-04"
"2025","Bayliner","N/A","E18","18","Mercury","N03475BT","Grandpas Marine","Greensboro NC","29999.00","N/A","2024-11-04"
