"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Coachmen RV","N/A","24DSE","195763","144997","CPC2501","ClassC Diesel","Katy TX","HWH RV","2024-10-21"
"2025","Coachmen RV","N/A","24DSE","195038","144997","CPC2502","ClassC Diesel","Katy TX","HWH RV","2024-10-21"
"2025","Coachmen RV","N/A","24FSE","191963","144997","CPC2504","ClassC Diesel","Katy TX","HWH RV","2024-10-21"
"2025","Coachmen RV","N/A","24MBE","196415","144997","CPC2503","ClassC Diesel","Katy TX","HWH RV","2024-10-21"
"2025","Dynamax","Isata 3","24FW","206291","149995","DIC2503","ClassC Diesel","Willis TX","HWH RV","2024-10-21"
"2025","Dynamax","Isata 3","24FW","206509","149995","DIC2504","ClassC Diesel","Willis TX","HWH RV","2024-10-21"
"2024","Thor Motor Coach","Delano Sprinter","24XL","233474","149995","TDC2407","ClassC Diesel","League City TX","HWH RV","2024-10-21"
"2024","Renegade","N/A","25RML","209085","169995","RVC2405","ClassC Diesel","Katy TX","HWH RV","2024-10-21"
"2025","Dynamax","Isata 3","24FW","204582","N/A","DIC2507","ClassC Diesel","Katy TX","HWH RV","2024-10-21"
"2025","Renegade","N/A","25FWC","209155","N/A","RVC2501","ClassC Diesel","Katy TX","HWH RV","2024-10-21"
"2025","Renegade","N/A","25DLC","211465","N/A","RVC2503","ClassC Diesel","Katy TX","HWH RV","2024-10-21"
"2025","Renegade","N/A","25RMC","225017","N/A","RVC2502","ClassC Diesel","Katy TX","HWH RV","2024-10-21"
"2025","Dynamax","Isata 3","24SSSFXM","230918","N/A","DIC2506","ClassC Diesel","Katy TX","HWH RV","2024-10-21"
"2024","Thor Motor Coach","Compass","23TW","169303","109995","TCB2407","ClassB Gas+","League City TX","HWH RV","2024-10-21"
"2025","Grand Design","Momentum","395MS","157509","N/A","GMF2507","ToyHauler","Willis TX","HWH RV","2024-10-21"
"2025","Grand Design","Momentum","395MS","159272","N/A","GMF2503","ToyHauler","Katy TX","HWH RV","2024-10-21"
"2025","Grand Design","Momentum","395MS","159272","N/A","GMF2508","ToyHauler","League City TX","HWH RV","2024-10-21"
"2025","Grand Design","Momentum","397THS","164016","N/A","GMF2505","ToyHauler","Las Cruces NM","HWH RV","2024-10-21"
"2025","Grand Design","Momentum","395MS","176486","N/A","GMF2511","ToyHauler","Katy TX","HWH RV","2024-10-21"
