"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Bennington","21","SSB","N/A","Mercury","R8371","Harrison Marine","REDDING CA","76472.00","59868.00","2024-11-04"
"2025","Bennington","21","SVSB","N/A","Mercury","R8370","Harrison Marine","REDDING CA","71615.00","56652.00","2024-11-04"
"2025","Lowe","Boats","FM","N/A","Mercury","00690","Harrison Marine","REDDING CA","39595.00","35786.00","2024-11-04"
"2025","Lowe","Boats","LS170","N/A","Mercury","00248","Harrison Marine","REDDING CA","39588.00","33648.00","2024-11-04"
"2025","Lowe","Boats","LS190","N/A","Mercury","00249","Harrison Marine","REDDING CA","46294.00","41379.00","2024-11-04"
"2025","Lowe","Boats","SF232","N/A","Mercury","00832","Harrison Marine","REDDING CA","82111.00","73795.00","2024-11-04"
"2025","Lowe","Boats","SS","N/A","Mercury","00417","Harrison Marine","REDDING CA","74823.00","67415.00","2024-11-04"
"2025","Malibu","Boats","23","N/A","M6di","S6528","Harrison Marine","REDDING CA","248780.00","179375.00","2024-11-04"
"2025","RH","Boats","SH","N/A","Mercury","f","Harrison Marine","REDDING CA","N/A","N/A","2024-11-04"
"2025","Sun","Tracker","Bass","N/A","Mercury","f","Harrison Marine","REDDING CA","N/A","25465.00","2024-11-04"
"2025","Sun","Tracker","Bass","N/A","Mercury","40051","Harrison Marine","REDDING CA","N/A","32160.00","2024-11-04"
"2025","Sun","Tracker","Party","N/A","Mercury","62599","Harrison Marine","REDDING CA","N/A","26390.00","2024-11-04"
"2025","Sun","Tracker","Party","N/A","Mercury","61447","Harrison Marine","REDDING CA","N/A","36395.00","2024-11-04"
"2025","Sun","Tracker","Party","N/A","Mercury","60372","Harrison Marine","REDDING CA","N/A","40125.00","2024-11-04"
"2025","Sun","Tracker","Party","N/A","Mercury","60438","Harrison Marine","REDDING CA","N/A","49390.00","2024-11-04"
"2024","Malibu","Boats","22","N/A","m5di","S3746","Harrison Marine","REDDING CA","208351.00","134976.00","2024-11-04"
"2024","Malibu","Boats","23","N/A","Monsoon m6di","f","Harrison Marine","REDDING CA","N/A","N/A","2024-11-04"
"2024","Malibu","Boats","24","N/A","m6di/LT4","f","Harrison Marine","REDDING CA","N/A","N/A","2024-11-04"
"2024","Nitro","Z18","Pro","N/A","Mercury ProXS","f","Harrison Marine","REDDING CA","52100.00","46989.00","2024-11-04"
"2024","Nitro","Z19","Pro","N/A","Mercury ProXS","f","Harrison Marine","REDDING CA","63490.00","55987.00","2024-11-04"
"2024","RH","Boats","Coastal","N/A","Mercury","02773","Harrison Marine","REDDING CA","73545.00","56991.00","2024-11-04"
"2024","RH","Boats","Pro-V","N/A","Mercury Jet","02855","Harrison Marine","REDDING CA","42169.00","37422.00","2024-11-04"
"2024","Sun","Tracker","Bass","N/A","Mecury","12157","Harrison Marine","REDDING CA","N/A","24390.00","2024-11-04"
"2023","Lowe","Boats","Ultra","N/A","Mercury","02693","Harrison Marine","REDDING CA","37846.00","29985.00","2024-11-04"
"2025","Sun","Tracker","Party","N/A","Mercury ProXS","N/A","Harrison Marine","REDDING CA","N/A","47040.00","2024-11-04"
"2025","Tahoe","N/A","T16","N/A","N/A","F","Harrison Marine","REDDING CA","N/A","N/A","2024-11-04"
"2025","Tahoe","N/A","T21","N/A","N/A","F","Harrison Marine","REDDING CA","N/A","N/A","2024-11-04"
"2025","Tracker","Boats","PRO","N/A","Mercury","44459","Harrison Marine","REDDING CA","N/A","37245.00","2024-11-04"
"2025","Tracker","Boats","Pro","N/A","Mercury","46612","Harrison Marine","REDDING CA","N/A","28725.00","2024-11-04"
"2025","Tracker","Boats","PRO","N/A","Mercury","f","Harrison Marine","REDDING CA","N/A","N/A","2024-11-04"
"2025","Tracker","Boats","Targa","N/A","Mercury","48919","Harrison Marine","REDDING CA","N/A","44795.00","2024-11-04"
"2024","Axis","Wake","Research","N/A","N/A","f","Harrison Marine","REDDING CA","N/A","N/A","2024-11-04"
"2024","Axis","Wake","Research","N/A","N/A","f","Harrison Marine","REDDING CA","N/A","N/A","2024-11-04"
"2024","Axis","Wake","Research","N/A","N/A","f","Harrison Marine","REDDING CA","N/A","N/A","2024-11-04"
"2024","Axis","Wake","Research","N/A","M6di","G4214","Harrison Marine","REDDING CA","152223.00","114894.00","2024-11-04"
"2024","Lowe","Boats","RX1860","N/A","Mercury Jet","02364","Harrison Marine","REDDING CA","38978.00","33876.00","2024-11-04"
"2024","Lowe","Boats","SF212","N/A","Mercury","00566","Harrison Marine","REDDING CA","59334.00","47874.00","2024-11-04"
"2024","Lowe","Boats","SS","N/A","Mercury","00590","Harrison Marine","REDDING CA","68257.00","49995.00","2024-11-04"
"2024","Lowe","Boats","SS","N/A","Mercury ProXS","02520","Harrison Marine","REDDING CA","71757.00","52990.00","2024-11-04"
