"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"","Axis Wake Research","N/A","A225","22 ft 5 in","N/A","A3804","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","20","SLM","20 ft","N/A","M9757","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Malibu Boats","26","LSV","26 ft","N/A","U1353","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Axis Wake Research","N/A","A24","24 ft","N/A","C3116","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","22","SXSB","22 ft","N/A","N6357","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Malibu Boats","21","LX","21 ft","N/A","X4018","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","20","SLM","20 ft","N/A","N1940","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","21","SXSB","21 ft","N/A","N6358","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","22","SL","22 ft","N/A","N2493","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","22","SL","22 ft","N/A","M8867","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","22","SL","22 ft","N/A","N4695","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","22","SXSB","22 ft","N/A","N1927","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","22","SXSR","22 ft","N/A","M8868","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","24","SXSR","24 ft","N/A","N8361","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","22","SXSB","22 ft","N/A","M8787","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","23","LTSB","23 ft","N/A","N2724","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","23","RFB","23 ft","N/A","P5866","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Malibu Boats","23","LSV","23 ft","N/A","S4294","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Malibu Boats","23","MXZ","23 ft","N/A","N5940","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Malibu Boats","24","MXZ","24 ft","N/A","L5852","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"2024","Malibu Boats","23","LSV","23 ft","N/A","S4731","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"2024","Malibu Boats","24","MXZ","24 ft","N/A","L4506","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"2024","Malibu Boats","N/A","M220","22 ft","N/A","W4142","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","20","SVL","20 ft","N/A","P1401","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","22","LSB","22 ft","N/A","P1356","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","22","LSB","22 ft","N/A","P1760","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","22","SVSR","22 ft","N/A","P1751","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","N/A","22SSB","22 ft","N/A","P5987","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","24","LXSSB","24 ft","N/A","P3761","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","24","SXPD","24 ft","N/A","P1596","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"2024","Malibu Boats","N/A","M242","24 ft","N/A","5474813899","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","25","QSBA","25 ft","N/A","R1617","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","25","QSBA","25 ft","N/A","P3766","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Malibu Boats","22","LSV","22 ft","N/A","K2015","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","24","LXSFB","24 ft","N/A","P5798","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
"","Bennington","22","LXSSB","22 ft","N/A","P7102","Inland Boat","Raleigh NC","N/A","N/A","2024-11-05"
