"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Grand Design","Imagine XLS","22MLE","43824","","21162307","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Imagine","2970RL","60355","","21162336","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Transcend Xplor","24BHX","29990","","21160623","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Transcend","335BHT","52628","","21160633","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Transcend Xplor","26BHX","34370","","21160625","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Imagine","2600RB","49967","","21162328","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Reflection","315RLTS","81107","","21161163","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Imagine XLS","25DBE","47820","","21162330","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Imagine","2500RL","51961","","21162332","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Imagine","2670MK","57878","","21162334","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Imagine","2800BH","53517","","21162748","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Transcend","295QBT","46780","","21162342","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Forest River","Wildwood Select","T178BHSK","36153","28923","21153372","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Forest River","Wildwood X-Lite","24RLXL","40681","32523","21152808","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Forest River","Wildwood FSX","162VIEW","36509","29207","21153376","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Momentum MAV","24MAV","43678","","21161900","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Momentum G-Class","25G","80839","","21161894","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Momentum G-Class","21G","71938","","21161896","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Forest River","Wildwood X-Lite","171RBXLX","32727","26182","21159597","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Forest River","Wildwood FSX","178BHSK","36153","28923","21153370","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Forest River","Wildwood X-Lite","26ICE","41307","33046","21160652","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Forest River","Wildwood X-Lite","26ICE","41307","33046","21160654","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Forest River","Wildwood","29BDB","46834","37467","21160662","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Forest River","Wildwood","29VBUD","51464","41171","21160660","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Transcend ONE","151RB","21585","14999","21160904","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Forest River","Wildwood X-Lite","19DBXLX","34811","27849","21159599","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Forest River","Wildwood","28VIEW","52855","42284","21160656","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Forest River","Wildwood","27RE","50158","40126","21160658","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Reflection","296RDTS","71404","","21161171","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Grand Design","Transcend Xplor","26BHX","34380","24999","21160510","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
"2025","Coachmen","Catalina Summit Series 7","154RBX","23468","16999","21156337","Travel Trailer","WI Milwaukee (Sturtevant)","LazyDays","2024-10-19"
