"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2023","Bayliner","N/A","DX2000","19 7","Mercury 4-stroke EFI","NNB161","Leadersrpm","Kalamazoo MI","N/A","40983.00","2024-11-05"
"2023","Bayliner","VR5","Bowrider","20 7","Mercruiser 4.5L MPI V6 ECT","NNB160","Leadersrpm","Kalamazoo MI","N/A","41930.00","2024-11-05"
"2023","Bentley","Pontoons","200","20 8","Mercury 4-stroke EFI","NBB496","Leadersrpm","Kalamazoo MI","N/A","27960.00","2024-11-05"
"2023","Lowe","Boats","1800","17 10","Mercury Pro XS XL 4-stroke EFI","NWB226","Leadersrpm","Kalamazoo MI","N/A","41988.00","2024-11-05"
"2023","Sea-Doo","Switch","Sport","17 4","Rotax 4-stroke","5990515484","Leadersrpm","Kalamazoo MI","N/A","28989.00","2024-11-05"
"2023","Sea-Doo","Switch","Sport","17 4","Rotax 4-stroke","NDB398","Leadersrpm","Kalamazoo MI","N/A","28989.00","2024-11-05"
"2023","Sea-Doo","Switch","Sport","20 4","Rotax 4-stroke EFI","5990515484","Leadersrpm","Kalamazoo MI","N/A","31797.00","2024-11-05"
"2023","Trifecta","23RF","ARCH","24 5","Mercury 4-stroke DTS EFI","NFB080","Leadersrpm","Kalamazoo MI","133191.00","98959.00","2024-11-05"
"2023","Trifecta","23SB2","SS","24","Mercury 4-Stroke EFI","NFB059","Leadersrpm","Kalamazoo MI","N/A","79922.00","2024-11-05"
"2023","Trifecta","24UL","CS","24","Mercury 4-Stroke EFI","NFB077","Leadersrpm","Kalamazoo MI","87362.00","61957.00","2024-11-05"
"2023","Trifecta","24UL","CS","24","Mercury 4-stroke EFI","NFB057","Leadersrpm","Kalamazoo MI","N/A","59993.00","2024-11-05"
"2024","Bayliner","20","CC","20 6","Mercury Pro XS 4-stroke EFI","NNB178","Leadersrpm","Kalamazoo MI","N/A","55975.00","2024-11-05"
"2024","Bayliner","2050","DX","19 7","Mercruiser 4.5L MPI ECT","NNB195","Leadersrpm","Kalamazoo MI","N/A","44989.00","2024-11-05"
"2024","Bayliner","2050","DX","19 7","Mercruiser 4.5L MPI ECT","NNB198","Leadersrpm","Kalamazoo MI","N/A","44989.00","2024-11-05"
"2024","Bayliner","2050","DX","19 7","Mercruiser 4.5L MPI ECT","NNB199","Leadersrpm","Kalamazoo MI","N/A","44989.00","2024-11-05"
"2025","Yamaha","222","SD","22","Twin 4-cylinder, 4-stroke, 1.9 Liter High Output Yamaha Marine Engines","NYB346","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","222","SE","22","Twin 3-cylinder, 4-stroke TR-1 Yamaha Marine Engines","NYB345","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","222","XD","22","Twin 4-cylinder, 4-stroke, 1.9 Liter High Output Yamaha Marine Engines","NYB347","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","250","AR","24 6","Twin 4-cylinder, 4-stroke, 1.9 Liter High Output Yamaha Marine Engines","NYB349","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","250","AR","24 6","Twin 4-cylinder, 4-stroke, 1.9 Liter High Output Yamaha Marine Engines","NYB350","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","250","SX","24 6","Twin 4-cylinder, 4-stroke, 1.9 Liter High Output Yamaha Marine Engines","NYB348","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","252","SD","24 6","Twin 4-cylinder, 4-stroke, 1.9 Liter High Output Yamaha Marine Engines","NYB351","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","190","SX","19 5","Yamaha 1.9L HO 4-cyl 4-stroke EFI","NYB329","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","190","SX","19 5","Yamaha 1.9L HO 4-cyl 4-stroke EFI","NYB328","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","195","AR","19 5","Yamaha Super Vortex Supercharged H.O. 4-cylinder 4-stroke EFI","NYB339","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","195","AR","19 5","Yamaha Super Vortex Supercharged H.O. 4-cylinder 4-stroke EFI","NYB337","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","195","AR","19 5","Yamaha Super Vortex Supercharged H.O. 4-cylinder 4-stroke EFI","NYB338","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","195","FSH","19 5","N/A","NYB353","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","195","S","19 5","Yamaha Super Vortex Supercharged H.O. 4-cylinder 4-stroke EFI","NYB340","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","195","SX","19 5","Yamaha Super Vortex Supercharged H.O. 4-cylinder 4-stroke EFI","NYB334","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","195","SX","19 5","Yamaha Super Vortex Supercharged H.O. 4-cylinder 4-stroke EFI","NYB336","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","195","SX","19 5","Yamaha Super Vortex Supercharged H.O. 4-cylinder 4-stroke EFI","NYB333","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","195","SX","19 5","Yamaha Super Vortex Supercharged H.O. 4-cylinder 4-stroke EFI","NYB335","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","220","AR","22","Twin 3-cylinder, 4-stroke TR-1 Yamaha Marine Engines","NYB343","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","220","AR","22","Twin 3-cylinder, 4-stroke TR-1 Yamaha Marine Engines","NYB344","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","220","SX","22","Twin 3-cylinder, 4-stroke TR-1 Yamaha Marine Engines","NYB341","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Yamaha","220","SX","22","Twin 3-cylinder, 4-stroke TR-1 Yamaha Marine Engines","NYB342","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Lowe","Boats","1775","17 9","Mercury 4-stroke EFI","NWB256","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Lowe","Boats","1775","17 9","Mercury 4-stroke EFI","NWB257","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Lowe","Boats","1870","18","Mercury 4-stroke EFI Jet drive","NWB258","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Manitou","22","Explore","25 1","Rotax direct-injection outboard","NMB007","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Sea","Fox","228","22 4","White Yamaha F200XSA2 with digital controls and electric-hydraulic steering","NXB013","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
"2025","Sea","Fox","228","22 4","White Yamaha F200XSA2 with digital controls and electric-hydraulic steering","NXB012","Leadersrpm","Kalamazoo MI","N/A","N/A","2024-11-05"
