"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Avalon","2385","Cruise","N/A","N/A","","Marine Specialist","Powell TN","64900","64900","2024-11-04"
"2025","Avalon","2385","Quad","N/A","N/A","","Marine Specialist","Powell TN","65900","65900","2024-11-04"
"2025","Avalon","Catalina","Quad","N/A","N/A","","Marine Specialist","Powell TN","129900","129900","2024-11-04"
"2025","Avalon","LSZ","Versatile","23 ft","N/A","","Marine Specialist","Powell TN","62900","62900","2024-11-04"
"2025","Crownline","230CC","Finseeker","N/A","N/A","","Marine Specialist","Powell TN","128900","128900","2024-11-04"
"2025","Excel Boats","Bay","Pro","N/A","N/A","","Marine Specialist","Powell TN","42900","42900","2024-11-04"
"2025","Excel Boats","Bay","Pro","N/A","N/A","","Marine Specialist","Powell TN","40900","40900","2024-11-04"
"2025","Excel Boats","Bay","Pro","N/A","N/A","","Marine Specialist","Powell TN","56900","56900","2024-11-04"
"2025","Excel Boats","Bolt","203","N/A","N/A","","Marine Specialist","Powell TN","39900","39900","2024-11-04"
"2025","Excel Boats","Storm","Cat","N/A","N/A","","Marine Specialist","Powell TN","89900","89900","2024-11-04"
"2025","Excel Boats","Viper","F4","N/A","N/A","","Marine Specialist","Powell TN","21900","21900","2024-11-04"
"2025","Excel Boats","Viper","F4","N/A","N/A","","Marine Specialist","Powell TN","22900","22900","2024-11-04"
"2025","Pioneer Boats","Islander","180","N/A","N/A","","Marine Specialist","Powell TN","45900","45900","2024-11-04"
"2025","Pioneer Boats","Islander","202","N/A","N/A","","Marine Specialist","Powell TN","59900","59900","2024-11-04"
"2025","Pioneer Boats","Islander","202","N/A","N/A","","Marine Specialist","Powell TN","69900","69900","2024-11-04"
"2024","Avalon","Catalina","Elite","25 ft","N/A","","Marine Specialist","Powell TN","99000","99000","2024-11-04"
"2024","Avalon","Catalina","Entertainer","25 ft","N/A","","Marine Specialist","Powell TN","99500","99500","2024-11-04"
"2024","Avalon","Catalina","Rear","25 ft","N/A","","Marine Specialist","Powell TN","85900","85900","2024-11-04"
"2024","Avalon","LSZ","Cruise","23 ft","N/A","","Marine Specialist","Powell TN","57900","57900","2024-11-04"
"2024","Avalon","LSZ","Quad","N/A","N/A","","Marine Specialist","Powell TN","54900","54900","2024-11-04"
"2024","Excel Boats","Catfish","Pro","N/A","N/A","","Marine Specialist","Powell TN","41900","41900","2024-11-04"
"2024","Excel Boats","Catfish","Pro","N/A","N/A","","Marine Specialist","Powell TN","39950","39950","2024-11-04"
"2024","Excel Boats","Catfish","Pro","N/A","N/A","","Marine Specialist","Powell TN","43900","43900","2024-11-04"
"2024","Excel Boats","F4","Pro","17 ft","N/A","","Marine Specialist","Powell TN","25900","25900","2024-11-04"
"2024","Excel Boats","Switchblade","1864","N/A","N/A","","Marine Specialist","Powell TN","28900","28900","2024-11-04"
"2024","Montara","The","Naxos","N/A","N/A","","Marine Specialist","Powell TN","149000","149000","2024-11-04"
"2024","Montara Boats","25'","Surf","27 ft 7 in","N/A","","Marine Specialist","Powell TN","N/A","N/A","2024-11-04"
"2024","NauticStar","214","Bay","N/A","N/A","","Marine Specialist","Powell TN","44900","44900","2024-11-04"
"2024","NauticStar","223","DC","23 ft","N/A","","Marine Specialist","Powell TN","57900","57900","2024-11-04"
"2024","NauticStar","231","Hybrid","23 ft","N/A","","Marine Specialist","Powell TN","61900","61900","2024-11-04"
"2024","Tahoe Pontoons","Grand","Tahoe","N/A","N/A","","Marine Specialist","Powell TN","189900","189900","2024-11-04"
"2024","Tahoe Pontoons","LTZ","Quad","25 ft","N/A","","Marine Specialist","Powell TN","67900","67900","2024-11-04"
"2023","Avalon","LSZ","Versatile","N/A","N/A","","Marine Specialist","Powell TN","69900","69900","2024-11-04"
"2023","EXCEL","1751","Viper","N/A","N/A","","Marine Specialist","Powell TN","26500","26500","2024-11-04"
"2024","Avalon","LSZ","Quad","25 ft","N/A","","Marine Specialist","Powell TN","67900","67900","2024-11-04"
"2024","Avalon","LSZ","Versatile","23 ft","N/A","","Marine Specialist","Powell TN","59800","59800","2024-11-04"
"2024","Avalon","LSZ","Versatile","N/A","N/A","","Marine Specialist","Powell TN","59900","59900","2024-11-04"
"2024","Avalon","LSZ","Versatile","N/A","N/A","","Marine Specialist","Powell TN","65900","65900","2024-11-04"
"2024","Avalon","LSZ","Versatile","23 ft","N/A","","Marine Specialist","Powell TN","58980","58980","2024-11-04"
"2024","Avalon","LSZ","Versatile","23 ft 6 in","N/A","","Marine Specialist","Powell TN","54900","54900","2024-11-04"
"2024","Avalon","Venture","85","23 ft","N/A","","Marine Specialist","Powell TN","54900","54900","2024-11-04"
"2024","Avalon","Venture","85","N/A","N/A","","Marine Specialist","Powell TN","44900","44900","2024-11-04"
"2024","Avalon","Venture","85","23 ft","N/A","","Marine Specialist","Powell TN","44900","44900","2024-11-04"
"2024","Crownline","210","CC","21 ft","N/A","","Marine Specialist","Powell TN","94950","94950","2024-11-04"
"2024","Crownline","210","SS","20 ft 10 in","N/A","","Marine Specialist","Powell TN","69900","69900","2024-11-04"
"2024","Crownline","220","SS","N/A","N/A","","Marine Specialist","Powell TN","127900","127900","2024-11-04"
"2024","Crownline","Finseeker","210CC","20 ft 6 in","N/A","","Marine Specialist","Powell TN","96500","96500","2024-11-04"
"2024","Excel","Bay","Pro","22 ft","N/A","","Marine Specialist","Powell TN","44900","44900","2024-11-04"
"2024","Excel","N/A","EX200","20 ft","N/A","","Marine Specialist","Powell TN","52900","52900","2024-11-04"
"2024","Excel Boats","Bay","Pro","18 ft 3 in","N/A","","Marine Specialist","Powell TN","40900","40900","2024-11-04"
"2024","Excel Boats","Bay","Pro","22 ft 3 in","N/A","","Marine Specialist","Powell TN","52900","52900","2024-11-04"
"2024","Excel Boats","Bay","Pro","23 ft","N/A","","Marine Specialist","Powell TN","57900","57900","2024-11-04"
"2024","Excel Boats","Bay","Pro","20 ft","N/A","","Marine Specialist","Powell TN","39900","39900","2024-11-04"
"2024","Excel Boats","Bay","Pro","N/A","N/A","","Marine Specialist","Powell TN","44900","44900","2024-11-04"
