"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Barletta ","Aria","A22UC","21 ft 10 in","N/A","BA22174","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2025","Barletta ","Aria","A24UC","23 ft 10 in","N/A","BA22175","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2025","Barletta ","Cabrio","C22UC","23 ft 2 in","N/A","BA21338","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2025","Barletta ","Cabrio","C24UE","25 ft 2 in","N/A","BA22176","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2025","Barletta ","Corsa","23U","25 ft","N/A","BA21339","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2025","Barletta","Corsa","25UE","27 ft","N/A","BA21340","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2025","Barletta ","Lusso","L25MA","27 ft 6 in","N/A","BA21189","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2025","Cobalt Boats","N/A","R6","25 ft 9 in","N/A","COR6006","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2025","Sportsman","Heritage","231","23 ft 4 in","N/A","SPHS133","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2025","Sportsman","Open","212","21 ft 5 in","N/A","SPFR130","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2025","Sportsman","Open","282","28 ft 6 in","N/A","SPXG116","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2025","Sportsman","Open","322","32 ft 2 in","N/A","SPKG115","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Barletta ","Cabrio","C22QC","23 ft 2 in","N/A","BA20368","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Barletta ","Corsa","23QC","25 ft","N/A","BA19676","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Barletta ","Corsa","23UCA","25 ft","N/A","BA20367","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Barletta","Corsa","25UC","27 ft","N/A","BA18370","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Barletta ","Corsa","25UC","27 ft","N/A","BA17584","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Barletta ","Lusso","L25QCSS","27 ft 6 in","N/A","BA19677","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Barletta","Lusso","L25UC","27 ft 6 in","N/A","BA18272","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Barletta ","Lusso","L25UCA","27 ft 6 in","N/A","BA19591","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Sea-Doo","Spark®","Trixx™","N/A","N/A","SD27756","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Sea-Doo","Wake™","170","N/A","N/A","SD24311","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Sea-Doo","Wake™","170","N/A","N/A","SD33425","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Sea-Doo","Wake™","Pro","N/A","N/A","SD66888","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2023","Barletta","Corsa","23QC","25 ft","N/A","BA16616","Marine Sales","Gilbertsville KY","124799","N/A","2024-10-23"
"2023","Barletta","Corsa","23UC","25 ft","N/A","BA17124","Marine Sales","Gilbertsville KY","135817","N/A","2024-10-23"
"2023","Barletta","Corsa","23UC","25 ft","N/A","BA16615","Marine Sales","Gilbertsville KY","131024","N/A","2024-10-23"
"2023","Barletta","Lusso","L23UC","25 ft 6 in","N/A","BA13525","Marine Sales","Gilbertsville KY","147899","N/A","2024-10-23"
"2023","Barletta","Lusso","L25UE","27 ft 6 in","N/A","BA17186","Marine Sales","Gilbertsville KY","165958","N/A","2024-10-23"
"2022","AWAKE","Ravik","3","N/A","N/A","AWR3482","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2022","AWAKE","RAVIK","S","N/A","N/A","AWRS392","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2022","AWAKE","VINGA","S","N/A","N/A","AWV0062","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Barletta ","Lusso","L25UCA","27 ft 6 in","N/A","BA19245","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Barletta ","Lusso","L25UCAT","28 ft 3 in","N/A","BA19084","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Barletta","Reserve","V26M","28 ft 6 in","N/A","BA17649","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Cobalt Boats","N/A","A29","29 ft","N/A","COA9013","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Cobalt Boats","N/A","CS23","23 ft 5 in","N/A","CO13014","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Cobalt Boats","N/A","R30","30 ft 8 in","N/A","COR0009","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Cobalt Boats","N/A","R33","33 ft 4 in","N/A","CO33046","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Cobalt Boats","N/A","R4","24 ft 3 in","N/A","COR4030","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Cobalt Boats","N/A","R4","24 ft 3 in","N/A","COR4093","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Cobalt Boats","R4","Surf","24 ft 3 in","N/A","COW4085","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Cobalt Boats","N/A","R8","28 ft","N/A","COR8033","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Sea-Doo","GTI™","SE","N/A","N/A","SD39783","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
"2024","Sea-Doo","GTI™","SE","N/A","N/A","SD73649","Marine Sales","Gilbertsville KY","N/A","N/A","2024-10-23"
