"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Thor Motor Coach","N/A","DD35","243975","169897","120188","ClassA Gas","Albany NY","Meyers","2024-10-17"
"2025","Thor Motor Coach","Outlaw","38K","266850","N/A","90493","ClassA Gas","Mt Morris PA","Meyers","2024-10-17"
"2025","Thor Motor Coach","N/A","24.1","173356","N/A","51884","ClassA Gas","Caledonia NY","Meyers","2024-10-17"
"2025","Thor Motor Coach","N/A","29M","207541","N/A","16628","ClassA Gas","Caledonia NY","Meyers","2024-10-17"
"2025","Thor Motor Coach","N/A","35M","218850","N/A","16586","ClassA Gas","Caledonia NY","Meyers","2024-10-17"
"2025","Forest River RV","FR3","33Z","239734","N/A","16621","ClassA Gas","Caledonia NY","Meyers","2024-10-17"
"2025","Entegra Coach","Vision","29F","197477","N/A","24632","ClassA Gas","Bath NY","Meyers","2024-10-17"
"2023","Entegra Coach","Vision","29S","188185","113895","71012","ClassA Gas","Farmington NY","Meyers","2024-10-17"
"2025","Jayco","Alante","29S","211030","139995","130211","ClassA Gas","Webster NY","Meyers","2024-10-17"
"2024","Jayco","Precept","31UL","218822","159995","130201","ClassA Gas","Webster NY","Meyers","2024-10-17"
"2024","Thor Motor Coach","N/A","34J","216871","124897","51678","ClassA Gas","Harrisburg PA","Meyers","2024-10-17"
"2024","Thor Motor Coach","N/A","34A","216534","124897","51680","ClassA Gas","Harrisburg PA","Meyers","2024-10-17"
"2024","Forest River RV","FR3","32DS","194691","124897","51737","ClassA Gas","Harrisburg PA","Meyers","2024-10-17"
"2024","Forest River RV","FR3","30DS","195876","124897","51751","ClassA Gas","Harrisburg PA","Meyers","2024-10-17"
"2025","Entegra Coach","Vision","29F","197477","N/A","51956","ClassA Gas","Harrisburg PA","Meyers","2024-10-17"
"2024","Thor Motor Coach","N/A","CC35","233850","144897","33631","ClassA Gas","Syracuse NY","Meyers","2024-10-17"
"2024","Entegra Coach","Vision","27A","189910","114897","71052","ClassA Gas","Branchville NJ","Meyers","2024-10-17"
"2025","Thor Motor Coach","N/A","CC35","243975","169897","120189","ClassA Gas","Albany NY","Meyers","2024-10-17"
"2025","Jayco","Seismic","4113","174908","N/A","130294","ToyHauler","Webster NY","Meyers","2024-10-17"
"2025","Keystone RV","N/A","337","103602","N/A","51970","ToyHauler","Harrisburg PA","Meyers","2024-10-17"
"2025","Keystone RV","Fuzion","419","158593","N/A","51957","ToyHauler","Harrisburg PA","Meyers","2024-10-17"
"2024","Brinkley","Model G","3500","187334","154995","71017","ToyHauler","Syracuse NY","Meyers","2024-10-17"
"2025","Brinkley","Model G","3950","233351","N/A","34075","ToyHauler","Syracuse NY","Meyers","2024-10-17"
"2025","Brinkley","N/A","3970","281824","N/A","71425","ToyHauler","Branchville NJ","Meyers","2024-10-17"
"2025","Keystone RV","N/A","337","101772","N/A","16623","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2025","Grand Design","Momentum","350G","120286","N/A","16617","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2024","Grand Design","Momentum","395MS","181039","126897","33677","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2025","Keystone RV","Fuzion","373","143980","N/A","16581","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2025","Keystone RV","Fuzion","430","154510","N/A","16584","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2025","Keystone RV","Fuzion","430","160672","N/A","16630","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2025","Keystone RV","Fuzion","425","N/A","N/A","71364","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2025","Keystone RV","Fuzion","373","N/A","N/A","16585","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2025","Forest River RV","N/A","41G14","141229","N/A","24575","ToyHauler","Bath NY","Meyers","2024-10-17"
"2025","Forest River RV","N/A","41G14","144592","N/A","24619","ToyHauler","Bath NY","Meyers","2024-10-17"
"2025","Grand Design","Momentum","351MS","162248","N/A","41276","ToyHauler","Farmington NY","Meyers","2024-10-17"
"2024","Jayco","Seismic","4113","183224","109897","130102","ToyHauler","Webster NY","Meyers","2024-10-17"
"2025","Jayco","Seismic","395","131890","97495","130255","ToyHauler","Webster NY","Meyers","2024-10-17"
"2025","Jayco","Seismic","399","132340","97995","130256","ToyHauler","Webster NY","Meyers","2024-10-17"
"2023","Keystone RV","N/A","424","154637","86897","61550","ToyHauler","Sayre PA","Meyers","2024-10-17"
"2023","Forest River RV","N/A","384","128207","65897","23667","ToyHauler","Harrisburg PA","Meyers","2024-10-17"
"2022","Keystone RV","Fuzion","429","147872","79895","33213","ToyHauler","Syracuse NY","Meyers","2024-10-17"
"2024","Grand Design","Momentum","415G","125954","83897","33675","ToyHauler","Syracuse NY","Meyers","2024-10-17"
"2024","Grand Design","Momentum","410TH","166187","109897","33951","ToyHauler","Syracuse NY","Meyers","2024-10-17"
"2025","Grand Design","Momentum","351MS","148993","N/A","34034","ToyHauler","Syracuse NY","Meyers","2024-10-17"
"2023","Keystone RV","N/A","424","166397","89895","100038","ToyHauler","Joppa MD","Meyers","2024-10-17"
"2025","Keystone RV","Carbon","358","105926","N/A","100291","ToyHauler","Joppa MD","Meyers","2024-10-17"
"2025","Keystone RV","N/A","352","135700","N/A","100299","ToyHauler","Joppa MD","Meyers","2024-10-17"
"2025","Keystone RV","N/A","424","142937","N/A","100301","ToyHauler","Joppa MD","Meyers","2024-10-17"
"2025","Alliance RV","Valor","36V11","136248","N/A","71327","ToyHauler","Branchville NJ","Meyers","2024-10-17"
"2024","Brinkley","Model G","4000","192344","159995","71095","ToyHauler","Branchville NJ","Meyers","2024-10-17"
"2025","Brinkley","Model G","3950","210468","N/A","71349","ToyHauler","Branchville NJ","Meyers","2024-10-17"
"2023","Keystone RV","Fuzion","421","155410","79897","51549","ToyHauler","Albany NY","Meyers","2024-10-17"
"2023","Keystone RV","Fuzion","428","157398","86895","51511","ToyHauler","Albany NY","Meyers","2024-10-17"
"2025","Brinkley","Model G","3500","189110","N/A","33994","ToyHauler","Albany NY","Meyers","2024-10-17"
"2024","Keystone RV","N/A","3120","93296","65897","16250","ToyHauler","Madison OH","Meyers","2024-10-17"
"2024","Grand Design","Momentum","395MS","154248","109897","80457","ToyHauler","Madison OH","Meyers","2024-10-17"
"2024","Brinkley","Model G","4000","192402","159995","61820","ToyHauler","Ellwood City PA","Meyers","2024-10-17"
"2023","Grand Design","Momentum","395MS","153526","109897","90273","ToyHauler","Mt Morris PA","Meyers","2024-10-17"
"2024","Grand Design","Momentum","399TH","169262","116897","90443","ToyHauler","Mt Morris PA","Meyers","2024-10-17"
"2024","Brinkley","Model G","3250","214185","N/A","61955","ToyHauler","Pittsburgh PA","Meyers","2024-10-17"
"2024","Grand Design","Momentum","414M","158701","109897","16370","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2024","Grand Design","Momentum","397THS","166141","109897","16384","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2025","Keystone RV","Fuzion","430","144017","N/A","16526","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2024","Brinkley","Model G","4000","194178","N/A","16580","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2025","Forest River RV","XLR Boost","363BX","94969","N/A","24542","ToyHauler","Bath NY","Meyers","2024-10-17"
"2025","Forest River RV","N/A","36G15","128386","N/A","24480","ToyHauler","Bath NY","Meyers","2024-10-17"
"2025","EAST TO WEST","N/A","350TH","158576","N/A","24516","ToyHauler","Bath NY","Meyers","2024-10-17"
"2025","EAST TO WEST","N/A","400TH","165836","N/A","24481","ToyHauler","Bath NY","Meyers","2024-10-17"
"2024","Grand Design","Momentum","415G","128551","84897","41104","ToyHauler","Farmington NY","Meyers","2024-10-17"
"2025","Grand Design","Momentum","344M","146061","N/A","41248","ToyHauler","Farmington NY","Meyers","2024-10-17"
"2024","Brinkley","Model G","3500","183800","154995","33566","ToyHauler","Farmington NY","Meyers","2024-10-17"
"2025","Brinkley","Model G","3950","210468","N/A","41218","ToyHauler","Farmington NY","Meyers","2024-10-17"
"2025","EAST TO WEST","N/A","400TH","171102","113897","80502","ToyHauler","Madison OH","Meyers","2024-10-17"
"2025","Jayco","Seismic","359","119177","87495","140055","ToyHauler","Ripley WV","Meyers","2024-10-17"
"2025","Jayco","Seismic","395","132333","97495","140039","ToyHauler","Ripley WV","Meyers","2024-10-17"
"2025","Jayco","Seismic","399","132783","97995","140056","ToyHauler","Ripley WV","Meyers","2024-10-17"
"2025","Alliance RV","Valor","36V11","135615","N/A","61992","ToyHauler","Ellwood City PA","Meyers","2024-10-17"
"2024","Keystone RV","Fuzion","421","142960","89895","90324","ToyHauler","Mt Morris PA","Meyers","2024-10-17"
"2025","Brinkley","Model G","3950","210468","N/A","90509","ToyHauler","Mt Morris PA","Meyers","2024-10-17"
"2025","Alliance RV","Valor","36A15","110756","N/A","61994","ToyHauler","Pittsburgh PA","Meyers","2024-10-17"
"2025","Brinkley","Model G","3250","194474","N/A","62015","ToyHauler","Pittsburgh PA","Meyers","2024-10-17"
"2024","Keystone RV","Fuzion","425","149057","96895","16248","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2025","Keystone RV","Fuzion","415","108694","N/A","16529","ToyHauler","Caledonia NY","Meyers","2024-10-17"
"2024","Grand Design","Momentum","410TH","165970","109897","16371","ToyHauler","Caledonia NY","Meyers","2024-10-17"
