"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2022","Montara","MT","2.0","25","PCM 450","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2025","ATX","Boats","22","22","Indmar Raptor 400","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2025","Tige","N/A","22RZX","22","Indmar Raptor 400","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2025","Tige","Ultre","25ZX","255","Indmar Raptor 575","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","ATX","Boats","22","22","Indmar Raptor 400","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","ATX","Boats","22","22","Indmar Raptor 400","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Bennington","208","SLJ","20","Yamaha 115 4-stroke","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Bennington","208","SLJ","20","Yamaha 70 4-stroke","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Bennington","22","SVSR","22","Yamaha 150 4-stroke","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Bennington","22","SVSR","22","Yamaha 150 4-stroke","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Montara","Surf","Boss","25","N/A","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Tige","N/A","24RZX","245","Indmar Raptor 440","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Tige","N/A","24RZX","245","Indmar Raptor 440","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2023","ATX","Boats","22","22","Indmar Raptor 400","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2023","Bennington","21","SXSB","21","Yamaha 115","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2023","Tige","N/A","Z3","235","N/A","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2022","Montara","MT","2.0","25","PCM 450","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2025","ATX","Boats","22","22","Indmar Raptor 400","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2025","Tige","N/A","22RZX","22","Indmar Raptor 400","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2025","Tige","Ultre","25ZX","255","Indmar Raptor 575","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","ATX","Boats","22","22","Indmar Raptor 400","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","ATX","Boats","22","22","Indmar Raptor 400","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Bennington","208","SLJ","20","Yamaha 115 4-stroke","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Bennington","208","SLJ","20","Yamaha 70 4-stroke","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Bennington","22","SVSR","22","Yamaha 150 4-stroke","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Bennington","22","SVSR","22","Yamaha 150 4-stroke","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Montara","Surf","Boss","25","N/A","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Tige","N/A","24RZX","245","Indmar Raptor 440","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2024","Tige","N/A","24RZX","245","Indmar Raptor 440","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2023","ATX","Boats","22","22","Indmar Raptor 400","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2023","Bennington","21","SXSB","21","Yamaha 115","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2023","Tige","N/A","Z3","235","N/A","N/A","MontanaBoatCenter","Helena, MT","N/A","N/A","2024-10-30"
"2022","Montara","MT","2.0","25","PCM 450","N/A","MontanaBoatCenter","Helena, MT","169995.00","N/A","2024-10-30"
"2025","ATX","Boats","22","22","Indmar Raptor 400","N/A","MontanaBoatCenter","Helena, MT","140995.00","N/A","2024-10-30"
"2025","Tige","N/A","22RZX","22","Indmar Raptor 400","N/A","MontanaBoatCenter","Helena, MT","204995.00","N/A","2024-10-30"
"2025","Tige","Ultre","25ZX","255","Indmar Raptor 575","N/A","MontanaBoatCenter","Helena, MT","Contact for Your Pricing!","N/A","2024-10-30"
