"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Starcraft","Marine","EX","20'","Yamaha VF90LA","SC-97057","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2025","Starcraft","Marine","SLS","23'","Yamaha VF150XA","SC-97165","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2025","Starcraft","Marine","SLS","23'","Yamaha VF150XA","SC-97161","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2025","Starcraft","Marine","SLS","23'","N/A","SC-95229","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2024","Starcraft","Marine","CX","23'","Yamaha VF250XB","SC-91316","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2024","Starcraft","Marine","CX","25'","Mercury","SC-94600","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2024","Starcraft","Marine","EX","20'","Yamaha F70LA","SC-87051","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2024","Starcraft","Marine","EXS","21'","Yamaha VF115XA","SC-87526","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2024","Starcraft","Marine","EXS","21'","Yamaha VF115XA","SC-87532","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2024","Starcraft","Marine","MX","25'","Yamaha F300","SC-87049","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2024","Starcraft","Marine","MX-25","25'","Yamaha F300XCB","SC-87248","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2024","Starcraft","Marine","SLS","21'","Yamaha VF115XA","SC-87093","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2024","Starcraft","Marine","SLS","21'","Yamaha VF115XA","SC-87538","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","CX","25'","Yamaha F300XCB","SC-85464","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","EX","20'","Yamaha F70LA","SC-83741","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","EX","22'","Mercury","SC-77573","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","EX","22'","Yamaha VF115LA","SC-85021","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","EX","22'","Yamaha F115LB","85523","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","EX","22'","Yamaha F115LB","SC-85523","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","EXS","23'","Yamaha VF150XA","SC-80032","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","EXS","23'","Yamaha VF150XA","SC-83839","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","EXS","23'","Yamaha VF150XA","SC-85626","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","EXS","25'","Yamaha F200XB","SC-82176","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","LX","22'","Yamaha F115LB","SC-81130","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","LX","22'","Yamaha F115LB","SC-82198","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","LX","22'","Yamaha F115LB","SC-83491","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","MX","25'","Mercury V350XL","SC-85621","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","SLS","25'","Yamaha VF250LB","SC-80470","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
"2023","Starcraft","Marine","SX","25'","Yamaha F300XCB","SC-83263","Moose Landing","Naples ME","N/A","N/A","2024-11-04"
