"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2024","Klamath","Boats","16'","16","HONDA","K2401","Mountain Marine","Kalispell MT","N/A","26991.00","2024-11-05"
"2024","Klamath","Boats","18","18","HONDA","K2402","Mountain Marine","Kalispell MT","N/A","44991.00","2024-11-05"
"2024","Montara","BASE","SURF","23","N/A","M2403","Mountain Marine","Kalispell MT","N/A","179991.00","2024-11-05"
"2024","Montara","BASE","SURF","25","PCM","M2405","Mountain Marine","Kalispell MT","N/A","189991.00","2024-11-05"
"2024","Montara","BASE","SURF","25","PCM","M2404","Mountain Marine","Kalispell MT","N/A","189991.00","2024-11-05"
"2024","Montara","BASE","SURF","25","PCM","M2401","Mountain Marine","Kalispell MT","N/A","189991.00","2024-11-05"
"2024","Smoker","Craft","SmokerCraft","18 8","MERCURY","SM2401","Mountain Marine","Kalispell MT","N/A","72991.00","2024-11-05"
"2024","SmokerCraft","Excursion","176","17 8","HONDA","SM2403","Mountain Marine","Kalispell MT","N/A","41991.00","2024-11-05"
"2024","StarCraft","EXS","1","21 8","Mercury","SC2405","Mountain Marine","Kalispell MT","N/A","73991.00","2024-11-05"
"2024","StarCraft","EXS","3","23","MERCURY","SC2407","Mountain Marine","Kalispell MT","N/A","89991.00","2024-11-05"
"2024","StarCraft","EXS","3","23","MERCURY","SC2406","Mountain Marine","Kalispell MT","N/A","88991.00","2024-11-05"
"2024","StarCraft","EXS","3","23","MERCURY","SC2409","Mountain Marine","Kalispell MT","N/A","88991.00","2024-11-05"
"2024","StarCraft","SVX","230","22 8","Mercury","SC2401","Mountain Marine","Kalispell MT","N/A","125991.00","2024-11-05"
"2024","StarCraft","SVX","230","22 8","N/A","SC2403","Mountain Marine","Kalispell MT","N/A","125991.00","2024-11-05"
"2024","StarCraft","SVX","231","22 8","Mercury","SC2404","Mountain Marine","Kalispell MT","N/A","89991.00","2024-11-05"
"2023","Viaggio","N/A","L20U","20","Mercury","V2324","Mountain Marine","Kalispell MT","N/A","72991.00","2024-11-05"
"2023","Viaggio","N/A","L20U","20","Mercury","V2219","Mountain Marine","Kalispell MT","N/A","59991.00","2024-11-05"
"2023","Viaggio","N/A","L22Q","22","N/A","V2220","Mountain Marine","Kalispell MT","N/A","79991.00","2024-11-05"
"2023","Viaggio","N/A","L22T","22","Mercury","V2321","Mountain Marine","Kalispell MT","N/A","80991.00","2024-11-05"
"2023","Viaggio","LAGO","22F","22","Honda","V2322","Mountain Marine","Kalispell MT","N/A","71991.00","2024-11-05"
"2022","Montara","23'","SURF","23","PCM","M2203","Mountain Marine","Kalispell MT","N/A","139991.00","2024-11-05"
"2022","Viaggio","N/A","D23Q","N/A","Mercury","V2211","Mountain Marine","Kalispell MT","N/A","81991.00","2024-11-05"
"2022","Viaggio","N/A","D23Q","23","Mercury","V2207","Mountain Marine","Kalispell MT","N/A","80991.00","2024-11-05"
"2022","Viaggio","N/A","D23U","23","Mercury","V2202","Mountain Marine","Kalispell MT","N/A","75991.00","2024-11-05"
"2024","StarCraft","CX","25","N/A","N/A","SC2408","Mountain Marine","Kalispell MT","N/A","98991.00","2024-11-05"
"2023","Klamath","Boats","13","13","Honda","K2305","Mountain Marine","Kalispell MT","N/A","13000.00","2024-11-05"
"2023","Klamath","Boats","13","13","Honda","K2306","Mountain Marine","Kalispell MT","N/A","13000.00","2024-11-05"
"2023","Klamath","Boats","16","16","Honda","K2303","Mountain Marine","Kalispell MT","N/A","40000.00","2024-11-05"
"2023","Montara","25'","SURF","25","PCM","M2204","Mountain Marine","Kalispell MT","N/A","168991.00","2024-11-05"
"2023","Sanger","Boats","V215","21 5","Raptor by Indmar","S2302","Mountain Marine","Kalispell MT","N/A","78991.00","2024-11-05"
"2023","Sanger","Boats","V215","21 5","Indmar","S2304","Mountain Marine","Kalispell MT","N/A","89991.00","2024-11-05"
"2023","Sanger","Boats","V237","23 5","Indmar Raptor","S2303","Mountain Marine","Kalispell MT","N/A","105991.00","2024-11-05"
"2023","Sanger","Boats","V237","23 7","Indmar Raptor","S2301","Mountain Marine","Kalispell MT","N/A","94991.00","2024-11-05"
"2023","Viaggio","N/A","DM18F","18","Mercury","V2216","Mountain Marine","Kalispell MT","N/A","49991.00","2024-11-05"
"2023","Viaggio","N/A","DM18U","18","Mercury","V2217","Mountain Marine","Kalispell MT","N/A","51991.00","2024-11-05"
"2023","Viaggio","N/A","DM20C","20","Mercury","V2215","Mountain Marine","Kalispell MT","N/A","47991.00","2024-11-05"
"2023","Viaggio","N/A","DM20C","20","Mercury","V2323","Mountain Marine","Kalispell MT","N/A","52991.00","2024-11-05"
"2023","Viaggio","N/A","DM20U","20","Mercury","V2213","Mountain Marine","Kalispell MT","N/A","51991.00","2024-11-05"
"2023","Viaggio","N/A","L20C","20","Mercury","V2218","Mountain Marine","Kalispell MT","N/A","53991.00","2024-11-05"
"2023","Viaggio","N/A","L20F","20","Mercury","V2214","Mountain Marine","Kalispell MT","N/A","51991.00","2024-11-05"
