"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2024","Avalon","Catalina","Versatile","25","Mercury","60973","NorthPoint WaterSports","Mooresville NC","129185.00","N/A","2024-11-04"
"2024","Avalon","Catalina","Versatile","25","Suzuki","62295","NorthPoint WaterSports","Mooresville NC","64900.00","N/A","2024-11-04"
"2024","Avalon","LSZ","Cruise","23","Suzuki","56113","NorthPoint WaterSports","Mooresville NC","58414.00","N/A","2024-11-04"
"2024","Avalon","LSZ","Cruise","23","Suzuki","56111","NorthPoint WaterSports","Mooresville NC","55455.00","N/A","2024-11-04"
"2024","Avalon","LSZ","Quad","23","Suzuki","56110","NorthPoint WaterSports","Mooresville NC","59751.00","N/A","2024-11-04"
"2024","Avalon","LSZ","Quad","23","Suzuki","60974","NorthPoint WaterSports","Mooresville NC","64676.00","N/A","2024-11-04"
"2024","Avalon","LSZ","Quad","23","Yamaha","62302","NorthPoint WaterSports","Mooresville NC","59751.00","N/A","2024-11-04"
"2024","Avalon","LSZ","Versatile","23","Yamaha","62298","NorthPoint WaterSports","Mooresville NC","68472.00","N/A","2024-11-04"
"2024","Avalon","LSZ","Versatile","23","Mercury","62303","NorthPoint WaterSports","Mooresville NC","67489.00","N/A","2024-11-04"
"2024","Avalon","LSZ","Versatile","23","Mercury","62300","NorthPoint WaterSports","Mooresville NC","65973.00","N/A","2024-11-04"
"2023","Avalon","Catalina","Quad","25","Suzuki","750820","NorthPoint WaterSports","Mooresville NC","69873.00","N/A","2024-11-04"
"2023","Avalon","Catalina","Quad","25","Suzuki","50864","NorthPoint WaterSports","Mooresville NC","68475.00","N/A","2024-11-04"
"2023","Avalon","Catalina","Quad","25","Mercury","750878","NorthPoint WaterSports","Mooresville NC","82964.00","N/A","2024-11-04"
"2023","Bayliner","N/A","DX2250","217","Mercruiser 4.5L MPI","X3286","NorthPoint WaterSports","Mooresville NC","59460.00","N/A","2024-11-04"
"2023","Bayliner","N/A","T24CC","24","Mercury","X3061","NorthPoint WaterSports","Mooresville NC","73768.00","N/A","2024-11-04"
