"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Sea Fox","251","Bay","25 ft","N/A","SF24001","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2025","Sea Pro","292","DLX","29 ft","N/A","SP24032","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2025","South Bay","523UL","3.0","24 ft","N/A","SB24032","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","Alweld","N/A","1548vw","15 ft","N/A","AL24009","Paradise Marine","Gulf Shores AL","10125","10125","2024-11-05"
"2024","Alweld","1856","Invader","18 ft 5 in","N/A","AL24006","Paradise Marine","Gulf Shores AL","12900","12900","2024-11-05"
"2024","Clark Sound Boats","24","Hybrid","24 ft","N/A","CS23001","Paradise Marine","Gulf Shores AL","144500","144500","2024-11-05"
"2024","East Cape","25","Hybrid","24 ft 10 in","N/A","EC23001","Paradise Marine","Gulf Shores AL","203039","203039","2024-11-05"
"2024","East Cape ","VANTAGE","VHP","19 ft 2 in","N/A","EC24002","Paradise Marine","Gulf Shores AL","65850","65850","2024-11-05"
"2024","Sea Pro","202","Center","19 ft 9 in","N/A","SP24012","Paradise Marine","Gulf Shores AL","65029","65029","2024-11-05"
"2024","Sea Pro","210","Bay","20 ft 9 in","N/A","SP24024","Paradise Marine","Gulf Shores AL","66381","66381","2024-11-05"
"2024","Sea Pro","222","Center","21 ft 9 in","N/A","SP23029","Paradise Marine","Gulf Shores AL","83206","83206","2024-11-05"
"2024","Sea Pro","222","Center","23 ft 9 in","N/A","SP24008","Paradise Marine","Gulf Shores AL","81983","81983","2024-11-05"
"2024","Sea Pro","230","Bay","22 ft 8 in","N/A","SP24010","Paradise Marine","Gulf Shores AL","76840","76840","2024-11-05"
"2024","Sea Pro","230","Bay","22 ft 8 in","N/A","SP24021","Paradise Marine","Gulf Shores AL","77908","77908","2024-11-05"
"2024","Sea Pro","230","Bay","22 ft 8 in","N/A","SP24025","Paradise Marine","Gulf Shores AL","85080","85080","2024-11-05"
"2024","Sea Pro","230","Bay","22 ft 8 in","N/A","SP24017","Paradise Marine","Gulf Shores AL","76840","76840","2024-11-05"
"2024","Sea Pro","240","Dual","23 ft 9 in","N/A","SP24013","Paradise Marine","Gulf Shores AL","121042","121042","2024-11-05"
"2024","Sea Pro","242","Center","23 ft 9 in","N/A","SP23027","Paradise Marine","Gulf Shores AL","110473","110473","2024-11-05"
"2024","Sea Pro","242","Center","24 ft","N/A","SP24020","Paradise Marine","Gulf Shores AL","107902","107902","2024-11-05"
"2024","Sea Pro","242","Center","23 ft 9 in","N/A","SP24006","Paradise Marine","Gulf Shores AL","115405","115405","2024-11-05"
"2023","Sea Pro","248","Bay","24 ft 8 in","N/A","SP23020","Paradise Marine","Gulf Shores AL","90500","90500","2024-11-05"
"2024","Stingray","N/A","172SC","17 ft 3 in","N/A","SR24008","Paradise Marine","Gulf Shores AL","35900","35900","2024-11-05"
"2024","Stingray","N/A","173CC","17 ft 3 in","N/A","SR24009","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","Stingray","N/A","173CC","17 ft 3 in","N/A","SR24001","Paradise Marine","Gulf Shores AL","46000","46000","2024-11-05"
"2024","Stingray","N/A","191DC","19 ft 1 in","N/A","SR24010","Paradise Marine","Gulf Shores AL","42900","42900","2024-11-05"
"2024","Stingray","N/A","192SC","20 ft 1 in","N/A","SR24005","Paradise Marine","Gulf Shores AL","52900","52900","2024-11-05"
"2024","Stingray","N/A","216CC","21 ft 8 in","N/A","SR24003","Paradise Marine","Gulf Shores AL","79900","79900","2024-11-05"
"2024","Stingray","N/A","216CC","21 ft 8 in","N/A","SR24006","Paradise Marine","Gulf Shores AL","79900","79900","2024-11-05"
"2024","Stingray","N/A","216CC","21 ft 8 in","N/A","SR24004","Paradise Marine","Gulf Shores AL","69900","69900","2024-11-05"
"2024","Stingray","N/A","269DC","27 ft 11 in","N/A","SR24002","Paradise Marine","Gulf Shores AL","172900","172900","2024-11-05"
"2024","Stingray","N/A","273CC","27 ft 11 in","N/A","SR24007","Paradise Marine","Gulf Shores AL","175500","175500","2024-11-05"
"2023","Alweld","N/A","1652vv","16 ft","N/A","AL24008","Paradise Marine","Gulf Shores AL","10050","10050","2024-11-05"
"2023","Alweld","N/A","1760vw","17 ft 6 in","N/A","AL24007","Paradise Marine","Gulf Shores AL","13621","13621","2024-11-05"
"2023","Alweld","N/A","1860VV","18 ft 6 in","N/A","AL24010","Paradise Marine","Gulf Shores AL","15829","15829","2024-11-05"
"2023","Qwest Pontoons","820","E-Class","20 ft","N/A","AP24005","Paradise Marine","Gulf Shores AL","42200","42200","2024-11-05"
"2023","Qwest Pontoons","820","E-Class","20 ft","N/A","AP24002","Paradise Marine","Gulf Shores AL","47400","47400","2024-11-05"
"2023","Qwest Pontoons","820","E-Class","20 ft","N/A","AP24003","Paradise Marine","Gulf Shores AL","44700","44700","2024-11-05"
"2023","Qwest Pontoons","822","E-Class","22 ft","N/A","AP24006","Paradise Marine","Gulf Shores AL","49100","49100","2024-11-05"
"2023","Qwest Pontoons","822","E-Class","22 ft","N/A","AP24001","Paradise Marine","Gulf Shores AL","48100","48100","2024-11-05"
"2023","Qwest Pontoons","822","E-Class","22 ft","N/A","AP24004","Paradise Marine","Gulf Shores AL","54900","54900","2024-11-05"
"2023","Sea Fox","228","Commander","22 ft 4 in","N/A","N/A","Paradise Marine","Gulf Shores AL","72999","72999","2024-11-05"
"2024","Sea Pro","250","Bay","25 ft","N/A","SP24023","Paradise Marine","Gulf Shores AL","104476","104476","2024-11-05"
"2024","Sea Pro","250","Bay","24 ft 8 in","N/A","SP24018","Paradise Marine","Gulf Shores AL","98687","98687","2024-11-05"
"2024","Sea Pro","250","Bay","24 ft 8 in","N/A","SP24015","Paradise Marine","Gulf Shores AL","104047","104047","2024-11-05"
"2024","Sea Pro","262","Center","25 ft 9 in","N/A","SP24019","Paradise Marine","Gulf Shores AL","146568","146568","2024-11-05"
"2024","Sea Pro","322","DLX","32 ft","N/A","SP23025","Paradise Marine","Gulf Shores AL","294791","294791","2024-11-05"
"2024","Sea Pro","322","Offshore","32 ft","N/A","SP24009","Paradise Marine","Gulf Shores AL","323080","323080","2024-11-05"
"2024","Sea Pro","322","Offshore","32 ft","N/A","SP24028","Paradise Marine","Gulf Shores AL","313815","313815","2024-11-05"
"2024","South Bay","220RS","LE","20 ft","N/A","SB24012","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","South Bay","220RS","LE","20 ft","N/A","SB24006","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","South Bay","220RS","LE","20 ft 10 in","N/A","SB23029","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","South Bay","224FCR","LE","24 ft","N/A","SB24028","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","South Bay","224FCR","LE","24 ft","N/A","SB24029","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","South Bay","523UL","3.0","24 ft","N/A","SB23014","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","South Bay","525ULE","3.0","25 ft 5 in","N/A","SB24010","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","South Bay","S224","UL","24 ft","N/A","SB24023","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","South Bay","S224","UL","24 ft","N/A","SB24024","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","South Bay","S224CR","3.0","24 ft","N/A","SB24020","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","South Bay","S224CR","3.0","24 ft","N/A","SB24019","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","South Bay","S224E","3.0","24 ft","N/A","SB24015","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
"2024","South Bay","S224FCR","3.0","24 ft","N/A","SB24013","Paradise Marine","Gulf Shores AL","N/A","N/A","2024-11-05"
