"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Roadtrek","Roadtrek","Chase","189313","139788","RT539314","ClassB Gas","Location   Payson","Parris","2024-10-15"
"2024","Roadtrek","Roadtrek","Chase","182999","134788","RT532582","ClassB Gas","Location Murray North","Parris","2024-10-15"
"2024","Roadtrek","Roadtrek","Slumber","171617","127778","RT592304","ClassB Gas","Location Murray North","Parris","2024-10-15"
"2024","Roadtrek","Roadtrek","Slumber","198399","144788","RT532577","ClassB Gas","Location   Payson","Parris","2024-10-15"
"2024","Roadtrek","Roadtrek","Slumber","204458","149788","RT592300","ClassB Gas","Location Murray North","Parris","2024-10-15"
"2025","Roadtrek","Roadtrek","Wave","175292","N/A","RT600531","ClassB Gas","Location   Payson","Parris","2024-10-15"
"2024","Dynamax","Isata 3","24FW","197981","129888","IS191645","ClassC Diesel","Location   Payson","Parris","2024-10-15"
"2024","Dynamax","Isata 3","24FW","197939","132888","IS210909","ClassC Diesel","Location Murray North","Parris","2024-10-15"
"2024","Dynamax","Isata 3","24FWSFX","222719","146888","IS200454","ClassC Diesel","Location   Payson","Parris","2024-10-15"
"2025","Dynamax","Isata 3","24RW","206834","155995","IS271730","ClassC Diesel","Location Murray North","Parris","2024-10-15"
"2025","Dynamax","Isata 3","24SSSFXM","230806","173995","IS239511","ClassC Diesel","Location Murray North","Parris","2024-10-15"
"2025","Dynamax","Isata 3","24SSSFXM","230848","173995","IS267626","ClassC Diesel","Location   Payson","Parris","2024-10-15"
"2025","Forest River RV","N/A","24DSRC","179772","119995","SL238860","ClassC Diesel","Location Murray North","Parris","2024-10-15"
"2025","Forest River RV","N/A","24SRB","179939","124995","SL267330","ClassC Diesel","Location Murray North","Parris","2024-10-15"
"2024","Forest River RV","N/A","24SRC","157497","106888","SL210908","ClassC Diesel","Location Murray North","Parris","2024-10-15"
"2025","Coachmen RV","Entourage","340BH","268798","194995","EN112828","ClassC Super Diesel","Location   Pocatello ID","Parris","2024-10-15"
"2024","Dynamax","DX3","37TS","448585","289888","DXUN8289","ClassC Super Diesel","Location Murray North","Parris","2024-10-15"
"2024","Dynamax","DynaQuest XL","3400KD","484123","339888","DYVD2458","ClassC Super Diesel","Location Murray North","Parris","2024-10-15"
"2024","Dynamax","Isata 5","28SS","301484","209888","IS562467","ClassC Super Diesel","Location   Payson","Parris","2024-10-15"
"2024","Dynamax","Isata 5","28SS","301225","209988","IS627643","ClassC Super Diesel","Location Murray North","Parris","2024-10-15"
"2025","Coachmen RV","Freelander","21QSS","114192","79995","FLD26148","ClassC Gas","Location   Pocatello ID","Parris","2024-10-15"
"2025","Coachmen RV","Freelander","26DS","152134","109995","FLD47506","ClassC Gas","Location   Pocatello ID","Parris","2024-10-15"
"2025","Coachmen RV","Freelander","26MB","161479","109995","FLD19880","ClassC Gas","Location   Pocatello ID","Parris","2024-10-15"
"2025","Coachmen RV","Freelander","29KB","159165","118995","FLD19917","ClassC Gas","Location   Pocatello ID","Parris","2024-10-15"
"2025","Coachmen RV","Freelander","31MB","175147","127995","FLD19780","ClassC Gas","Location   Pocatello ID","Parris","2024-10-15"
"2024","Forest River RV","N/A","22N","120212","82995","SL001300","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2025","Forest River RV","N/A","27DSE","154168","109995","SLD26304","ClassC Gas","Location   Payson","Parris","2024-10-15"
"2025","Forest River RV","N/A","32DSB","159803","109995","SLD19885","ClassC Gas","Location   Pocatello ID","Parris","2024-10-15"
"2023","Forest River RV","N/A","32DSB","144893","89888","SLD01221","ClassC Gas","Location   Payson","Parris","2024-10-15"
"2025","Forest River RV","N/A","32DSK","165703","116995","SLD26593","ClassC Gas","Location   Payson","Parris","2024-10-15"
"2024","Forest River RV","N/A","32DSK","152023","102888","SLD38625","ClassC Gas","Location   Pocatello ID","Parris","2024-10-15"
"2025","Cruiser","BT Cruiser","5210","141325","99995","BTD06276","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2025","Alliance RV","Avenue","32RLS","89950","79995","AV009801","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2024","Alliance RV","Avenue","33RKS","94100","69995","AV009189","Fifth Wheel","Location   Pocatello ID","Parris","2024-10-15"
"2024","Alliance RV","Avenue","37MBR","102324","69888","AV008159","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Avenue","38DBL","105735","76995","AV009181","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Access","24RK","76021","52888","AV008361","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Access","24RK","76232","56995","AV009047","Fifth Wheel","Location   Pocatello ID","Parris","2024-10-15"
"2025","Alliance RV","Access","26RD","75012","64995","AV009769","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2024","Alliance RV","Access","26RD","74938","64995","AV009699","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Access","28BH","76549","52888","AV008248","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2025","Alliance RV","Access","29RL","77798","64995","AV009708","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2025","Alliance RV","Paradigm","310RL","120200","114995","PA205487","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Alliance RV","Paradigm","310RL","120286","114995","PA205488","Fifth Wheel","Location   Pocatello ID","Parris","2024-10-15"
"2025","Alliance RV","Valor","40V13","149049","129995","VA009311","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Valor","40V13","154855","104995","VA009247","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Alliance RV","Valor","41V16","147679","129995","VA009479","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Alliance RV","Valor","42V13","156199","139995","VA009516","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Valor","42V13","154299","102888","VA007982","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Alliance RV","Valor","44V14","167709","134995","VA009381","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Alliance RV","Valor","44V14","153339","134995","VA009527","ToyHauler","Location Murray North","Parris","2024-10-15"
"2025","Alliance RV","Valor","44V14","153416","134995","VA009525","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Unknown","N/A","4023","189135","128888","PL231822","ToyHauler","Location   Payson","Parris","2024-10-15"
"2025","Unknown","N/A","3619","181455","134995","PL233375","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Unknown","N/A","4319","197260","139995","PL232935","ToyHauler","Location   Payson","Parris","2024-10-15"
"2024","Unknown","N/A","4319","200510","149995","PL233221","ToyHauler","Location Murray North","Parris","2024-10-15"
"2024","Gulf Stream RV","Conquest Class C","6314","158262","109685","COD30342","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2025","Alliance RV","Delta","251BH","55375","49995","DE304061","Travel Trailer","Location   Pocatello ID","Parris","2024-10-15"
"2024","Alliance RV","Delta","251BH","55224","39995","DE303598","Travel Trailer","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Delta","251BH","55224","39995","DE303599","Travel Trailer","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Delta","251BH","55295","39995","DE303600","Travel Trailer","Location   Payson","Parris","2024-10-15"
"2025","Alliance RV","Delta","262RB","56010","49995","DE304084","Travel Trailer","Location   Pocatello ID","Parris","2024-10-15"
"2024","Alliance RV","Delta","281BH","61183","41888","DE302231","Travel Trailer","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Delta","281BH","61183","39995","DE302396","Travel Trailer","Location   Payson","Parris","2024-10-15"
"2024","Alliance RV","Delta","292RL","64591","46995","DE303481","Travel Trailer","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Delta","292RL","64591","46995","DE303482","Travel Trailer","Location Murray North","Parris","2024-10-15"
"2024","Alliance RV","Delta","292RL","64662","46995","DE303461","Travel Trailer","Location   Payson","Parris","2024-10-15"
"2024","Alliance RV","Delta","292RL","64662","46995","DE303682","Travel Trailer","Location   Payson","Parris","2024-10-15"
"2024","Alliance RV","Delta","292RL","64741","46995","DE303686","Travel Trailer","Location   Pocatello ID","Parris","2024-10-15"
"2025","Keystone RV","Alpine","390DS","108070","82995","AV760120","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Keystone RV","Alpine","390DS","108070","82995","AV760123","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Palomino","Palomino","376DS","126090","84995","CL014780","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2025","Palomino","Palomino","380RL","119113","82995","CL014720","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2023","Palomino","Palomino","383FB","119308","69888","CL014017","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Palomino","Palomino","384RK","121466","82995","CL014762","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2025","Palomino","Palomino","384RK","121466","82995","CL014763","Fifth Wheel","Location   Payson","Parris","2024-10-15"
"2025","Palomino","Palomino","388FK","127192","86995","CL014771","Fifth Wheel","Location Murray North","Parris","2024-10-15"
"2025","Unknown","N/A","235RK","63899","38995","PH002254","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Unknown","N/A","274BH","70533","43995","PH002249","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Unknown","N/A","284RL","73868","46995","PH002260","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Unknown","N/A","30BHS","78291","49995","PH002232","Fifth Wheel","Location Murray South","Parris","2024-10-15"
"2025","Roadtrek","Roadtrek","Agile","212507","159995","RT117279","ClassB Diesel","Location Murray North","Parris","2024-10-15"
"2025","Cruiser","BT Cruiser","5210","141444","99995","BTD06469","ClassC Gas","Location   Payson","Parris","2024-10-15"
"2024","Cruiser","BT Cruiser","5220","132155","84888","BT283704","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2024","Cruiser","BT Cruiser","5240","138061","84888","BTD33457","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2024","Cruiser","BT Cruiser","5240","138611","84888","BTD33460","ClassC Gas","Location   Payson","Parris","2024-10-15"
"2025","Gulf Stream RV","N/A","4237T","145812","94995","COA55996","ClassC Gas","Location Murray North","Parris","2024-10-15"
"2025","Gulf Stream RV","N/A","4237T","145931","94995","COA55683","ClassC Gas","Location   Payson","Parris","2024-10-15"
"2024","Gulf Stream RV","Conquest Class C","6220LE","124650","83995","CO231227","ClassC Gas","Location Murray North","Parris","2024-10-15"
