"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Chaparral","247","SSX","246","Volvo V8 350HP DP","FGB60100E425","Plano Marine","Pier 121 at Lake Lewisville","N/A","N/A","2024-11-04"
"2025","Chaparral","267","SSX","265","Volvo V8 380HP DP","FGBZ0103F425","Plano Marine","Pier 121 at Lake Lewisville","N/A","N/A","2024-11-04"
"2025","Chaparral","267","SSX","265","Volvo V8 380HP DP","FGBZ0104F425","Plano Marine","Pier 121 at Lake Lewisville","N/A","N/A","2024-11-04"
"2025","HCB","Yachts","48","476","Quad 600 Mercury or Quad 450 Yamaha","HCB48ORD","Plano Marine","Pottsboro TX","N/A","N/A","2024-11-04"
"2025","Schaefer","N/A","375","37","Twin mercury 8.2 mag HO","8811724567","Plano Marine","Lake Texoma","N/A","N/A","2024-11-04"
"2025","Schaefer","375","OB","384","3 Mercury 300 Verado's","00000000","Plano Marine","Lake Texoma","758229.00","N/A","2024-11-04"
"2025","Schaefer","Schaefer","450","45","various options","00000000","Plano Marine","Lake Texoma","N/A","N/A","2024-11-04"
"2025","Schaefer","Schaefer","510","519","various options","000000000","Plano Marine","Lake Texoma","N/A","N/A","2024-11-04"
"2025","Schaefer","Schaefer","V33","339","Various options","00000000","Plano Marine","Lake Texoma","N/A","N/A","2024-11-04"
"2025","Schaefer","Schafer","510","519","various options","8811724567","Plano Marine","Lake Texoma","N/A","N/A","2024-11-04"
"2025","Schaefer","N/A","V44","448","Various Options","00000000","Plano Marine","Lake Texoma","N/A","N/A","2024-11-04"
"2025","Skeeter","N/A","FXR21L","21","Yamaha 250 Sho","STE05330I425","Plano Marine","Lewisville","N/A","N/A","2024-11-04"
"2025","Skeeter","N/A","FXR21L","214","Yamaha 250 SHO","8811724567","Plano Marine","Longview","101924.00","N/A","2024-11-04"
"2025","Skeeter","N/A","FXR21L","N/A","250 Sho","STE05332I425","Plano Marine","Lewisville","N/A","N/A","2024-11-04"
"2025","Skeeter","N/A","ZXR20","20","Yamaha 250 Sho","STE05325I425","Plano Marine","Pottsboro TX","N/A","N/A","2024-11-04"
"2022","Caymas","Boats","CX","214","Mercury 250 Pro XS","29201","Plano Marine","Pier 121 at Lake Lewisville","69999.00","N/A","2024-11-04"
"2022","Caymas","Boats","CX","N/A","Mercury 250","29242","Plano Marine","Lewisville","69999.00","N/A","2024-11-04"
"2022","Caymas","Boats","CX","214","250 PRO XS","29200","Plano Marine","Pier 121 at Lake Lewisville","69999.00","N/A","2024-11-04"
"2022","Caymas","Boats","CX21","204","MERCURY","29240","Plano Marine","Pier 121 at Lake Lewisville","69999.00","N/A","2024-11-04"
"2022","Lift","E","Foil","49","N/A","MHS32565K122","Plano Marine","Pier 121 at Lake Lewisville","N/A","N/A","2024-11-04"
