"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Bennington","188","SVL","188","Yamaha 60hp High Thrust","B535","River City","Aurora OR","38876.00","38876.00","2024-11-01"
"2025","Bennington","20","SVL","21","VMAX Yamaha 90HP","B536","River City","Aurora OR","46997.00","46997.00","2024-11-01"
"2025","Bennington","20","SVL","N/A","VMAX Yamaha 90HP","B534","River City","Aurora OR","46997.00","46997.00","2024-11-01"
"2025","Bennington","21","SSR","N/A","VMAX Yamaha 115","B544","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Bennington","22","SSR","226","VMAX Yamaha 150","B543","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Bennington","N/A","22SSB-SPS","226","VMAX Yamaha 150","B542","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Bennington","23","SSB","24","VMAX Yamaha 200","B545","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Bennington","25","QSBA","27","Yamaha 350HP","B541","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Regal","2000","ES","20","Volvo 280","N/A","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Regal","N/A","LS2","224","Volvo 280 Duoprop","N/A","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Regal","LS6","Ultimate","264","Volvo 380","N/A","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Yamaha","Boats","195S","196","1.8 SVHO","N/A","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Yamaha","Boats","195S","194","N/A","N/A","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Yamaha","Boats","222XD","22","Twin 1.9HO","N/A","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Yamaha","Boats","255","25","Twin 1.8 SVHO","N/A","River City","Aurora OR","N/A","N/A","2024-11-01"
"2024","Yamaha","Marine","AR195","196","N/A","Y651","River City","Aurora OR","45999.00","45999.00","2024-11-01"
"2023","Bennington","22","SXL","N/A","Yamaha 150hp","B481","River City","Aurora OR","69500.00","69500.00","2024-11-01"
"2023","Robalo","N/A","R230","23","Yamaha VMAX","RO102","River City","Aurora OR","88000.00","88000.00","2024-11-01"
"2023","Robalo","N/A","R230","23","Yamaha 250 SHO","RO107","River City","Aurora OR","88000.00","88000.00","2024-11-01"
"2024","Bennington","24","LPD","N/A","Yamaha 200HP","B512","River City","Aurora OR","N/A","N/A","2024-11-01"
"2024","Bennington","24","MFB","256","Yamaha 250HP","B539","River City","Aurora OR","N/A","N/A","2024-11-01"
"2024","Chaparral","21","SSi","21","Yamaha 200","CH118","River City","Aurora OR","N/A","N/A","2024-11-01"
"2024","Regal","N/A","LS4","24","Volvo 300","R217","River City","Aurora OR","129999.00","129999.00","2024-11-01"
"2024","Robalo","N/A","R200","20","Yamaha","RO112","River City","Aurora OR","N/A","N/A","2024-11-01"
"2024","Robalo","N/A","R207","21","Yamaha 200","RO111","River City","Aurora OR","79711.00","79711.00","2024-11-01"
"2024","Yamaha","Boats","AR195","192","1.8 SVHO","N/A","River City","Aurora OR","45999.00","45999.00","2024-11-01"
"2024","Yamaha","Marine","222","22","1.9 HO","Y674","River City","Aurora OR","69999.00","69999.00","2024-11-01"
"2024","Yamaha","Marine","252","25","Twin 1.9 HO","Y668","River City","Aurora OR","83999.00","83999.00","2024-11-01"
"2024","Yamaha","Marine","252S","25","Twin 1.9L","N/A","River City","Aurora OR","86500.00","86500.00","2024-11-01"
"2024","Yamaha","Marine","255XD","25","Twin 1.8 SVHO","Y678","River City","Aurora OR","109999.00","109999.00","2024-11-01"
"2024","Yamaha","Marine","255XE","25","N/A","Y660","River City","Aurora OR","97999.00","97999.00","2024-11-01"
"2024","Yamaha","Marine","275SD","27","N/A","Y670","River City","Aurora OR","149000.00","149000.00","2024-11-01"
"2024","Yamaha","Marine","275SD","27","Twin 1.8 SVHO","Y651","River City","Aurora OR","149000.00","149000.00","2024-11-01"
"2024","Yamaha","Marine","AR190","196","1.9 HO","N/A","River City","Aurora OR","41799.00","41799.00","2024-11-01"
"2025","Yamaha","Boats","AR195","194","1.8 SVHO","N/A","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Yamaha","Boats","AR220","22","Twin TR1","N/A","River City","Aurora OR","N/A","N/A","2024-11-01"
"2025","Yamaha","Boats","AR250","25","N/A","Y731","River City","Aurora OR","N/A","N/A","2024-11-01"
