"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Palomino","Palomino","32BHQS","63888","49999","77391","Travel Trailer","Georgetown","RonHoover","2024-10-16"
"2024","Palomino","Palomino","32BHQS","63197","44999","74836","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2025","Palomino","Palomino","32RBFQ","60874","49999","77393","Travel Trailer","West Houston","RonHoover","2024-10-16"
"2024","Palomino","Palomino","32RBFQ","62394","44999","74832","Travel Trailer","Breckenridge","RonHoover","2024-10-16"
"2025","Palomino","Palomino","32RBFQ2","59436","49999","77395","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2024","Palomino","Palomino","32RBFQ2","61544","44999","69569","Travel Trailer","Donna","RonHoover","2024-10-16"
"2025","Palomino","Palomino","337BH","N/A","N/A","78842","Travel Trailer","On Order","RonHoover","2024-10-16"
"2025","Palomino","Palomino","2430BHS","N/A","N/A","79882","Travel Trailer","On Order","RonHoover","2024-10-16"
"2025","Palomino","Palomino","2580RBS","N/A","N/A","79888","Travel Trailer","On Order","RonHoover","2024-10-16"
"2025","Palomino","Palomino","3150TBS","N/A","N/A","79890","Travel Trailer","On Order","RonHoover","2024-10-16"
"2025","Palomino","Palomino","3150TBSS","N/A","N/A","79891","Travel Trailer","On Order","RonHoover","2024-10-16"
"2025","Palomino","Palomino","3200TSBH","N/A","N/A","79896","Travel Trailer","On Order","RonHoover","2024-10-16"
"2025","Palomino","Palomino","30RKQS","N/A","44999","78861","Travel Trailer","On Order","RonHoover","2024-10-16"
"2024","Palomino","Palomino","30RKQS","59591","38886","70757","Travel Trailer","South Houston","RonHoover","2024-10-16"
"2025","Palomino","Palomino","31FKRK","N/A","44999","78865","Travel Trailer","On Order","RonHoover","2024-10-16"
"2024","Palomino","Palomino","31FKRK","60486","39999","72867","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2025","Palomino","Palomino","31QBBH","57314","44999","77384","Travel Trailer","Georgetown","RonHoover","2024-10-16"
"2024","Palomino","Palomino","31QBBH","60185","39999","72875","Travel Trailer","Boerne","RonHoover","2024-10-16"
"2025","Palomino","Palomino","31RLQS","N/A","49999","78871","Travel Trailer","On Order","RonHoover","2024-10-16"
"2024","Palomino","Palomino","31RLQS","63044","44999","74014","Travel Trailer","Georgetown","RonHoover","2024-10-16"
"2025","Palomino","Palomino","32BH2B","64348","49999","75751","Travel Trailer","South Houston","RonHoover","2024-10-16"
"2024","Palomino","Palomino","32BH2B","64540","44999","72118","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2025","Palomino","Palomino","32BHFS","64667","49999","75755","Travel Trailer","Boerne","RonHoover","2024-10-16"
"2024","Palomino","Palomino","32BHFS","64667","44999","74841","Travel Trailer","Amarillo","RonHoover","2024-10-16"
"2025","Palomino","Palomino","283BHCE","N/A","N/A","79760","Travel Trailer","On Order","RonHoover","2024-10-16"
"2025","Palomino","Palomino","28BHSS","55979","44999","75749","Travel Trailer","Breckenridge","RonHoover","2024-10-16"
"2024","Palomino","Palomino","28BHSS","55979","39999","74883","Travel Trailer","Georgetown","RonHoover","2024-10-16"
"2025","Palomino","Palomino","28BHSS-2B","N/A","44999","78848","Travel Trailer","On Order","RonHoover","2024-10-16"
"2024","Palomino","Palomino","28BHSS2","36989","36988","70870","Travel Trailer","South Houston","RonHoover","2024-10-16"
"2024","Palomino","Palomino","28BHSS2B","55041","39999","74029","Travel Trailer","Amarillo","RonHoover","2024-10-16"
"2025","Palomino","Palomino","29BHQB","N/A","44999","78851","Travel Trailer","On Order","RonHoover","2024-10-16"
"2024","Palomino","Palomino","29BHQB","57974","39999","68147","Travel Trailer","Donna","RonHoover","2024-10-16"
"2025","Palomino","Palomino","29BHSQ","58822","44999","77382","Travel Trailer","Boerne","RonHoover","2024-10-16"
"2024","Palomino","Palomino","29BHSQ","59226","39999","70749","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2025","Palomino","Palomino","304BHCE","N/A","N/A","79799","Travel Trailer","On Order","RonHoover","2024-10-16"
"2025","Palomino","Palomino","305BHCE","N/A","N/A","79822","Travel Trailer","On Order","RonHoover","2024-10-16"
"2025","Palomino","Palomino","3300FLS","N/A","N/A","79905","Travel Trailer","On Order","RonHoover","2024-10-16"
"2025","Palomino","Palomino","3450TBSS","N/A","N/A","79892","Travel Trailer","On Order","RonHoover","2024-10-16"
"2024","Palomino","Palomino","258RBSS","57442","39999","67604","Travel Trailer","West Houston","RonHoover","2024-10-16"
"2025","Unknown","N/A","521CK","31141","23999","77788","Travel Trailer","Donna","RonHoover","2024-10-16"
"2024","Unknown","N/A","521CK","31387","19999","73399","Travel Trailer","Breckenridge","RonHoover","2024-10-16"
"2025","Unknown","N/A","525BHS","37666","29999","77791","Travel Trailer","Amarillo","RonHoover","2024-10-16"
"2024","Unknown","N/A","525RB","40896","24999","71123","Travel Trailer","Laredo","RonHoover","2024-10-16"
"2023","Unknown","N/A","526DB","42033","24999","71767","Travel Trailer","San Antonio","RonHoover","2024-10-16"
"2025","Unknown","N/A","526RBS","37666","29999","78264","Travel Trailer","Amarillo","RonHoover","2024-10-16"
"2025","Unknown","N/A","530QB","41298","34999","77759","Travel Trailer","Donna","RonHoover","2024-10-16"
"2024","Unknown","N/A","530QB","43889","29999","74916","Travel Trailer","Georgetown","RonHoover","2024-10-16"
"2024","Unknown","N/A","532DS","48867","34999","71116","Travel Trailer","Donna","RonHoover","2024-10-16"
"2024","Unknown","N/A","29BH","26783","19999","70827","Travel Trailer","West Houston","RonHoover","2024-10-16"
"2023","Unknown","N/A","31OK","49012","29999","72660","Travel Trailer","Donna","RonHoover","2024-10-16"
"2025","Unknown","N/A","31QB","34993","27999","77771","Travel Trailer","Georgetown","RonHoover","2024-10-16"
"2024","Unknown","N/A","31QB","35320","27999","76018","Travel Trailer","Corpus Christi RV/Boat","RonHoover","2024-10-16"
"2024","Unknown","N/A","32DS","53405","34999","71141","Travel Trailer","Amarillo","RonHoover","2024-10-16"
"2025","Unknown","N/A","525BHS","37666","29999","77798","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2024","Unknown","N/A","14FD","32721","19999","69858","Travel Trailer","South Houston","RonHoover","2024-10-16"
"2024","Unknown","N/A","14FL","33071","19999","69863","Travel Trailer","Breckenridge","RonHoover","2024-10-16"
"2025","Unknown","N/A","26BH","N/A","22999","79323","Travel Trailer","On Order","RonHoover","2024-10-16"
"2024","Grand Design","Imagine","22MLE","46265","37599","68641","Travel Trailer","Donna","RonHoover","2024-10-16"
"2024","Grand Design","Imagine","23LDE","48506","39599","68636","Travel Trailer","Odessa","RonHoover","2024-10-16"
"2024","Grand Design","Imagine","24BSE","49071","39599","76520","Travel Trailer","Odessa","RonHoover","2024-10-16"
"2025","Grand Design","Imagine","25DBE","49686","39999","73168","Travel Trailer","Odessa","RonHoover","2024-10-16"
"2024","Grand Design","Imagine","25DBE","49686","39999","73169","Travel Trailer","Laredo","RonHoover","2024-10-16"
"2024","Grand Design","Reflection","296RDTS","69867","47999","66268","Travel Trailer","Odessa","RonHoover","2024-10-16"
"2025","Grand Design","Reflection","297RSTS","74663","N/A","78430","Travel Trailer","Donna","RonHoover","2024-10-16"
"2024","Grand Design","Reflection","297RSTS","73236","59999","71845","Travel Trailer","Odessa","RonHoover","2024-10-16"
"2024","Grand Design","Reflection","310MKTS","82235","59999","71848","Travel Trailer","Donna","RonHoover","2024-10-16"
"2024","Grand Design","Reflection","312BHTS","81926","69999","69132","Travel Trailer","Donna","RonHoover","2024-10-16"
"2024","Grand Design","Reflection","315RLTS","79827","59999","69130","Travel Trailer","Odessa","RonHoover","2024-10-16"
"2024","Grand Design","Transcend","200MK","33760","29999","72287","Travel Trailer","Donna","RonHoover","2024-10-16"
"2024","Forest River RV","Wildwood","310BHI","70749","54999","74615","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2025","Forest River RV","View","322VIEW","66581","54999","75632","Travel Trailer","Laredo","RonHoover","2024-10-16"
"2024","Forest River RV","View","322VIEW","69832","44999","70299","Travel Trailer","Amarillo","RonHoover","2024-10-16"
"2024","Forest River RV","Wildwood","27RKHL","59697","39999","70301","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2024","Forest River RV","Wildwood","29XBHL","60877","39999","65193","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2024","Forest River RV","Wildwood","26RBSX","53486","34999","71966","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2024","Forest River RV","Wildwood","32BHDSX","59739","39999","68327","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2024","Forest River RV","Wildwood","240BHXL","46283","34999","72719","Travel Trailer","Amarillo","RonHoover","2024-10-16"
"2024","Forest River RV","View","24VIEW","49263","34999","68154","Travel Trailer","Corpus Christi RV/Boat","RonHoover","2024-10-16"
"2024","Forest River RV","Wildwood","261BHXL","38853","24999","72722","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2024","Forest River RV","Wildwood","263BHXL","48301","32999","72723","Travel Trailer","Lubbock","RonHoover","2024-10-16"
"2024","Grand Design","Imagine","2500RL","54750","44599","70636","Travel Trailer","Donna","RonHoover","2024-10-16"
"2024","Jayco","Eagle","280RSOK","91232","49995","69842","Travel Trailer","Laredo","RonHoover","2024-10-16"
"2025","Jayco","Eagle","274FKDS","77454","N/A","77955","Travel Trailer","Corpus Christi RV/Boat","RonHoover","2024-10-16"
"2025","Jayco","Eagle","294CKBS","81512","N/A","77491","Travel Trailer","Corpus Christi RV/Boat","RonHoover","2024-10-16"
"2025","Jayco","Jay Feather","25RB","59902","N/A","77496","Travel Trailer","Odessa","RonHoover","2024-10-16"
"2025","Jayco","Jay Feather","26FK","66764","N/A","77497","Travel Trailer","Odessa","RonHoover","2024-10-16"
"2025","Jayco","Jay Feather","27BH","58149","N/A","77942","Travel Trailer","Corpus Christi RV/Boat","RonHoover","2024-10-16"
"2025","Jayco","Jay Feather","27MK","67829","N/A","77494","Travel Trailer","Odessa","RonHoover","2024-10-16"
