"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Avalon","Geo","Fish","23 ft","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2025","Avalon","N/A","LSZ23CRB","23 ft","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2025","Avalon","N/A","LSZ23QLS","23 ft","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2025","Avalon","N/A","LSZ25QLS","25 ft","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2025","Avalon","N/A","LSZ25VRB","25 ft","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2025","Avalon","N/A","Ven19QL","19 ft","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2025","Avalon","N/A","Ven23VRB","23 ft","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2025","Avalon","N/A","Ven25VRB","25 ft","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2025","Avalon","Venture","21QL","N/A","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2025","Avalon","Venture","25VRB","25 ft","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2025","Hanover Yachts","N/A","305","N/A","N/A","","ShyBeaver","James Creek PA","195000","195000","2024-11-04"
"2025","Hanover Yachts","N/A","347","34 ft","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2025","Hanover Yachts","N/A","347","34 ft","N/A","","ShyBeaver","James Creek PA","299000","299000","2024-11-04"
"2025","Hanover Yachts","N/A","377","38 ft","N/A","","ShyBeaver","James Creek PA","405000","405000","2024-11-04"
"2024","Avalon","Venture","85","N/A","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2024","Crownline","240","SS","N/A","N/A","","ShyBeaver","James Creek PA","93900","93900","2024-11-04"
"2024","Crownline","240","SS","N/A","N/A","","ShyBeaver","James Creek PA","114200","114200","2024-11-04"
"2024","Crownline","260","SS","N/A","N/A","","ShyBeaver","James Creek PA","117900","117900","2024-11-04"
"2024","Crownline","280","SS","N/A","N/A","","ShyBeaver","James Creek PA","133900","133900","2024-11-04"
"2024","Crownline","N/A","E235","N/A","N/A","","ShyBeaver","James Creek PA","95900","95900","2024-11-04"
"2024","Venture","N/A","VATB-18025","N/A","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
"2025","Avalon","N/A","Cat25FS","N/A","N/A","","ShyBeaver","James Creek PA","N/A","N/A","2024-11-04"
