"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2023","Bennington","24","RTSBA","24","Yamaha","1BN23010","Slc Boats","Salt Lake City UT","N/A","N/A","2024-11-04"
"2023","Bennington","25","LTFB","N/A","Yamaha","1BN23002","Slc Boats","Salt Lake City UT","N/A","N/A","2024-11-04"
"2023","Bennington","25","LSB","N/A","Mercury","1BN23004","Slc Boats","Salt Lake City UT","N/A","N/A","2024-11-04"
"2023","Bennington","24","LXSR","N/A","Yamaha","1BN23001","Slc Boats","Salt Lake City UT","N/A","N/A","2024-11-04"
"2023","Bennington","23","LCW","23","Yamaha","1BN23011","Slc Boats","Salt Lake City UT","N/A","N/A","2024-11-04"
"2023","Bennington","22","LFB","22","Yamaha","1BN23009","Slc Boats","Salt Lake City UT","N/A","N/A","2024-11-04"
"2023","Bennington","N/A","22LSB","22","Yamaha XL","1BN23003","Slc Boats","Salt Lake City UT","N/A","N/A","2024-11-04"
"2023","Bennington","22","LFAPG","22","Yamaha","1BN23008","Slc Boats","Salt Lake City UT","N/A","N/A","2024-11-04"
"2023","Bennington","23","SSR","23","Yamaha","1BN23014","Slc Boats","Salt Lake City UT","N/A","N/A","2024-11-04"
"2023","Bennington","22","SVSR","22","Yamha","1BN23013","Slc Boats","Salt Lake City UT","N/A","N/A","2024-11-04"
"2024","Bennington","N/A","26LSRTD","26","Yamaha V Max","1BN24001","Slc Boats","Salt Lake City UT","N/A","N/A","2024-11-04"
"2023","Bennington","N/A","25LSRTD","25","Yamaha V-Max","1BN23005","Slc Boats","Salt Lake City UT","N/A","N/A","2024-11-04"
