"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2023","Crest","CLASSIC","PLATINUM","24 ft","N/A","CR230590","Marine Sales","Fife","133930","N/A","2024-10-30"
"2023","Heyday","N/A","H20","20 ft","N/A","WT6801670","Marine Sales","Fife","105434","N/A","2024-10-30"
"2023","Heyday","N/A","H20","20 ft","N/A","WT6755587","Marine Sales","Fife","106788","N/A","2024-10-30"
"2023","Heyday","N/A","H22","22 ft","N/A","WT6726970","Marine Sales","Fife","114340","N/A","2024-10-30"
"2023","Heyday","N/A","H22","22 ft","N/A","WT6736081","Marine Sales","Issaquah","114570","N/A","2024-10-30"
"2023","Heyday","N/A","WT-2DC","21 ft","N/A","WT6737856","Marine Sales","Fife","93569","N/A","2024-10-30"
"2023","Heyday","N/A","WT-2DC","21 ft","N/A","WT6690279","Marine Sales","Bellingham","93625","N/A","2024-10-30"
"2023","Heyday","N/A","WT-2DC","21 ft","N/A","WT6713429","Marine Sales","Fife","92260","N/A","2024-10-30"
"2023","Heyday","N/A","WT-2DC","21 ft","N/A","WT6771062","Marine Sales","Fife","93569","N/A","2024-10-30"
"2023","MasterCraft","N/A","NXT22","22 ft","N/A","MC647459","Marine Sales","Issaquah","182994","N/A","2024-10-30"
"2023","MasterCraft","N/A","NXT22","22 ft","N/A","MC657756","Marine Sales","Fife","175119","N/A","2024-10-30"
"2023","MasterCraft","N/A","NXT22","22 ft","N/A","MC667066","Marine Sales","Fife","175510","N/A","2024-10-30"
"2023","MasterCraft","N/A","NXT23","23 ft","N/A","MC669709","Marine Sales","Issaquah","181877","N/A","2024-10-30"
"2023","MasterCraft","N/A","X24","24 ft","N/A","MC660578","Marine Sales","Fife","328685","N/A","2024-10-30"
"2023","MasterCraft","XStar","S","23 ft","N/A","MC660252","Marine Sales","Issaquah","361662","N/A","2024-10-30"
"2023","MasterCraft","N/A","XT22","22 ft","N/A","MC673916","Marine Sales","Issaquah","229586","N/A","2024-10-30"
"2023","MasterCraft","XT22","T","22 ft","N/A","MC659980","Marine Sales","Fife","213386","N/A","2024-10-30"
"2023","MasterCraft","N/A","XT24","24 ft","N/A","MC674583","Marine Sales","Bellingham","246853","N/A","2024-10-30"
"2023","Nautique","Super","Air","25 ft","N/A","NT552718","Marine Sales","Fife","N/A","N/A","2024-10-30"
"2023","Nautique","Super","Air","25 ft","N/A","NT548136","Marine Sales","Fife","N/A","N/A","2024-10-30"
"2023","Bayliner","Element","E18","18 ft","N/A","BL6806993","Marine Sales","Fife","38085","N/A","2024-10-30"
"2023","Bayliner","Element","E21","21 ft","N/A","BL6777683","Marine Sales","Fife","52850","N/A","2024-10-30"
"2023","Bayliner","N/A","T20CC","20 ft","N/A","BL6728126","Marine Sales","Bellingham","61167","N/A","2024-10-30"
"2023","Bayliner","N/A","T24CC","24 ft","N/A","BL6811930","Marine Sales","Fife","104210","N/A","2024-10-30"
"2023","Bennington","L","LINE","23 ft","N/A","BN1007966","Marine Sales","Fife","124471","N/A","2024-10-30"
"2023","Bennington","L","LINE","23 ft","N/A","BN1017064","Marine Sales","Fife","120715","N/A","2024-10-30"
"2023","Bennington","L","LINE","23 ft","N/A","BN1017065","Marine Sales","Bellingham","131437","N/A","2024-10-30"
"2023","Bennington","L","LINE","24 ft","N/A","BN996082","Marine Sales","Fife","114583","N/A","2024-10-30"
"2023","Bennington","LX","SPORT","24 ft","N/A","BN1051126","Marine Sales","Fife","163165","N/A","2024-10-30"
"2023","Bennington","Q","LINE","25 ft","N/A","BN1007964","Marine Sales","Fife","198406","N/A","2024-10-30"
"2023","Bennington","R","LINE","22 ft","N/A","BN1042667","Marine Sales","Fife","180537","N/A","2024-10-30"
"2023","Bennington","R","LINE","23 ft","N/A","BN1042668","Marine Sales","Bellingham","157862","N/A","2024-10-30"
"2023","Bennington","SX","LINE","21 ft","N/A","BN1041301","Marine Sales","Bellingham","78131","N/A","2024-10-30"
"2023","Boston Whaler","220","Dauntless","22 ft","N/A","B6772818","Marine Sales","Seattle","166910","N/A","2024-10-30"
"2023","Boston Whaler","250","Dauntless","25 ft","N/A","B6771093","Marine Sales","Fife","197540","N/A","2024-10-30"
"2023","Crest","CARIBBEAN","LX","23 ft","N/A","CR231328","Marine Sales","Fife","174743","N/A","2024-10-30"
"2023","Crest","CARIBBEAN","LX","23 ft","N/A","CR237082","Marine Sales","Fife","131704","N/A","2024-10-30"
"2023","Crest","CLASSIC","DLX","22 ft","N/A","CR236150","Marine Sales","Fife","111322","N/A","2024-10-30"
"2023","Crest","CLASSIC","LX","24 ft","N/A","CR229583","Marine Sales","Fife","117583","N/A","2024-10-30"
"2023","Crest","CLASSIC","PLATINUM","22 ft","N/A","CR230588","Marine Sales","Fife","112968","N/A","2024-10-30"
"2023","Nautique","Super","Air","23 ft","N/A","NT549450","Marine Sales","Issaquah","N/A","N/A","2024-10-30"
"2023","Nautique","Super","Air","25 ft","N/A","NT524256","Marine Sales","Fife","N/A","N/A","2024-10-30"
"2023","Sea Ray","SLX","350","35 ft","N/A","6735393","Marine Sales","Seattle","500163","N/A","2024-10-30"
"2023","Sea Ray","SLX","400","40 ft","N/A","6741951","Marine Sales","Seattle","847626","N/A","2024-10-30"
"2023","Sea Ray","SPX","190","19 ft","N/A","6737940","Marine Sales","Bellingham","83913","N/A","2024-10-30"
"2023","Sea Ray","SPX","190","19 ft","N/A","6741767","Marine Sales","Seattle","69703","N/A","2024-10-30"
"2023","Sea Ray","SPX","190","19 ft","N/A","6695705","Marine Sales","Bellingham","75595","N/A","2024-10-30"
"2023","Sea Ray","SPX","190","19 ft","N/A","6708051","Marine Sales","Fife","71026","N/A","2024-10-30"
"2023","Sea Ray","SPX","190","19 ft","N/A","6729958","Marine Sales","Bellingham","67826","N/A","2024-10-30"
"2023","Sea Ray","SPX","190","19 ft","N/A","6731251","Marine Sales","Fife","69703","N/A","2024-10-30"
"2023","Sea Ray","Sundancer","320","32 ft","N/A","6752438","Marine Sales","Seattle","521205","N/A","2024-10-30"
"2022","Crest","CARIBBEAN","PLATINUM","25 ft","N/A","CR228311","Marine Sales","Fife","171555","N/A","2024-10-30"
"2022","Crest","CARIBBEAN","RS","23 ft","N/A","CR228312","Marine Sales","Fife","149495","N/A","2024-10-30"
"2022","Crest","CLASSIC","PLATINUM","24 ft","N/A","CR227625","Marine Sales","Fife","114602","N/A","2024-10-30"
"2025","Sea Ray","SDX","270","27 ft","N/A","SR7012440","Marine Sales","Fife","216455","N/A","2024-10-30"
"2025","Bayliner","ELEMENT","M15","15 ft","N/A","BL7009630","Marine Sales","Fife","29422","N/A","2024-10-30"
"2025","Boston Whaler","150","MONTAUK","15 ft","N/A","B6984173","Marine Sales","Fife","42991","N/A","2024-10-30"
"2025","Boston Whaler","150","MONTAUK","15 ft","N/A","B6984174","Marine Sales","Bellingham","42991","N/A","2024-10-30"
"2025","Boston Whaler","150","MONTAUK","15 ft","N/A","B6988649","Marine Sales","Seattle","42991","N/A","2024-10-30"
"2025","Boston Whaler","150","MONTAUK","15 ft","N/A","B6988650","Marine Sales","Fife","42991","N/A","2024-10-30"
"2025","Boston Whaler","150","MONTAUK","15 ft","N/A","B6988651","Marine Sales","Bellingham","42991","N/A","2024-10-30"
"2025","Boston Whaler","170","MONTAUK","17 ft","N/A","B6980106","Marine Sales","Fife","56950","N/A","2024-10-30"
"2025","Boston Whaler","170","MONTAUK","17 ft","N/A","B6980120","Marine Sales","Seattle","56950","N/A","2024-10-30"
"2025","Boston Whaler","190","MONTAUK","19 ft","N/A","B7004240","Marine Sales","Bellingham","86607","N/A","2024-10-30"
"2025","Boston Whaler","365","CONQUEST","36 ft 6 in","N/A","B7004333","Marine Sales","Bellingham","1234192","N/A","2024-10-30"
"2025","MasterCraft","N/A","NXT21","21 ft","N/A","MC713080","Marine Sales","Fife","177552","N/A","2024-10-30"
"2025","MasterCraft","N/A","NXT22","22 ft","N/A","MC713836","Marine Sales","Fife","184976","N/A","2024-10-30"
"2025","MasterCraft","N/A","NXT23","23 ft","N/A","MC711231","Marine Sales","Fife","189534","N/A","2024-10-30"
"2025","MasterCraft","N/A","NXT23","23 ft","N/A","MC710994","Marine Sales","Fife","190817","N/A","2024-10-30"
"2025","MasterCraft","N/A","X22","22 ft","N/A","MC712999","Marine Sales","Issaquah","336317","N/A","2024-10-30"
"2025","MasterCraft","N/A","X24","24 ft","N/A","MC712397","Marine Sales","Fife","371217","N/A","2024-10-30"
"2025","MasterCraft","N/A","XT23","23 ft","N/A","MC711138","Marine Sales","Fife","258382","N/A","2024-10-30"
"2025","MasterCraft","N/A","XT24","24 ft","N/A","MC713595","Marine Sales","Fife","286272","N/A","2024-10-30"
"2025","Nautique","Super","Air","23 ft","N/A","NT598871","Marine Sales","Fife","N/A","N/A","2024-10-30"
"2025","Nautique","Super","Air","23 ft","N/A","NT611884","Marine Sales","Bellingham","N/A","N/A","2024-10-30"
"2024","Boston Whaler","210","Montauk","21 ft","N/A","B6938081","Marine Sales","Fife","115913","N/A","2024-10-30"
"2024","Boston Whaler","210","Montauk","21 ft","N/A","B6947760","Marine Sales","Bellingham","115820","N/A","2024-10-30"
"2024","Boston Whaler","210","Montauk","21 ft","N/A","B6851334","Marine Sales","Seattle","115913","N/A","2024-10-30"
"2024","Boston Whaler","220","Dauntless","22 ft","N/A","B6857223","Marine Sales","Bellingham","151816","N/A","2024-10-30"
"2024","Boston Whaler","405","Conquest","41 ft","N/A","B6860608","Marine Sales","Bellingham","1788474","N/A","2024-10-30"
"2024","Heyday","N/A","WT-2DC","21 ft","N/A","WT6812068","Marine Sales","Fife","93569","N/A","2024-10-30"
"2024","MasterCraft","N/A","NXT20","20 ft","N/A","MC686747","Marine Sales","Issaquah","170285","N/A","2024-10-30"
"2024","MasterCraft","N/A","NXT21","21 ft","N/A","MC684820","Marine Sales","Fife","177559","N/A","2024-10-30"
"2024","MasterCraft","N/A","NXT21","21 ft","N/A","MC687714","Marine Sales","Fife","178484","N/A","2024-10-30"
"2024","MasterCraft","N/A","NXT22","22 ft","N/A","MC687949","Marine Sales","Fife","181984","N/A","2024-10-30"
"2024","MasterCraft","N/A","NXT24","24 ft","N/A","MC690241","Marine Sales","Issaquah","206025","N/A","2024-10-30"
"2024","MasterCraft","N/A","NXT24","24 ft","N/A","MC678404","Marine Sales","Fife","195558","N/A","2024-10-30"
"2024","MasterCraft","N/A","X22","22 ft","N/A","MC686407","Marine Sales","Issaquah","300375","N/A","2024-10-30"
"2024","MasterCraft","N/A","X22","22 ft","N/A","MC700707","Marine Sales","Bellingham","326425","N/A","2024-10-30"
"2024","MasterCraft","N/A","X24","24 ft","N/A","MC596479","Marine Sales","Issaquah","354622","N/A","2024-10-30"
"2024","MasterCraft","XStar","S","23 ft","N/A","MC686782","Marine Sales","Fife","360800","N/A","2024-10-30"
"2024","MasterCraft","N/A","XT20","20 ft","N/A","MC687632","Marine Sales","Issaquah","215292","N/A","2024-10-30"
"2024","MasterCraft","N/A","XT20","20 ft","N/A","MC685563","Marine Sales","Fife","215809","N/A","2024-10-30"
