"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Bennington","N/A","22MFB","N/A","N/A","B8276","Valley Marine","Bismarck ND","99020.00","82999.00","2024-11-04"
"2025","Bennington","23LSR","SPS","N/A","N/A","B8257","Valley Marine","Bismarck ND","102977.00","82999.00","2024-11-04"
"2025","Bennington","24MFB","LUXE","N/A","N/A","B8278","Valley Marine","Bismarck ND","119820.00","94999.00","2024-11-04"
"2024","Bennington","20","SVL","N/A","Yamaha F90","B4634","Valley Marine","Minot ND","N/A","41309.00","2024-11-04"
"2024","Bennington","22","SS-SPS","N/A","N/A","B8249","Valley Marine","Bismarck ND","73627.00","66999.00","2024-11-04"
"2024","Bennington","22","SSR","N/A","N/A","B4657","Valley Marine","Minot ND","80460.00","74999.00","2024-11-04"
"2024","Bennington","22","SSR-SPS","N/A","Yamaha 200hp 4-Stroke","B8223","Valley Marine","Bismarck ND","78890.00","72999.00","2024-11-04"
"2024","Bennington","22","SVF","N/A","YAMHAHA F115","B8196","Valley Marine","Bismarck ND","53489.00","52999.00","2024-11-04"
"2024","Bennington","22SF","EXPRESS","N/A","Yamaha 115","B4617","Valley Marine","Minot ND","N/A","53633.00","2024-11-04"
"2024","Bennington","22SFSR","Express","N/A","N/A","B4656","Valley Marine","Minot ND","66674.00","62999.00","2024-11-04"
"2024","Bennington","N/A","22SSB-SPS","N/A","N/A","B8261","Valley Marine","Bismarck ND","87546.00","79999.00","2024-11-04"
"2024","Bennington","23","LSAPG","N/A","N/A","B8254","Valley Marine","Bismarck ND","110076.00","92999.00","2024-11-04"
"2024","Bennington","25","RXFB","N/A","300","B8226","Valley Marine","Bismarck ND","203005.00","169999.00","2024-11-04"
"2024","Bennington","25LSAPGSR","ESP","N/A","Mercury 300","B4661","Valley Marine","Minot ND","133251.00","112999.00","2024-11-04"
"2023","Bennington","22SXSR","Express","N/A","115","B4572","Valley Marine","Minot ND","68966.00","56999.00","2024-11-04"
"2023","Bennington","22SXSR","EXPRESS","N/A","Yamaha F115 4-Stroke","B8047","Valley Marine","Bismarck ND","71671.00","51999.00","2024-11-04"
"2023","Bennington","23LSB","SPS+","N/A","Yamaha VF250 VMAX","B7977","Valley Marine","Bismarck ND","116576.00","89999.00","2024-11-04"
"2023","Bennington","23SXSNPAPG","SPS","N/A","Yamaha F150 4-Stroke","B8057","Valley Marine","Bismarck ND","83812.00","69999.00","2024-11-04"
"2023","Bennington","24LX","SPS+","24","Mercury 250 Pro XS","B4580","Valley Marine","Minot ND","159053.00","134999.00","2024-11-04"
"2022","Tracker","Boats","FISHIN","N/A","N/A","UM5355","Valley Marine","Bismarck ND","N/A","32999.00","2024-11-04"
"2019","Bennington","23","SSBXP","N/A","N/A","UM5345","Valley Marine","Bismarck ND","64999.00","59999.00","2024-11-04"
"2017","Bennington","23","RSR","N/A","N/A","UM5366","Valley Marine","Bismarck ND","N/A","44999.00","2024-11-04"
"2016","Bennington","2550","GSR","N/A","Mercury Verado Pro 250","UM2826","Valley Marine","Minot ND","59999.00","N/A","2024-11-04"
"2013","Sylvan","N/A","85522","N/A","N/A","UM5361","Valley Marine","Bismarck ND","N/A","22999.00","2024-11-04"
"2013","Sylvan","Signature","8521","N/A","Mercury 90hp 4-stroke","UM2824","Valley Marine","Minot ND","N/A","26999.00","2024-11-04"
"2013","Tracker","Boats","FISHING","N/A","N/A","UM5364","Valley Marine","Bismarck ND","16999.00","N/A","2024-11-04"
"2011","Bennington","2550RCL","Club","25","Mercury Pro Verado 250","UM2797","Valley Marine","Minot ND","54999.00","44999.00","2024-11-04"
"2000","Premier","Alante","22","22","Yamaha F100","UM2819","Valley Marine","Minot ND","17999.00","14999.00","2024-11-04"
"1987","Lowe","22","Classic","N/A","no motor","UM2781","Valley Marine","Minot ND","6999.00","5999.00","2024-11-04"
"2025","Bennington","N/A","24MSBSE","N/A","N/A","B4683","Valley Marine","Minot ND","147950.00","124999.00","2024-11-04"
