"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2015","NauticStar","214","XTS","215","Yamaha F-150 4S","","WMF Watercraft","Millsboro DE","39900.00","N/A","2024-11-04"
"2025","Avalon","2785","Excalibur","279","Twin Mercury 400hp Verado V-10's","","WMF Watercraft","Millsboro DE","219900.00","N/A","2024-11-04"
"2025","Avalon","2385","Catalina","245","Mercury 300hp V-8 Verado","","WMF Watercraft","Millsboro DE","124900.00","N/A","2024-11-04"
"2025","Avalon","2385","LSZ","245","Mercury 200hp V-6 4S","","WMF Watercraft","Millsboro DE","84900.00","N/A","2024-11-04"
"2025","Avalon","2385","LSZ","245","Mercury 200hp V-6 4S","","WMF Watercraft","Millsboro DE","84900.00","N/A","2024-11-04"
"2024","Avalon","2585","GEO","265","Suzuki DF 250 4S","","WMF Watercraft","Millsboro DE","84900.00","N/A","2024-11-04"
"2025","Sea","Chaser","22","215","Suzuki DF 200 4S","","WMF Watercraft","Millsboro DE","78900.00","N/A","2024-11-04"
"2025","Carolina","Skiff","24","245","Suzuki DF 250 4S","","WMF Watercraft","Millsboro DE","89900.00","N/A","2024-11-04"
"2025","Carolina","Skiff","162","165","Suzuki DF 60 4S","","WMF Watercraft","Millsboro DE","25900.00","N/A","2024-11-04"
"2014","Century","Boats","2350","235","Yamaha F-250 4S","","WMF Watercraft","Millsboro DE","39900.00","N/A","2024-11-04"
"2025","Carolina","Skiff","21","211","Suzuki DF 150 4S Stealth","","WMF Watercraft","Millsboro DE","64900.00","N/A","2024-11-04"
"2025","Avalon","2385","Aura","235","Mercury 115hp 4S Motor","","WMF Watercraft","Millsboro DE","39900.00","N/A","2024-11-04"
"2025","Avalon","2385","Aura","235","Mercury 115hp 4S Motor","","WMF Watercraft","Millsboro DE","39900.00","N/A","2024-11-04"
"2025","Avalon","2185","Aura","215","Mercury 115hp 4S Motor","","WMF Watercraft","Millsboro DE","38900.00","N/A","2024-11-04"
"2025","Avalon","2385","Aura","235","Mercury 115 4S","","WMF Watercraft","Millsboro DE","38900.00","N/A","2024-11-04"
