"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Barletta","N/A","C22UC","22'","YAMAHA YAMAHA 200LC","7735 TT","WakeSide","Elkhart IN","N/A","104547.00","2024-10-27"
"2025","Barletta","N/A","C22UC","22'","MERCURY MERCURY 200L","7722","WakeSide","Elkhart IN","N/A","100497.00","2024-10-27"
"2025","Barletta","N/A","L25MA","25'","MERCURY MERCURY (D) 200L VERADO","7732 TT","WakeSide","Elkhart IN","N/A","219833.00","2024-10-27"
"2025","Barletta","N/A","L25UC","25'","N/A","7679 TT","WakeSide","Elkhart IN","N/A","167453.00","2024-10-27"
"2024","Barletta","N/A","23U","23'","N/A","7563 TT","WakeSide","Elkhart IN","138454.00","117685.00","2024-10-27"
"2024","Barletta","Aria","22CC","22'","MERCURY 90ELPT CT","7577","WakeSide","Elkhart IN","66061.00","50867.00","2024-10-27"
"2024","Barletta","Aria","A20QC","19'6""","YAMAHA T50","7588","WakeSide","Elkhart IN","53215.00","40900.00","2024-10-27"
"2024","Barletta","Aria","A20UC","20'","YAMAHA T50","7589","WakeSide","Elkhart IN","53250.00","41100.00","2024-10-27"
"2023","Barletta","N/A","C20Q","20'","MERCURY 90 CT","7397","WakeSide","Elkhart IN","65981.00","41800.00","2024-10-27"
"2023","Barletta","N/A","C20QC","20'","YAMAHA F90","7248","WakeSide","Elkhart IN","68812.00","44000.00","2024-10-27"
"2025","Barletta","N/A","23QSS","23'","MERCURY MERCURY 250L VERADO","7686 TT","WakeSide","Elkhart IN","N/A","140244.00","2024-10-27"
"2025","Barletta","N/A","25UC","25'","MERCURY MERCURY 250L VERADO V8","7720 TT","WakeSide","Elkhart IN","N/A","147039.00","2024-10-27"
"2025","Barletta","N/A","A22CC","22'","YAMAHA YAMAHA 150LC","7684 TT","WakeSide","Elkhart IN","N/A","81320.00","2024-10-27"
"2025","Barletta","N/A","A22QC","22'","N/A","7687 TT","WakeSide","Elkhart IN","N/A","77458.00","2024-10-27"
"2025","Barletta","N/A","A22QC","22'","YAMAHA YAMAHA 150LC","7734 TT","WakeSide","Elkhart IN","N/A","78013.00","2024-10-27"
"2025","Barletta","N/A","A22QC","22'","N/A","7733 TT","WakeSide","Elkhart IN","N/A","78013.00","2024-10-27"
"2025","Barletta","N/A","A22UC","22'","YAMAHA YAMAHA 150LC","7721","WakeSide","Elkhart IN","N/A","81208.00","2024-10-27"
"2025","Barletta","N/A","A24QC","24'","YAMAHA YAMAHA 150LC","7723","WakeSide","Elkhart IN","N/A","82243.00","2024-10-27"
"2025","Barletta","N/A","C22QC","22'","N/A","7683 TT","WakeSide","Elkhart IN","N/A","91014.00","2024-10-27"
"2025","Barletta","N/A","C22UC","22'","YAMAHA YAMAHA 200LC","7736 TT","WakeSide","Elkhart IN","N/A","104712.00","2024-10-27"
