"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Avalon","2185","Venture","N/A","Suzuki DF115","66380","WaterWorkz Marine","Cleveland TN","39995.00","N/A","2024-11-05"
"2025","Avalon","2385","Venture","N/A","Suzuki DF115","66379","WaterWorkz Marine","Cleveland TN","69995.00","N/A","2024-11-05"
"2025","Avalon","LSZ","2585","N/A","Suzuki DF250 Stealth","66381","WaterWorkz Marine","Cleveland TN","74995.00","N/A","2024-11-05"
"2025","SeaArk","Easy","Cat","N/A","SUZUKI DF250 TXSS","50797","WaterWorkz Marine","Cleveland TN","75995.00","N/A","2024-11-05"
"2025","Xpress","H18","C","N/A","Yamaha VF115LB","14815","WaterWorkz Marine","Cleveland TN","35990.00","N/A","2024-11-05"
"2025","Xpress","N/A","H18C","N/A","Yamaha VF115LB","14814","WaterWorkz Marine","Cleveland TN","35990.00","N/A","2024-11-05"
"2025","Xpress","H20","Bay","N/A","Yamaha F150LC","14502","WaterWorkz Marine","Cleveland TN","47995.00","N/A","2024-11-05"
"2025","Xpress","H20","Bay","N/A","Yamaha F150LC","8819879433","WaterWorkz Marine","Cleveland TN","47995.00","N/A","2024-11-05"
"2025","Xpress","H20","Bay","N/A","Yamaha F150LC","14583","WaterWorkz Marine","Cleveland TN","47995.00","N/A","2024-11-05"
"2025","Xpress","H20","Bay","N/A","Yamaha F150C","14842","WaterWorkz Marine","Cleveland TN","47995.00","N/A","2024-11-05"
"2025","Xpress","H20","Crappie","N/A","Yamaha VF175LA","14128","WaterWorkz Marine","Cleveland TN","47995.00","N/A","2024-11-05"
"2025","Xpress","X19","Pro","N/A","YAMAHA VF200LB","14129","WaterWorkz Marine","Cleveland TN","59995.00","N/A","2024-11-05"
"2025","Xpress","X23","Bay","N/A","Yamaha F300 XA","15007","WaterWorkz Marine","Cleveland TN","81995.00","N/A","2024-11-05"
"2024","Avalon","LSZ","2385","23","SUZUKI DF250","60736","WaterWorkz Marine","Cleveland TN","67995.00","N/A","2024-11-05"
"2024","Avalon","LSZ","2385","23","SUZUKI DF200","60735","WaterWorkz Marine","Cleveland TN","69995.00","N/A","2024-11-05"
"2022","Mercury","Marine","FourStroke","N/A","N/A","8819879433","WaterWorkz Marine","Cleveland TN","9899.00","N/A","2024-11-05"
"2022","Suzuki","Marine","DF90A","N/A","N/A","8819879433","WaterWorkz Marine","Cleveland TN","N/A","N/A","2024-11-05"
"2024","Avalon","LSZ","2585","25","SUZUKI DF200","60734","WaterWorkz Marine","Cleveland TN","72995.00","N/A","2024-11-05"
"2024","Avalon","LSZ","Elite","23","SUZUKI DF200","60729","WaterWorkz Marine","Cleveland TN","59995.00","N/A","2024-11-05"
"2024","Avalon","LSZ","QUAD","23","SUZUKI DF200","60748","WaterWorkz Marine","Cleveland TN","62995.00","N/A","2024-11-05"
"2024","Avalon","Venture","85","23","SUZUKI DF200","60726","WaterWorkz Marine","Cleveland TN","55995.00","N/A","2024-11-05"
"2024","SeaArk","2072","FXT","20","SUZUKI DF150","49291","WaterWorkz Marine","Cleveland TN","43995.00","N/A","2024-11-05"
"2024","SeaArk","2072","FXT","20","SUZUKI DF150","49399","WaterWorkz Marine","Cleveland TN","43995.00","N/A","2024-11-05"
"2024","SeaArk","Super","Lounge","26","Suzuki DF300","49929","WaterWorkz Marine","Cleveland TN","79995.00","N/A","2024-11-05"
"2024","Xpress","Boats","X21","N/A","Yamaha VF250LB","13255","WaterWorkz Marine","Cleveland TN","66995.00","N/A","2024-11-05"
"2024","Xpress","Boats","X21","21","Yamaha VF250LB","13455","WaterWorkz Marine","Cleveland TN","62995.00","N/A","2024-11-05"
"2024","Xpress","Boats","X23B","23","YAMAHA VF 250 XB","12516","WaterWorkz Marine","Cleveland TN","75995.00","N/A","2024-11-05"
"2023","Suzuki","Marine","DF115B","N/A","N/A","8819879433","WaterWorkz Marine","Cleveland TN","9995.00","N/A","2024-11-05"
"2023","Suzuki","Marine","DF15A","N/A","N/A","8819879433","WaterWorkz Marine","Cleveland TN","3295.00","N/A","2024-11-05"
"2023","Suzuki","Marine","DF175A","N/A","N/A","8819879433","WaterWorkz Marine","Cleveland TN","13495.00","N/A","2024-11-05"
"2023","Suzuki","Marine","DF25A","N/A","N/A","8819879433","WaterWorkz Marine","Cleveland TN","4995.00","N/A","2024-11-05"
"2022","Mercury","Marine","115","21","N/A","8819879433","WaterWorkz Marine","Cleveland TN","11799.00","N/A","2024-11-05"
