"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2024","Bennington","20","SVL","20","N/A","B519","Wateree Marine","Camden SC","N/A","N/A","2024-11-05"
"2024","Bennington","20","SVL-SPS","20","N/A","B528","Wateree Marine","Camden SC","N/A","N/A","2024-11-05"
"2024","Bennington","22","SS","22","N/A","B527","Wateree Marine","Camden SC","N/A","N/A","2024-11-05"
"2024","Bennington","23","LFB","23","N/A","B525","Wateree Marine","Camden SC","N/A","N/A","2024-11-05"
"2024","Xpress","Boats","H17C","1710","N/A","B535","Wateree Marine","Camden SC","33065.80","N/A","2024-11-05"
"2024","Xpress","Boats","H18","1810","Yamaha 115 V-Max","B516","Wateree Marine","Camden SC","34899.00","N/A","2024-11-05"
"2024","Xpress","Boats","H190B","19","Yamaha 115 V-Max","B537","Wateree Marine","Camden SC","33452.08","N/A","2024-11-05"
"2024","Xpress","Boats","H190B","19","Yamaha 115 V-Max","B539","Wateree Marine","Camden SC","32999.00","N/A","2024-11-05"
"2024","Xpress","Boats","H20B","20","Yamaha 150 V-Max","B536","Wateree Marine","Camden SC","53939.00","N/A","2024-11-05"
"2024","Xpress","Boats","HD16DB","16","Yamaha F40 LA","B532","Wateree Marine","Camden SC","19132.00","N/A","2024-11-05"
"2024","Xpress","Boats","X19","19","Yamaha 175 V-Max","B524","Wateree Marine","Camden SC","51512.00","N/A","2024-11-05"
"2023","Bennington","22","LSR","22","YAMAHA VF115LA","B495","Wateree Marine","Camden SC","","N/A","2024-11-05"
"2023","SeaArk","1648","MV","N/A","N/A","B506","Wateree Marine","Camden SC","N/A","N/A","2024-11-05"
"2023","SeaArk","1648","MV","N/A","N/A","B507","Wateree Marine","Camden SC","N/A","N/A","2024-11-05"
"2023","SeaArk","2072","FX","N/A","N/A","B501","Wateree Marine","Camden SC","N/A","N/A","2024-11-05"
"2023","SeaArk","DXS","1548","N/A","N/A","B504","Wateree Marine","Camden SC","N/A","N/A","2024-11-05"
"2023","SeaArk","DXS","1652","N/A","N/A","B505","Wateree Marine","Camden SC","N/A","N/A","2024-11-05"
"2023","SeaArk","RiverCat","180","N/A","N/A","B503","Wateree Marine","Camden SC","N/A","N/A","2024-11-05"
"2023","SeaArk","RX","170","N/A","N/A","B502","Wateree Marine","Camden SC","N/A","N/A","2024-11-05"
"2023","Veranda","VERANDA","VR20RC","218","YAMAHA","B485","Wateree Marine","Camden SC","N/A","N/A","2024-11-05"
