"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2023","Chaparral","21","Surf","21 ft","N/A","6317","Wayzata Marine","Wayzata MN","112586","N/A","2024-11-05"
"2024","Regal","N/A","LS6","26 ft 4 in","N/A","6381","Wayzata Marine","Wayzata MN","178995","N/A","2024-11-05"
"2024","Barletta Boats","Lusso","25UCA","27 ft 6 in","N/A","6355","Wayzata Marine","Wayzata MN","199816","N/A","2024-11-05"
"2024","Robalo","N/A","R250","25 ft 3 in","N/A","6382","Wayzata Marine","Wayzata MN","237312","N/A","2024-11-05"
"2024","Robalo","N/A","R317","31 ft","N/A","6388","Wayzata Marine","Wayzata MN","427347","N/A","2024-11-05"
"2024","Barletta Boats","Corsa","23UC","25 ft","N/A","6343","Wayzata Marine","Wayzata MN","122029","N/A","2024-11-05"
"2024","Barletta Boats","Corsa","23UC","25 ft","N/A","6347","Wayzata Marine","Wayzata MN","124189","N/A","2024-11-05"
"2024","Chaparral","23","SSi","23 ft","N/A","6358","Wayzata Marine","Wayzata MN","111491","N/A","2024-11-05"
"2024","Chaparral","23","SSi","23 ft","N/A","6362","Wayzata Marine","Wayzata MN","114945","N/A","2024-11-05"
"2024","Chaparral","23","Surf","23 ft","N/A","6360","Wayzata Marine","Wayzata MN","146724","N/A","2024-11-05"
"2024","Chaparral","23","Surf","23 ft","N/A","6368","Wayzata Marine","Wayzata MN","149074","N/A","2024-11-05"
"2024","Chaparral","26","Surf","26 ft 5 in","N/A","6353","Wayzata Marine","Wayzata MN","217654","N/A","2024-11-05"
"2024","Chaparral","28","Surf","28 ft","N/A","6385","Wayzata Marine","Wayzata MN","275404","N/A","2024-11-05"
"2024","Chaparral","287","SSX","28 ft","N/A","6386","Wayzata Marine","Wayzata MN","215844","N/A","2024-11-05"
"2024","Barletta Boats","CABRIO","22UC","23 ft 2 in","N/A","6377","Wayzata Marine","Wayzata MN","92817","N/A","2024-11-05"
"2024","Barletta Boats","Lusso","L23UC","25 ft 6 in","N/A","6375","Wayzata Marine","Wayzata MN","150849","N/A","2024-11-05"
"2024","Regal","N/A","LS2","22 ft 4 in","N/A","6401","Wayzata Marine","Wayzata MN","106560","N/A","2024-11-05"
"2024","Barletta Boats","Aria","A20QC","19 ft 6 in","N/A","6404","Wayzata Marine","Wayzata MN","63648","N/A","2024-11-05"
"2024","Barletta Boats","Aria","A20UC","20 ft 2 in","N/A","6405","Wayzata Marine","Wayzata MN","68118","N/A","2024-11-05"
"2024","Barletta Boats","Lusso","L23M","N/A","N/A","6403","Wayzata Marine","Wayzata MN","161589","N/A","2024-11-05"
"2025","Robalo","226","Cayman","22 ft 6 in","N/A","ORDER 527963","Wayzata Marine","Wayzata MN","138996","N/A","2024-11-05"
"2025","Robalo","N/A","R230","23 ft","N/A","ORDER 527692","Wayzata Marine","Wayzata MN","162571","N/A","2024-11-05"
"2025","Regal","LS9","Surf","29 ft","N/A","N/A","Wayzata Marine","Wayzata MN","320664","N/A","2024-11-05"
"2025","Regal","3300","Bowrider","34 ft 2 in","N/A","N/A","Wayzata Marine","Wayzata MN","452266","N/A","2024-11-05"
"2025","Barletta Boats","Corsa","23","25 ft","N/A","6458","Wayzata Marine","Wayzata MN","125022","N/A","2024-11-05"
"2024","Chaparral","21","SSi","21 ft","N/A","6430","Wayzata Marine","Wayzata MN","83582","N/A","2024-11-05"
"2024","Regal","N/A","LS4","24 ft 5 in","N/A","6437","Wayzata Marine","Wayzata MN","138520","N/A","2024-11-05"
"2024","Regal","LS6","SURF","26 ft 4 in","N/A","N/A","Wayzata Marine","Wayzata MN","203620","N/A","2024-11-05"
"2024","Regal","LS","36","37 ft 4 in","N/A","6428","Wayzata Marine","Wayzata MN","708780","N/A","2024-11-05"
"2024","Barletta Boats","Cabrio","C22UC","23 ft 2 in","N/A","6409","Wayzata Marine","Wayzata MN","93672","N/A","2024-11-05"
"2024","Barletta Boats","Lusso","L23M","25 ft 6 in","N/A","6378","Wayzata Marine","Wayzata MN","162414","N/A","2024-11-05"
"2024","Barletta Boats","Cabrio","C24UC","25 ft 2 in","N/A","6417","Wayzata Marine","Wayzata MN","101955","N/A","2024-11-05"
"2025","Regal","2000","ES","20 ft","N/A","6454","Wayzata Marine","Wayzata MN","91807","N/A","2024-11-05"
"2025","Regal","2000","ES","20 ft","N/A","6455","Wayzata Marine","Wayzata MN","91907","N/A","2024-11-05"
"2025","Barletta Boats","Aria","22","21 ft 11 in","N/A","6449","Wayzata Marine","Wayzata MN","81436","N/A","2024-11-05"
"2025","Barletta Boats","Lusso","25","27 ft 6 in","N/A","6448","Wayzata Marine","Wayzata MN","162419","N/A","2024-11-05"
"2025","Regal","N/A","LS2","22 ft 4 in","N/A","6445","Wayzata Marine","Wayzata MN","115225","N/A","2024-11-05"
"2025","Regal","LS2","Surf","22 ft 4 in","N/A","6456","Wayzata Marine","Wayzata MN","149715","N/A","2024-11-05"
"2025","Regal","N/A","LS4","24 ft 5 in","N/A","6446","Wayzata Marine","Wayzata MN","152530","N/A","2024-11-05"
"2025","Regal","N/A","LS6","26 ft 4 in","N/A","6447","Wayzata Marine","Wayzata MN","184598","N/A","2024-11-05"
"2025","Chaparral","19","SSI","N/A","N/A","ORDER 527694","Wayzata Marine","Wayzata MN","N/A","N/A","2024-11-05"
"2025","Chaparral","21","SSI","21 ft","N/A","ORDER 527695","Wayzata Marine","Wayzata MN","83582","N/A","2024-11-05"
"2025","Chaparral","267","SSX","26 ft 5 in","N/A","ORDER 528307","Wayzata Marine","Wayzata MN","N/A","N/A","2024-11-05"
"2025","Chaparral","307","SSX","30 ft 2 in","N/A","ORDER 527697","Wayzata Marine","Wayzata MN","264863","N/A","2024-11-05"
"2025","Barletta Boats","Cabrio","22","23 ft 2 in","N/A","6457","Wayzata Marine","Wayzata MN","95392","N/A","2024-11-05"
