"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Sylvan","L-3","DLZ","N/A","N/A","B05854","Westorlando","Oakland FL","N/A","N/A","2024-11-05"
"2025","Sylvan","L3","DLZ","N/A","N/A","B05206","Westorlando","Oakland FL","N/A","N/A","2024-11-05"
"2025","Sylvan","MIRAGE","818","N/A","N/A","B05789","Westorlando","Oakland FL","N/A","N/A","2024-11-05"
"2025","Sylvan","MIRAGE","820LZ","N/A","N/A","B05787","Westorlando","Oakland FL","N/A","N/A","2024-11-05"
"2025","Sylvan","MIRAGE","822","N/A","N/A","B05852","Westorlando","Oakland FL","N/A","N/A","2024-11-05"
"2025","Sylvan","MIRAGE","822","N/A","N/A","B05794","Westorlando","Oakland FL","N/A","N/A","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","N/A","N/A","B17739","Westorlando","Oakland FL","37799.00","31799.00","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","18","N/A","B17656","Westorlando","Oakland FL","37799.00","31799.00","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","N/A","N/A","B09203","Westorlando","Oakland FL","41299.00","35299.00","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","18","N/A","B08345","Westorlando","Oakland FL","41299.00","35299.00","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","21","N/A","B00610","Westorlando","Oakland FL","41399.00","34399.00","2024-11-05"
"2024","Sea-Doo","Switch","Cruise","N/A","N/A","B00807","Westorlando","Oakland FL","44399.00","37399.00","2024-11-05"
"2024","Sea-Doo","Switch","Sport","N/A","N/A","B08211","Westorlando","Oakland FL","40299.00","33299.00","2024-11-05"
"2024","Sea-Doo","Switch","Sport","21","N/A","B11106","Westorlando","Oakland FL","43399.00","36399.00","2024-11-05"
"2024","Sea-Doo","Switch","Sport","13","N/A","B00224","Westorlando","Oakland FL","29499.00","24499.00","2024-11-05"
"2023","Starcraft","Marine","SVX","21","Mercury PRO XS","B81267","Westorlando","Oakland FL","81018.00","49990.00","2024-11-05"
"2023","Starcraft","Marine","SVX","231","Yamaha VF250SHO","B77998","Westorlando","Oakland FL","86583.00","49990.00","2024-11-05"
"2023","Stingray","N/A","216CC","216","SUZUKI DF200","BSCI223","Westorlando","Oakland FL","77858.00","56990.00","2024-11-05"
"2023","Stingray","N/A","236CC","236","N/A","BB0I223","Westorlando","Oakland FL","93118.00","69990.00","2024-11-05"
"2021","Bayliner","N/A","T20CC","20","N/A","UB2465","Westorlando","Oakland FL","N/A","29999.00","2024-11-05"
"2024","Sea-Doo","Switch","Sport","13","N/A","B00251","Westorlando","Oakland FL","29499.00","24499.00","2024-11-05"
"2024","Sea-Doo","Switch","Sport","N/A","N/A","B12095","Westorlando","Oakland FL","29499.00","24499.00","2024-11-05"
"2024","Starcraft","Marine","SVX","17","Yamaha VF115 SHO","B91885","Westorlando","Oakland FL","44351.00","34990.00","2024-11-05"
"2024","Starcraft","Marine","SVX","N/A","YAMAHA VF175 SHO","B91889","Westorlando","Oakland FL","68034.00","52990.00","2024-11-05"
"2024","Sylvan","820","CLZ","N/A","Mercury 115 Command Thrust","B02451","Westorlando","Oakland FL","56043.00","41990.00","2024-11-05"
"2024","Sylvan","822","CLZ","22","Yamaha VF115","B02647","Westorlando","Oakland FL","56414.00","41990.00","2024-11-05"
"2024","Sylvan","822","LZ","22","Yamaha VF115 SHO","B96806","Westorlando","Oakland FL","55208.00","39990.00","2024-11-05"
"2024","Sylvan","G3","CLZ","23","VF250 SHO","B02684","Westorlando","Oakland FL","119968.00","89990.00","2024-11-05"
"2024","Sylvan","N/A","X1","21","YAMAHA F150XC","B96780","Westorlando","Oakland FL","68030.00","47990.00","2024-11-05"
"2024","Sylvan","X1","CLZ","21","Mercury 150 Four Stroke","B96808","Westorlando","Oakland FL","68127.00","48990.00","2024-11-05"
"2024","Sylvan","X3","CLZ","N/A","N/A","B97651","Westorlando","Oakland FL","89833.00","67999.00","2024-11-05"
"2023","Manitou","mANITOU","Explore","N/A","N/A","B84625","Westorlando","Oakland FL","73780.00","47990.00","2024-11-05"
"2023","Manitou","LX","25","25","Mercury 300 Pro XS DTS","B85163","Westorlando","Oakland FL","158535.00","108535.00","2024-11-05"
"2023","Manitou","XT","23","N/A","Mercury 300 PROXS","CB84161","Westorlando","Oakland FL","N/A","149000.00","2024-11-05"
"2023","Starcraft","Marine","SVX","N/A","Yamaha F150","B82654","Westorlando","Oakland FL","52174.00","34990.00","2024-11-05"
