"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Jayco","North Point","382FLRB","155127","112733","53626","Fifth Wheel","Bath NY","Wilkins","2024-10-17"
"2025","Alliance RV","Paradigm","340RL","124934","114995","54188","Fifth Wheel","Churchville NY","Wilkins","2024-10-17"
"2025","Grand Design","Solitude","310GK","121905","119305","53735","Fifth Wheel","Bath NY","Wilkins","2024-10-17"
"2025","Alliance RV","Paradigm","370FB","130403","124995","53904","Fifth Wheel","Bath NY","Wilkins","2024-10-17"
"2025","Alliance RV","Paradigm","385FL","141377","124995","54416","Fifth Wheel","Churchville NY","Wilkins","2024-10-17"
"2024","Alliance RV","Valor","42V13","152812","102663","51050","ToyHauler","Bath NY","Wilkins","2024-10-17"
"2025","Jayco","Seismic","395","132547","96145","54391","ToyHauler","Bath NY","Wilkins","2024-10-17"
"2024","Alliance RV","Valor","44V14","152292","107955","52356","ToyHauler","Churchville NY","Wilkins","2024-10-17"
"2025","Alliance RV","Valor","36V11","137353","109477","53971","ToyHauler","Clay NY","Wilkins","2024-10-17"
"2024","Grand Design","Momentum","397THS","166077","111249","51749","ToyHauler","Bath NY","Wilkins","2024-10-17"
"2024","Grand Design","Momentum","351MS","145926","114052","53042","ToyHauler","Bath NY","Wilkins","2024-10-17"
"2025","Grand Design","Momentum","320G","118768","116168","54247","ToyHauler","Bath NY","Wilkins","2024-10-17"
"2025","Grand Design","Momentum","350G","121512","118912","53849","ToyHauler","Bath NY","Wilkins","2024-10-17"
"2025","Alliance RV","Valor","36V11","138435","119995","53703","ToyHauler","Churchville NY","Wilkins","2024-10-17"
"2025","Alliance RV","Valor","36V11","137102","119995","53669","ToyHauler","Bath NY","Wilkins","2024-10-17"
"2025","Alliance RV","Valor","44V14","152293","134995","53946","ToyHauler","Clay NY","Wilkins","2024-10-17"
"2024","Forest River RV","Classic","281RK","75114","56632","53183","Fifth Wheel","Churchville NY","Wilkins","2024-10-17"
"2025","Keystone RV","Cougar","29RLI","72946","56936","53863","Fifth Wheel","Churchville NY","Wilkins","2024-10-17"
"2025","Jayco","Eagle","31QCD","83999","58206","54141","Fifth Wheel","Nichols NY","Wilkins","2024-10-17"
"2025","Keystone RV","Cougar","32BHS","73229","58451","53490","Fifth Wheel","Bath NY","Wilkins","2024-10-17"
"2025","Forest River RV","Cherokee","3250","97617","58537","53774","Fifth Wheel","Bath NY","Wilkins","2024-10-17"
"2025","Forest River RV","Cherokee","3250","97865","58748","54322","Fifth Wheel","Clay NY","Wilkins","2024-10-17"
"2024","Keystone RV","Cougar","32BHS","73447","59592","54545","Fifth Wheel","Churchville NY","Wilkins","2024-10-17"
"2025","Jayco","Eagle","29CBD","84909","59852","53801","Fifth Wheel","Bath NY","Wilkins","2024-10-17"
"2024","Forest River RV","Classic","376RK","86132","60288","52195","Fifth Wheel","Waterloo NY","Wilkins","2024-10-17"
"2025","Jayco","Eagle","28CRT","85448","60296","53632","Fifth Wheel","Bath NY","Wilkins","2024-10-17"
"2024","Forest River RV","Cherokee","3770","87563","60847","53186","Fifth Wheel","Waterloo NY","Wilkins","2024-10-17"
"2025","Keystone RV","Cougar","260MLE","77828","60858","53598","Fifth Wheel","Churchville NY","Wilkins","2024-10-17"
"2025","Grand Design","Reflection","337RLS","86572","N/A","54439","Fifth Wheel","Bath NY","Wilkins","2024-10-17"
"2025","Keystone RV","Cougar","364BHL","86707","N/A","54371","Fifth Wheel","Churchville NY","Wilkins","2024-10-17"
"2024","Alliance RV","Paradigm","310RL","116749","87591","52478","Fifth Wheel","Bath NY","Wilkins","2024-10-17"
"2025","Grand Design","Reflection","311BHS","93721","91547","53868","Fifth Wheel","Bath NY","Wilkins","2024-10-17"
"2024","Alliance RV","Paradigm","310RL","116280","92106","53377","Fifth Wheel","Clay NY","Wilkins","2024-10-17"
"2024","Jayco","Pinnacle","36SSWS","160737","93998","51570","Fifth Wheel","Nichols NY","Wilkins","2024-10-17"
